Title,Authors,Avg Ratings,Rating,first_published,Description,Total_Pages,Genre,author_followers,no_of_reviews,no_book_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Indulgence in Death,J.D. Robb,"28,227","ratings1,237","November 1, 2010","When a murder disrupts the Irish vacation she is taking with her husband, Roarke, Eve realizes that no place is safe - not an Irish wood or the streets of the manic city she calls home. But nothing prepares her for what she discovers upon her return to the cop shop in New York City....A driver for a top-of-the-line limousine service is found dead - shot through the neck with a crossbow. The car was booked by an executive at a venerable security company whose identity had been stolen. Days later, a stunning, high-priced escort is found killed at Coney Island, a bayonet stuck in her heart. And again, the trail leads to a CEO whose information has been hijacked.With a method established, but no motive to be found, Eve begins to fear that she has come across that most dangerous of criminals, a thrill killer, but one with a taste for the finer things in life - and death. Eve does not know where or when the next kill will be, or that her investigation will take her to the rarefied circle that Roarke travels in - and into the perverted heart of madness....","373 pages, Hardcover",Mystery,33.5k follower,"1,237 reviews",254,123 (<1%),384 (1%),"3,459 (12%)","9,777 (34%)","14,484 (51%)"
Nightingales: The Extraordinary Upbringing and Curious Life of Miss Florence Nightingale,Gillian Gill,426,ratings78,"January 1, 2004","Florence Nightingale was for a time the most famous woman in Britain–if not the world. We know her today primarily as a saintly character, perhaps as a heroic reformer of Britain’s health-care system. The reality is more involved and far more fascinating. In an utterly beguiling narrative that reads like the best Victorian fiction, acclaimed author Gillian Gill tells the story of this richly complex woman and her extraordinary family.Born to an adoring wealthy, cultivated father and a mother whose conventional facade concealed a surprisingly unfettered intelligence, Florence was connected by kinship or friendship to the cream of Victorian England’s intellectual aristocracy. Though moving in a world of ease and privilege, the Nightingales came from solidly middle-class stock with deep traditions of hard work, natural curiosity, and moral clarity. So it should have come as no surprise to William Edward and Fanny Nightingale when their younger daughter, Florence, showed an early passion for helping others combined with a precocious bent for power.Far more problematic was Florence’s inexplicable refusal to marry the well-connected Richard Monckton Milnes. As Gill so brilliantly shows, this matrimonial refusal was at once an act of religious dedication and a cry for her freedom–as a woman and as a leader. Florence’s later insistence on traveling to the Crimea at the height of war to tend to wounded soldiers was all but incendiary–especially for her older sister, Parthenope, whose frustration at being in the shade of her more charismatic sibling often led to illness.Florence succeeded beyond her wildest dreams. But at the height of her celebrity, at the age of thirty-seven, she retired to her bedroom and remained there for most of the rest of her life, allowing visitors only by appointment.Combining biography, politics, social history, and consummate storytelling, Nightingales is a dazzling portrait of an amazing woman, her difficult but loving family, and the high Victorian era they so perfectly epitomized. Beautifully written, witty, and irresistible, Nightingales is truly a tour de force.","544 pages, Paperback",Biography,49 follower,78 reviews,14,15 (3%),27 (6%),103 (24%),169 (39%),112 (26%)
"She Has Her Mother's Laugh: The Powers, Perversions, and Potential of Heredity",Carl Zimmer,"6,396",ratings912,"May 29, 2018","Carl Zimmer presents a history of our understanding of heredity in this sweeping, resonating overview of a force that shaped human society--a force set to shape our future even more radically.She Has Her Mother's Laugh presents a profoundly original perspective on what we pass along from generation to generation. Charles Darwin played a crucial part in turning heredity into a scientific question, and yet he failed spectacularly to answer it. The birth of genetics in the early 1900s seemed to do precisely that. Gradually, people translated their old notions about heredity into a language of genes. As the technology for studying genes became cheaper, millions of people ordered genetic tests to link themselves to missing parents, to distant ancestors, to ethnic identities. . . .But, Zimmer writes, ""Each of us carries an amalgam of fragments of DNA, stitched together from some of our many ancestors. Each piece has its own ancestry, traveling a different path back through human history. A particular fragment may sometimes be cause for worry, but most of our DNA influences who we are--our appearance, our height, our penchants--in inconceivably subtle ways."" Heredity isn't just about genes that pass from parent to child. Heredity continues within our own bodies, as a single cell gives rise to trillions of cells that make up our bodies. We say we inherit genes from our ancestors--using a word that once referred to kingdoms and estates--but we inherit other things that matter as much or more to our lives, from microbes to technologies we use to make life more comfortable. We need a new definition of what heredity is and, through Carl Zimmer's lucid exposition and storytelling, this resounding tour de force delivers it. Weaving historical and current scientific research, his own experience with his two daughters, and the kind of original reporting expected of one of the world's best science journalists, Zimmer ultimately unpacks urgent bioethical quandaries arising from new biomedical technologies, but also long-standing presumptions about who we really are and what we can pass on to future generations.","657 pages, Hardcover",Science,"1,545 follower",912 reviews,70,46 (<1%),180 (2%),"1,026 (16%)","2,572 (40%)","2,572 (40%)"
Tales from a Not-So-Dorky Drama Queen,Rachel Renée Russell,"13,205",ratings744,"June 1, 2015",Nikki Maxwell’s worst nightmare comes true in book nine of the #1 New York Times bestselling Dork Diaries series!A certain member of the CCP girls Dork fans know all about has gotten her hands on Nikki’s diary and has decided to share some thoughts of her own…Find out what happens when Nikki’s worst nightmare becomes a reality. Welcome to MacKenzie’s world!!,Audiobook,Middle Grade,"6,580 follower",744 reviews,126,247 (1%),470 (3%),"1,795 (13%)","3,154 (23%)","7,539 (57%)"
Application for Release from the Dream: Poems,Tony Hoagland,471,ratings64,"September 1, 2015","The eagerly awaited, brilliant, and engaging new poems by Tony Hoagland, author of What Narcissism Means to Me The parade for the slain police officergoes past the bakery and the smell of fresh breadmakes the mourners salivate against their will. —from ""Note to Reality""Are we corrupt or innocent, fragmented or whole? Are responsibility and freedom irreconcilable? Do we value memory or succumb to our forgetfulness? Application for Release from the Dream, Tony Hoagland's fifth collection of poems, pursues these questions with the hobnailed abandon of one who needs to know how a citizen of twenty-first-century America can stay human. With whiplash nerve and tender curiosity, Hoagland both surveys the damage and finds the wonder that makes living worthwhile. Mirthful, fearless, and precise, these poems are full of judgment and mercy.","96 pages, Paperback",Poetry,174 follower,64 reviews,47,6 (1%),17 (3%),62 (13%),187 (39%),199 (42%)
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,Nassim Nicholas Taleb,"64,095","ratings3,090","January 1, 2001","Fooled by Randomness is a standalone book in Nassim Nicholas Taleb’s landmark Incerto series, an investigation of opacity, luck, uncertainty, probability, human error, risk, and decision-making in a world we don’t understand. The other books in the series are The Black Swan, Antifragile,and The Bed of Procrustes.","368 pages, Paperback",Nonfiction,12.8k follower,"3,090 reviews",66,"1,337 (2%)","2,950 (4%)","10,660 (16%)","23,330 (36%)","25,818 (40%)"
Dare Me,Megan Abbott,"28,641","ratings3,934","May 10, 2012","""I dare you not to love this book. You lucky reader.""---Tom Franklin, New York Times bestselling author ofCrooked Letter, Crooked Letter

 Addy Hanlon has always been Beth Cassidy's best friend and trusted lieutenant. Beth calls the shots and Addy carries them out, a long-established order of things that has brought them to the pinnacle of their high-school careers. Now they're seniors who rule the intensely competitive cheer squad, feared and followed by the other girls -- until the young new coach arrives.Cool and commanding, an emissary from the adult world just beyond their reach, Coach Colette French draws Addy and the other cheerleaders into her life. Only Beth, unsettled by the new regime, remains outside Coach's golden circle, waging a subtle but vicious campaign to regain her position as ""top girl"" -- both with the team and with Addy herself. Then a suicide focuses a police investigation on Coach and her squad. After the first wave of shock and grief, Addy tries to uncover the truth behind the death -- and learns that the boundary between loyalty and love can be dangerous terrain. The raw passions of girlhood are brought to life in this taut, unflinching exploration of friendship, ambition, and power. Award-winning novelist Megan Abbott, writing with what Tom Perrotta has hailed as ""total authority and an almost desperate intensity,"" provides a harrowing glimpse into the dark heart of the all-American girl.","290 pages, Paperback",Fiction,"5,875 follower","3,934 reviews",60,"1,826 (6%)","5,005 (17%)","10,127 (35%)","8,013 (27%)","3,670 (12%)"
Wrath of the Storm,Jennifer A. Nielsen,"4,158",ratings383,"January 31, 2017","A quest for freedom. The magic of the gods. A storm to destroy a world.Trouble has a way of finding Nicolas Calva, and it’s not likely to leave him alone any time soon. With Caesar’s magic bulla, the Malice of Mars, and the possibility of a Jupiter Stone in play, all the powers of Rome are circling Nic. He’ll have to maneuver his way through scheming government officials and reawakened magical beasts to save the Empire. Can he manage to keep his friends and family safe, claim his own freedom once and for all, and rescue the Empire—before the magic gets the better of him?","343 pages, Hardcover",Fantasy,"8,084 follower",383 reviews,44,18 (<1%),164 (3%),720 (17%),"1,471 (35%)","1,785 (42%)"
The Fortunes of Jaded Women,Carolyn Huynh,"14,965","ratings2,087","September 6, 2022","Everyone in Orange County’s Little Saigon knew that the Duong sisters were cursed.  It started with their ancestor Oanh who dared to leave her marriage for true love—so a fearsome Vietnamese witch cursed Oanh and her descendants so that they would never find love or happiness, and the Duong women would give birth to daughters, never sons.​  Oanh’s current descendant Mai Nguyen knows this curse well. She’s divorced, and after an explosive disagreement a decade ago, she’s estranged from her younger sisters, Minh Pham (the middle and the mediator) and Khuyen Lam (the youngest who swears she just runs humble coffee shops and nail salons, not Little Saigon’s underground). Though Mai’s three adult daughters, Priscilla, Thuy, and Thao, are successful in their careers (one of them is John Cho’s dermatologist!), the same can’t be said for their love life. Mai is convinced they might drive her to an early grave.  Desperate for guidance, she consults Auntie Hua, her trusted psychic in Hawaii, who delivers an unexpected prediction: this year, her family will witness a marriage, a funeral, and the birth of a son. This prophecy will reunite estranged mothers, daughters, aunts, and cousins—for better or for worse.  A multi-narrative novel brimming with levity and candor, The Fortunes of Jaded Women is about mourning, meddling, celebrating, and healing together as a family. It shows how Vietnamese women emerge victorious, even if the world is against them.","272 pages, Hardcover",Fiction,279 follower,"2,087 reviews",2,200 (1%),994 (6%),"5,193 (34%)","6,207 (41%)","2,371 (15%)"
"Hello, Universe",Erin Entrada Kelly,"22,398","ratings3,619","March 14, 2017","Winner of the 2018 Newbery Medal. Told from four intertwining points of view—two boys and two girls—the novel celebrates bravery, being different, and finding your inner bayani (hero).In one day, four lives weave together in unexpected ways. Virgil Salinas is shy and kindhearted and feels out of place in his loud and boisterous family. Valencia Somerset, who is deaf, is smart, brave, and secretly lonely, and loves everything about nature. Kaori Tanaka is a self-proclaimed psychic, whose little sister Gen is always following her around. And Chet Bullens wishes the weird kids would just act normal so that he can concentrate on basketball.They aren’t friends -- at least not until Chet pulls a prank that traps Virgil and his pet guinea pig at the bottom of a well. This disaster leads Kaori, Gen, and Valencia on an epic quest to find the missing Virgil. Through luck, smarts, bravery, and a little help from the universe, a rescue is performed, a bully is put in his place, and friendship blooms.","320 pages, Hardcover",Middle Grade,"1,567 follower","3,619 reviews",19,269 (1%),970 (4%),"5,085 (22%)","9,614 (42%)","6,460 (28%)"
