Title,Authors,Avg Ratings,Rating,first_published,Description,Total_Pages,Genre,author_followers,no_of_reviews,no_book_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Cybertraps for the Young,Frederick S. Lane,13,ratings3,"First published August 15, 2011","Approaching the risks for children on the Internet in a thought-provoking and intellectual manner, this study skillfully integrates contemporary news reports and disturbing legal cases to show how Facebook and other ready-made forums for information exchange are breaking down boundaries of privacy and facilitating a growing number of criminal convictions for cyberbullying, child pornography, hacking, and copyright infringement. Also included is a discussion of how the widespread use of camera phones, mobile tablets, and social media sites has given rise to a new and dangerous practice among teens: sexting. This reference provides parents with an authoritative lesson in cyberethics and practical instructions for instituting household internet policies, as well as school officials and communities with lessons on how to educate children about the responsible use of emerging mobile technologies.","324 pages, Hardcover",netgalley-reviews,12 followers,3 reviews,12 books12 followers,0 (0%),0 (0%),2 (15%),4 (30%),7 (53%)
The Woodcutter,Reginald Hill,"5,549",ratings593,"First published July 20, 2010","Wolf Hadda's life has been a fairytale. From humble origins as a Cumbrian woodcutter's son, he has risen to become a successful entrepreneur, happily married to the girl of his dreams. A knock on the door one morning ends it all. Universally reviled, thrown into prison, abandoned by friends & family, Wolf retreats into silence.","519 pages, Hardcover",Mystery,469 followers,593 reviews,167 books469 followers,82 (1%),201 (3%),922 (16%),"2,243 (40%)","2,101 (37%)"
Hypocrite in a Pouffy White Dress: Tales of Growing up Groovy and Clueless,Susan Jane Gilman,"8,169",ratings726,"First published January 1, 2003",From the author of Kiss My Tiara comes a funny and poignant collection of true stories about women coming of age that for once isn't about finding a date.,"368 pages, Paperback",Memoir,384 followers,726 reviews,10 books384 followers,196 (2%),730 (8%),"2,337 (28%)","2,882 (35%)","2,024 (24%)"
Road to Megara,Cynthia Willerth,22,ratings4,"First published April 11, 2011",Knife of Truth's second novel by Cynthia Willerth is SmatteringsBooks young adult science fiction steampunk classic. The Order of the Story Tellers agree to an uneasy alliance with the Lords of Delmarath gathering evidence concerning a plot to destroy the prairie-men and oust the High King of Dana.,"320 pages, Paperback",books-i-own,5 followers,4 reviews,4 books5 followers,2 (9%),3 (13%),5 (22%),5 (22%),7 (31%)
Evolutionary Enlightenment: A New Path to Spiritual Awakening,Andrew Cohen,188,ratings14,"First published September 27, 2011","THE NEW SPIRITUALITY IS ALL ABOUT EVOLUTION    In Evolutionary Enlightenment: A New Path to Spiritual Awakening, Cohen redefines spirituality for our contemporary world* a world characterized by exponential change and an ever-expanding appreciation for the processes of evolution. Based on 25 years of groundbreaking work as a spiritual teacher and the editor-in-chief of the award-winning EnlightenNext magazine, Cohen has synthesized an original path, practice, and philosophy focused entirely on aligning yourself with what he calls * the evolutionary impulse.*  His message is simple, yet profound: Life is evolution, and enlightenment is about waking up to this fundamentally creative impulse as your own deepest, most authentic self* so that you can play an active role in creating the future.  EMBRACING CHANGE AS YOUR SPIRITUAL PRACTICE  Change is a constant in today* 's world. Technology is accelerating, globalization is making the world more and more complex, and the pace of life seems to be speeding up every day.  While many popular forms of contemporary spirituality offer ways to feel better in the face of overwhelming change* to discover greater equanimity, detachment, or compassion* Andrew Cohen says that change is not something to be avoided, or merely tolerated, but an essential aspect of reality that needs to be consciously embraced.  Through his five fundamental tenets for living an enlightened life, Cohen empowers you to wholeheartedly participate in the process of change as your own spiritual practice. In doing so, he not only makes deep sense of life today; he shows you how to play an active role in shaping the world of tomorrow.","213 pages, Hardcover",Spirituality,36 followers,14 reviews,96 books36 followers,8 (4%),8 (4%),37 (19%),66 (35%),69 (36%)
Million-Dollar Throw,Mike Lupica,"8,693",ratings926,"First published July 7, 2009","What would you do with a million dollars, if you were 13? Nate Brodie is nicknamed Brady not only for his arm, but also because he's the biggest Tom Brady fan. He's even saved up to buy an autographed football. And when he does, he wins the chance for something he's never dreamed of-to throw a pass through a target at a Patriots game for one million dollars. Nate should be excited. But things have been tough lately. His dad lost his job and his family is losing their home. It's no secret that a million dollars would go a long way. So all Nate feels is pressure, and just when he needs it most, his golden arm begins to fail him. Even worse, his best friend Abby is going blind, slowly losing her ability to do the one thing she loves most-paint. Yet Abby never complains, and she is Nate's inspiration. He knows she'll be there when he makes the throw of a lifetime. Mike Lupica's latest sports novel is also his most heartwarming.",ebook,Sports,"1,078 followers",926 reviews,"117 books1,078 followers",128 (1%),323 (3%),"1,512 (17%)","2,924 (33%)","3,806 (43%)"
Enemies & Allies,Kevin J. Anderson,"1,902",ratings237,"First published January 1, 2009","“[A] fun read….Batman and Superman meet in this retro-flavored novel set amid the Cold War sensibilities of the 1950s.”— USA Today The Dark Knight meets the Man of Steel in Enemies & Allies —the thrilling story of the first-ever  meeting between Batman and Superman, brilliantly imagined by New York Times bestselling author Kevin J. Anderson. One of today’s most popular writers pits the iconic superheroes against Lex Luthor and the Soviets—and each other—in a spellbinding story of destiny and duty set against the backdrop of America’s Cold War era.","336 pages, Hardcover",Fantasy,"2,872 followers",237 reviews,"873 books2,872 followers",35 (1%),147 (7%),542 (28%),716 (37%),462 (24%)
Illusion of Return,Samir El-Youssef,90,ratings16,"First published January 11, 2007","I could no longer resign myself to the idea that the past was unreal.The nameless narrator of this startling novella believed himself to be under no a Palestinian refugee, he had escaped the deadly tumult of Lebanon—the roving militias and endlessly complicated religious violence—by having long ago fled to London. He knew he could never go back.But then one day an old friend who had also escaped calls him and asks to meet at the airport on a stop-over on his way back to Lebanon. For the narrator, it summons up everything he thought he had suppressed, both the yearning to go home and the secret reason he can't.Thus the reunion with his old friend becomes, for the narrator, a disturbing confrnotation. And as they plunge into diverging memories—his friend's frighteningly unreal, his own even more frighteningly too real— The Illusion of Return becomes a revealing and moving study of extremism and its brutalizing effect not only on nations but on the intimate lives of the individuals it touches.The Contemporary Art of the Novella series is designed to highlight work by major authors from around the world. In most instances, as with Imre Kertész, it showcases work never before published; in others, books are reprised that should never have gone out of print. It is intended that the series feature many well-known authors and some exciting new discoveries. And as with the original series, The Art of the Novella, each book is a beautifully packaged and inexpensive volume meant to celebrate the form and its practitioners.","147 pages, Paperback",Fiction,8 followers,16 reviews,6 books8 followers,1 (1%),10 (11%),31 (34%),33 (36%),15 (16%)
Imaginary Girls,Nova Ren Suma,"7,358","ratings1,344","First published June 14, 2011","Chloe's older sister, Ruby, is the girl everyone looks to and longs for, who can't be captured or caged. When a night with Ruby's friends goes horribly wrong and Chloe discovers the dead body of her classmate London Hayes left floating in the reservoir, Chloe is sent away from town and away from Ruby.But Ruby will do anything to get her sister back, and when Chloe returns to town two years later, deadly surprises await. As Chloe flirts with the truth that Ruby has hidden deeply away, the fragile line between life and death is redrawn by the complex bonds of sisterhood.With palpable drama and delicious craft, Nova Ren Suma bursts onto the YA scene with the story that everyone will be talking about.","348 pages, Hardcover",Young Adult,826 followers,"1,344 reviews",11 books826 followers,469 (6%),"1,137 (15%)","2,162 (29%)","1,947 (26%)","1,643 (22%)"
The Great Night,Chris Adrian,"1,408",ratings298,"First published April 26, 2011","A brilliant and mesmerizing retelling of Shakespeare’s “A Midsummer Night’s Dream.”On Midsummer Eve 2008, three people, each on the run from a failed relationship, become trapped in San Francisco’s Buena Vista Park, the secret home of Titania, Oberon, and their court. On this night, something awful is happening in the faerie kingdom: in a fit of sadness over the end of her marriage, which broke up in the wake of the death of her adopted son, Titania has set loose an ancient menace, and the chaos that ensues will threaten the lives of immortals and mortals alike.Selected by The New Yorker as one the best young writers in America, Adrian has created a singularly playful, heartbreaking, and humorous novel—a story that charts the borders between reality and dreams, love and magic, and mortality and immortality.","292 pages, Hardcover",Fantasy,194 followers,298 reviews,36 books194 followers,123 (8%),251 (17%),477 (33%),385 (27%),172 (12%)
