Title,Authors,Avg Ratings,Rating,first_published,Description,Total_Pages,Genre,author_followers,no_of_reviews,no_book_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Murder in Pueblo del Mar,Billy Ray Chitwood,7,ratings2,"First published June 27, 2011","An Arizona wife and mother is murdered while on holiday in Mexico. Bailey Crane is an auxiliary cop with the Phoenix PD and is obliquely involved in the case until he visits close friends in Pueblo del Mar. The local police chief seeks Bailey's help in this most unusual caper about a philandering husband and a transvestite lover. There is of course the ever-loving musings of our southern Sherlock, an encounter with a mysterious mystic seer of 'Time and Place, ' and just about all the emotions in the human heart and soul. Bailey gets banged around and challenged at the highest level of his endurance. When family and friends are caught in the ugly web of corruption, drugs, and sex, our hero's Cherokee blood hits the boiling point. The brutally devastating climax comes in a 'Whale Shack' on the scrub brush and sand near the Sea of Cortez. This tale was inspired by an actual murder some years ago, and it's one you won't want to miss","376 pages, Paperback",2017,83 followers,2 reviews,21 books83 followers,0 (0%),1 (14%),1 (14%),0 (0%),5 (71%)
Roses,Leila Meacham,"17,268","ratings2,304","First published January 6, 2010","Spanning the 20th century, the story of Roses takes place in a small East Texas town against the backdrop of the powerful timber and cotton industries, industries controlled by the scions of the town's founding families. Cotton tycoon Mary Toliver and timber magnate Percy Warwick should have married but unwisely did not, and now must deal with the deceit, secrets, and tragedies of their choice and the loss of what might have been--not just for themselves but for their children, and children's children. With expert, unabashed, big-canvas storytelling, Roses covers a hundred years, three generations of Texans and the explosive combination of passion for work and longing for love.","609 pages, Hardcover",Historical Fiction,"1,253 followers","2,304 reviews","17 books1,253 followers",328 (1%),790 (4%),"2,989 (17%)","6,298 (36%)","6,863 (39%)"
Logos,Cheryl Anne Gardner,8,ratings3,"First published November 27, 2006","In all Chaos, there is a cosmos, in all disorder, a secret order. Now, imagine if the Horsemen were already among us, and imagine if the Fourth had a name. This is the story of an immortal soul. It is the story of a lot that had been cast, a story of heartbreak, pain, and acceptance, and ultimately, it is a story of redemption through love. From war ravaged 9BC Germania to modern day London, it is the story of three people whose lives will be forever changed by faith and fate . . . This is her story; her name is Selena, and she is the sword in the Shadows.","138 pages, Paperback",Fantasy,40 followers,3 reviews,10 books40 followers,0 (0%),0 (0%),3 (37%),2 (25%),3 (37%)
The Thin Wall,Cheryl Anne Gardner,11,ratings5,"First published November 24, 2007","Young, innocent college freshman Laleana O'Reilly, disenchanted with societal norms, decides that she needs a new philosophy. One dreary late night in the college library, she discovers the Marquis deSade and Julian, and through an unbridled act of passion, her innocence and naiveté were no more. The Thin Wall is a story of codependence, love, obsession, and the unadulterated surrender of one's body, mind, and soul. It's a story of trust and friendship. Laleana's struggle is one of faith, she teaches us that to accept and submit to one's desire is to receive bountiful pleasure, but to deny the need to be loved and accepted is to endure suffering beyond measure. Will Laleana have the strength to release herself from her bonds and find the love she seeks?","92 pages, Paperback",permanent-collection,40 followers,5 reviews,10 books40 followers,1 (9%),0 (0%),1 (9%),4 (36%),5 (45%)
Earth's Survivors Rising from The Ashes,Wendell G. Sweet,71,ratings1,"First published January 28, 2013","What if the world ended tomorrow? What would you do? Would you be able to survive? The Earth's Survivors books follow a small group of men and women as they struggle to survive on a vastly changed earth, where the dead sometimes do not remain dead. Follow along as they rebuild their own lives as they rebuild their world. A great change was coming to the Earth. Catastrophe was about to change everything her people took for granted. It made some wish for death, but death was no longer a guarantee. For some death had become some other sort of life. A life they could not easily leave.Watertown, New York a night in March...Mike Collins kicked back for a night of Television. Life had begun to be the same for him every day. He had money. He had success, but something was still missing.Candace Loi was thinking about her new job as a dancer. It had taken so long to get to that point. How would it be? Would it solve all of her problems?Patty Johnson was wondering when her husband might come home and whether she even cared any longer. Ron Vincent was wondering where exactly life was taking him. Robert Dove had a dream about his people, Native Americans going back to the land. Living the way his ancestors had. Tom Evans Drove truck and tried not to think too much about where his life was taking him. Marcia Lydia George kept her thoughts on school. The world was endless. At seventeen how could it not be?The only thing these people had in common is that they all lived in the same small city in upstate New York. Before the week was out they would be thrust together in a struggle for survival. Before the month was out those that survived would begin to seek others who had lived through the catastrophe that had blighted the Earth. Looking for ways to stay alive... they would become Earth's Survivors...","281 pages, Paperback",Zombies,7 followers,1 review,63 books7 followers,3 (4%),3 (4%),18 (25%),19 (26%),28 (39%)
The Possibility of an Island,Michel Houellebecq,"15,197",ratings969,"First published August 31, 2005","A worldwide phenomenon and the most important French novelist since Albert Camus, Michel Houellebecq now delivers his magnum opus–a tale of our present circumstances told from the future, when humanity as we know it has vanished.Surprisingly poignant, philosophically compelling, and occasionally laugh-out-loud funny, The Possibility of an Island is at once an indictment, an elegy, and a celebration of everything we have and are at risk of losing. It is a masterpiece from one of the world's most innovative writers.","352 pages, Paperback",Fiction,"7,190 followers",969 reviews,"62 books7,190 followers",417 (2%),"1,149 (7%)","3,595 (23%)","5,835 (38%)","4,201 (27%)"
The Last Hundred Days,Patrick McGuinness,"1,436",ratings171,"First published May 1, 2011","The socialist state is in crisis, the shops are empty, and old Bucharest vanishes daily under the onslaught of Ceaucescu's demolition gangs. The author creates an absorbing sense of time and place as the city struggles to survive this intense moment of history.Longlisted for the 2011 Man Booker Prize.Shortlisted for the 2011 Costa First Novel Award.Longlisted for the 2012 Desmond Elliot Prize.","384 pages, Paperback",Fiction,64 followers,171 reviews,50 books64 followers,23 (1%),97 (6%),385 (26%),613 (42%),318 (22%)
East,Edith Pattou,"44,137","ratings3,266","First published September 1, 2003","Rose has always been different. Since the day she was born, it was clear she had a special fate. Her superstitious mother keeps the unusual circumstances of Rose's birth a secret, hoping to prevent her adventurous daughter from leaving home... but she can't suppress Rose's true nature forever. So when an enormous white bear shows up one cold autumn evening and asks teenage Rose to come away with it--in exchange for health and prosperity for her ailing family--she readily agrees. Rose travels on the bear's broad back to a distant and empty castle, where she is nightly joined by a mysterious stranger. In discovering his identity, she loses her heart-- and finds her purpose--and realizes her journey has only just begun.","507 pages, Paperback",Fantasy,815 followers,"3,266 reviews",8 books815 followers,589 (1%),"1,790 (4%)","7,701 (17%)","14,594 (33%)","19,463 (44%)"
Lincoln's Melancholy: How Depression Challenged a President and Fueled His Greatness,Joshua Wolf Shenk,"6,272",ratings486,"First published September 22, 2005","Drawing on a wealth of his own research and the work of other Lincoln scholars, Shenk reveals how the sixteenth president harnessed his depression to fuel his astonishing success. Lincoln found the solace and tactics he needed to deal with the nation's worst crisis in the coping strategies he developed over a lifetime of persevering through depressive episodes and personal tragedies. With empathy and authority gained from his own experience with depression, Shenk crafts a nuanced, revelatory account of Lincoln and his legacy, and in the process unveils a wholly new perspective on how our greatest president guided America through its greatest turmoil.","368 pages, Paperback",History,39 followers,486 reviews,12 books39 followers,303 (4%),344 (5%),"1,131 (18%)","2,308 (36%)","2,186 (34%)"
Lila,Marilynne Robinson,"33,114","ratings4,573","First published October 7, 2014","A new American classic from the Pulitzer Prize-winning author of Gilead and Housekeeping. Marilynne Robinson, one of the greatest novelists of our time, returns to the town of Gilead in an unforgettable story of a girlhood lived on the fringes of society in fear, awe, and wonder.Lila, homeless and alone after years of roaming the countryside, steps inside a small-town Iowa church - the only available shelter from the rain - and ignites a romance and a debate that will reshape her life. She becomes the wife of a minister, John Ames, and begins a new existence while trying to make sense of the life that preceded her newfound security.Neglected as a toddler, Lila was rescued by Doll, a canny young drifter, and brought up by her in a hardscrabble childhood. Together they crafted a life on the run, living hand to mouth with nothing but their sisterly bond and a ragged blade to protect them. Despite bouts of petty violence and moments of desperation, their shared life was laced with moments of joy and love. When Lila arrives in Gilead, she struggles to reconcile the life of her makeshift family and their days of hardship with the gentle Christian worldview of her husband which paradoxically judges those she loves.Revisiting the beloved characters and setting of Robinson's Pulitzer Prize-winning Gilead and Home, a National Book Award finalist, Lila is a moving expression of the mysteries of existence that is destined to become an American classic.","272 pages, Kindle Edition",Fiction,"5,093 followers","4,573 reviews","49 books5,093 followers",767 (2%),"2,172 (6%)","6,620 (19%)","11,906 (35%)","11,649 (35%)"
Elephant Company: The Inspiring Story of an Unlikely Hero and the Animals Who Helped Him Save Lives in World War II,Vicki Constantine Croke,"10,425","ratings1,471","First published January 1, 2014","Billy Williams came to colonial Burma in 1920, fresh from service in World War I, to a job as a “forest man” for a British teak company. Mesmerized by the intelligence, character, and even humor of the great animals who hauled logs through the remote jungles, he became a gifted “elephant wallah.” Increasingly skilled at treating their illnesses and injuries, he also championed more humane treatment for them, even establishing an elephant “school” and “hospital.” In return, he said, the elephants made him a better man. The friendship of one magnificent tusker in particular, Bandoola, would be revelatory. In Elephant Company, Vicki Constantine Croke chronicles Williams’s growing love for elephants as the animals provide him lessons in courage, trust, and gratitude.   But Elephant Company is also a tale of war and daring. When Imperial Japanese forces invaded Burma in 1942, Williams joined the elite Force 136, the British dirty tricks department, operating behind enemy lines. His war elephants would carry supplies, build bridges, and transport the sick and elderly over treacherous mountain terrain. Now well versed in the ways of the jungle, an older, wiser Williams even added to his stable by smuggling more elephants out of Japanese-held territory. As the occupying authorities put a price on his head, Williams and his elephants faced his most perilous test. In a Hollywood-worthy climax, Elephant Company, cornered by the enemy, attempted a desperate escape: a risky trek over the mountainous border to India, with a bedraggled group of refugees in tow. Elephant Bill’s exploits would earn him top military honors and the praise of famed Field Marshal Sir William Slim.","368 pages, Hardcover",Nonfiction,55 followers,"1,471 reviews",11 books55 followers,65 (<1%),215 (2%),"1,396 (13%)","4,095 (39%)","4,654 (44%)"
Breath,Tim Winton,"22,081","ratings1,727","First published May 27, 2008","Tim Winton is Australia’s best-loved novelist. Breath is an extraordinary evocation of an adolescence spent resisting complacency, testing one’s limits against nature, finding like-minded souls, and discovering just how far one breath will take you. It’s a story of extremes—extreme sports and extreme emotions. On the wild, lonely coast of Western Australia, two thrillseeking and barely adolescent boys fall into the enigmatic thrall of veteran big-wave surfer Sando. Together they form an odd but elite trio. The grown man initiates the boys into a kind of Spartan ethos, a regimen of risk and challenge, where they test themselves in storm swells on remote and shark-infested reefs, pushing each other to the edges of endurance, courage, and sanity. But where is all this heading? Why is their mentor’s past such forbidden territory? And what can explain his American wife’s peculiar behavior? Venturing beyond all limits—in relationships, in physical challenge, and in sexual behavior—there is a point where oblivion is the only outcome. Full of Winton’s lyrical genius for conveying physical sensation, Breath is a rich and atmospheric coming-of-age tale from one of world literature’s finest storytellers.","218 pages, Hardcover",Fiction,"1,964 followers","1,727 reviews","83 books1,964 followers",314 (1%),"1,191 (5%)","5,129 (23%)","9,305 (42%)","6,142 (27%)"
The Great Derangement: Climate Change and the Unthinkable,Amitav Ghosh,"4,814",ratings704,"First published July 12, 2016","Are we deranged? The acclaimed Indian novelist Amitav Ghosh argues that future generations may well think so. How else to explain our imaginative failure in the face of global warming? In his first major book of nonfiction since In an Antique Land, Ghosh examines our inability—at the level of literature, history, and politics—to grasp the scale and violence of climate change.The extreme nature of today’s climate events, Ghosh asserts, make them peculiarly resistant to contemporary modes of thinking and imagining. This is particularly true of serious literary fiction: hundred-year storms and freakish tornadoes simply feel too improbable for the novel; they are automatically consigned to other genres. In the writing of history, too, the climate crisis has sometimes led to gross simplifications; Ghosh shows that the history of the carbon economy is a tangled global story with many contradictory and counterintuitive elements.Ghosh ends by suggesting that politics, much like literature, has become a matter of personal moral reckoning rather than an arena of collective action. But to limit fiction and politics to individual moral adventure comes at a great cost. The climate crisis asks us to imagine other forms of human existence—a task to which fiction, Ghosh argues, is the best suited of all cultural forms. His book serves as a great writer’s summons to confront the most urgent task of our time.","196 pages, Hardcover",Nonfiction,"3,640 followers",704 reviews,"51 books3,640 followers",59 (1%),191 (3%),901 (18%),"1,903 (39%)","1,760 (36%)"
Back When We Were Grownups,Anne Tyler,"20,905","ratings1,837","First published May 1, 2001","Once upon a time, there was a woman who discovered that she had turned into the wrong person.So Anne Tyler opens this irresistible new novel.The woman is Rebecca Davitch, a fifty-three-year-old grandmother. Is she an impostor in her own life? she asks herself. Is it indeed her own life? Or is it someone else’s?On the surface, Beck, as she is known to the Davitch clan, is outgoing, joyous, a natural celebrator. Giving parties is, after all, her vocation—something she slipped into even before finishing college, when Joe Davitch spotted her at an engagement party in his family’s crumbling nineteenth-century Baltimore row house, where giving parties was the family business. What caught his fancy was that she seemed to be having such a wonderful time. Soon this large-spirited older man, a divorcé with three little girls, swept her into his orbit, and before she knew it she was embracing his extended family plus a child of their own, and hosting endless parties in the ornate, high-ceilinged rooms of The Open Arms.Now, some thirty years later, after presiding over a disastrous family picnic, Rebecca is caught un-awares by the question of who she really is. How she answers it—how she tries to recover her girlhood self, that dignified grownup she had once been—is the story told in this beguiling, funny, and deeply moving novel.As always with Anne Tyler’s novels, once we enter her world it is hard to leave. But in Back When We Were Grownups she so sharpens our perceptions and awakens so many untapped feelings that we come away not only refreshed and delighted, but also infinitely wiser.","336 pages, Mass Market Paperback",Fiction,"7,135 followers","1,837 reviews","107 books7,135 followers",445 (2%),"1,896 (9%)","7,483 (35%)","7,823 (37%)","3,258 (15%)"
