Title,Authors,Avg Ratings,Rating,first_published,Description,Total_Pages,Genre,author_followers,no_of_reviews,no_book_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,"60,344","ratings5,744","First published October 23, 2012","Thousands of people have had near-death experiences, but scientists have argued that they are impossible. Dr. Eben Alexander was one of those scientists. A highly trained neurosurgeon, Alexander knew that NDEs feel real, but are simply fantasies produced by brains under extreme stress.Then, Dr. Alexander’s own brain was attacked by a rare illness. The part of the brain that controls thought and emotion—and in essence makes us human—shut down completely. For seven days he lay in a coma. Then, as his doctors considered stopping treatment, Alexander’s eyes popped open. He had come back.Alexander’s recovery is a medical miracle. But the real miracle of his story lies elsewhere. While his body lay in coma, Alexander journeyed beyond this world and encountered an angelic being who guided him into the deepest realms of super-physical existence. There he met, and spoke with, the Divine source of the universe itself.Alexander’s story is not a fantasy. Before he underwent his journey, he could not reconcile his knowledge of neuroscience with any belief in heaven, God, or the soul. Today Alexander is a doctor who believes that true health can be achieved only when we realize that God and the soul are real and that death is not the end of personal existence but only a transition.This story would be remarkable no matter who it happened to. That it happened to Dr. Alexander makes it revolutionary. No scientist or person of faith will be able to ignore it. Reading it will change your life.","196 pages, Paperback",Nonfiction,323 followers,"5,744 reviews",37 books323 followers,"2,619 (4%)","5,497 (9%)","15,479 (25%)","19,047 (31%)","17,702 (29%)"
The Husband Hunt,Lynsay Sands,"4,065",ratings274,"First published February 28, 2012","Let the hunt begin…Lisa Madison wants a husband, and she has just the candidate in mind: Robert Langley. Trouble is, the infuriating man insists on seeing her as the impish girl she once was—even as every other gentleman in London has taken notice of her womanly…charms. When her beauty lands her in danger, it’s Robert who comes to the rescue…only to announce his affections are not of the romantic variety!Robert saw enough sorrow in his parents’ union to know he wants nothing to do with marriage, which is exactly what he’ll be trapped into if he acts on his desire for the irksome siren. And then Lisa does what Robert least expects: gives up on him! As feigned indifference gives way, blistering passion burns at last. But just before the pair can give in to hard-won bliss, an enemy with unfinished business lurks threatening to destroy them both.","347 pages, Mass Market Paperback",Historical Romance,11.6k followers,274 reviews,123 books11.6k followers,99 (2%),277 (6%),"1,131 (27%)","1,388 (34%)","1,170 (28%)"
Lords of the North,Bernard Cornwell,"47,606","ratings1,645","First published January 1, 2007","The third instalment in Bernard Cornwell's King Alfred series, following on from the outstanding previous novels The Last Kingdom and The Pale Horseman, both of which were top ten bestsellers. The year is 878 and Wessex is free from the Vikings. Uhtred, the dispossessed son of a Northumbrian lord, helped Alfred win that victory, but now he is disgusted by Alfred's lack of generosity and repelled by the king's insistent piety. He flees Wessex, going back north to seek revenge for the killing of his foster father and to rescue his stepsister, captured in the same raid. He needs to find his old enemy, Kjartan, a renegade Danish lord who lurks in the formidable stronghold of Dunholm. Uhtred arrives in the north to discover rebellion, chaos and fear. His only ally is Hild, a West Saxon nun fleeing her calling, and his best hope is his sword, with which he has made a formidable reputation as a warrior. He will need the assistance of other warriors if he is to attack Dunholm and he finds Guthred, a slave who believes he is a king. He takes him across the Pennines to where a desperate alliance of fanatical Christians and beleaguered Danes form a new army to confront the terrible Viking lords who rule Northumbria. 'The Lords of the North' is a powerful story of betrayal, romance and struggle, set in an England of turmoil, upheaval and glory. Uhtred, a Northumbrian raised as a Viking, a man without lands, a warrior without a country, has become a splendid heroic figure.","317 pages, Hardcover",Historical Fiction,17.2k followers,"1,645 reviews",433 books17.2k followers,129 (<1%),447 (<1%),"4,835 (10%)","19,283 (40%)","22,912 (48%)"
"Blind Willow, Sleeping Woman",Haruki Murakami,"39,357","ratings2,900","First published July 1, 2006","Collection of twenty-four stories that generously expresses Murakami’s mastery of the form. From the surreal to the mundane, these stories exhibit his ability to transform the full range of human experience in ways that are instructive, surprising, and relentlessly entertaining. Here are animated crows, a criminal monkey, and an iceman, as well as the dreams that shape us and the things we might wish for. Whether during a chance reunion in Italy, a romantic exile in Greece, a holiday in Hawaii, or in the grip of everyday life, Murakami’s characters confront grievous loss, or sexuality, or the glow of a firefly, or the impossible distances between those who ought to be closest of all.","334 pages, Hardcover",Short Stories,117k followers,"2,900 reviews",545 books117k followers,317 (<1%),"1,843 (4%)","10,681 (27%)","17,379 (44%)","9,137 (23%)"
Armada,Ernest Cline,"119,462","ratings14,171","First published July 14, 2015","Zack Lightman has spent his life dreaming. Dreaming that the real world could be a little more like the countless science-fiction books, movies, and videogames he’s spent his life consuming. Dreaming that one day, some fantastic, world-altering event will shatter the monotony of his humdrum existence and whisk him off on some grand space-faring adventure. But hey, there’s nothing wrong with a little escapism, right? After all, Zack tells himself, he knows the difference between fantasy and reality. He knows that here in the real world, aimless teenage gamers with anger issues don’t get chosen to save the universe. And then he sees the flying saucer. Even stranger, the alien ship he’s staring at is straight out of the videogame he plays every night, a hugely popular online flight simulator called Armada—in which gamers just happen to be protecting the earth from alien invaders.  No, Zack hasn’t lost his mind. As impossible as it seems, what he’s seeing is all too real. And his skills—as well as those of millions of gamers across the world—are going to be needed to save the earth from what’s about to befall it. It’s Zack’s chance, at last, to play the hero. But even through the terror and exhilaration, he can’t help thinking back to all those science-fiction stories he grew up with, and wondering: Doesn’t something about this scenario seem a little…familiar? At once gleefully embracing and brilliantly subverting science-fiction conventions as only Ernest Cline could, Armada is a rollicking, surprising thriller, a classic coming of age adventure, and an alien invasion tale like nothing you’ve ever read before—one whose every page is infused with the pop-culture savvy that has helped make Ready Player One a phenomenon.","355 pages, Hardcover",Science Fiction,27k followers,"14,171 reviews",20 books27k followers,"4,542 (3%)","13,682 (11%)","36,484 (30%)","40,853 (34%)","23,901 (20%)"
The Animal Dialogues: Uncommon Encounters in the Wild,Craig Childs,"2,839",ratings289,"First published December 12, 2007","From one of the finest nature writers at work in America today; a lyrical, dramatic, illuminating tour of the hidden domain of wild animals.Whether recalling the experience of being chased through the Grand Canyon by a bighorn sheep, swimming with sharks off the coast of British Columbia, watching a peregrine falcon perform acrobatic stunts at 200 miles per hour, or engaging in a tense face-off with a mountain lion near a desert waterhole, Craig Childs captures the moment so vividly that he puts the reader in his boots.Each of the forty brief, compelling narratives in The Animal Dialogues focuses on the author's own encounter with a particular species and is replete with astonishing facts about the species' behavior, habitat, breeding, and lifespan. But the glory of each essay lies in Childs's ability to portray the sometimes brutal beauty of the wilderness, to capture the individual essence of wild creatures, to transport the reader beyond the human realm and deep inside the animal kingdom.","323 pages, Hardcover",Nonfiction,342 followers,289 reviews,30 books342 followers,43 (1%),133 (4%),423 (14%),898 (31%),"1,342 (47%)"
"Valiant Ambition: George Washington, Benedict Arnold, and the Fate of the American Revolution",Nathaniel Philbrick,"8,852","ratings1,224","First published May 10, 2016","From the New York Times bestselling author of In The Heart of the Sea, comes a surprising account of the middle years of the American Revolution, and the tragic relationship between George Washington and Benedict Arnold.   In September 1776, the vulnerable Continental Army under an unsure George Washington (who had never commanded a large force in battle) evacuates New York after a devastating defeat by the British Army. Three weeks later, near the Canadian border, one of his favorite generals, Benedict Arnold, miraculously succeeds in postponing the British naval advance down Lake Champlain that might have ended the war. Four years later, as the book ends, Washington has vanquished his demons and Arnold has fled to the enemy after a foiled attempt to surrender the American fortress at West Point to the British. After four years of war, America is forced to realize that the real threat to its liberties might not come from without but from within. Valiant Ambition is a complex, controversial, and dramatic portrait of a people in crisis and the war that gave birth to a nation. The focus is on loyalty and personal integrity, evoking a Shakespearean tragedy that unfolds in the key relationship of Washington and Arnold, who is an impulsive but sympathetic hero whose misfortunes at the hands of self-serving politicians fatally destroy his faith in the legitimacy of the rebellion. As a country wary of tyrants suddenly must figure out how it should be led, Washington’s unmatched ability to rise above the petty politics of his time enables him to win the war that really matters.","427 pages, Hardcover",History,"3,178 followers","1,224 reviews","41 books3,178 followers",62 (<1%),250 (2%),"1,330 (15%)","4,174 (47%)","3,036 (34%)"
Rubicon: The Last Years of the Roman Republic,Tom Holland,"20,675","ratings1,250","First published January 1, 2003","In 49 B.C., the seven hundred fifth year since the founding of Rome, Julius Caesar crossed a small border river called the Rubicon and plunged Rome into cataclysmic civil war. Tom Holland’s enthralling account tells the story of Caesar’s generation, witness to the twilight of the Republic and its bloody transformation into an empire.From Cicero, Spartacus, and Brutus, to Cleopatra, Virgil, and Augustus, here are some of the most legendary figures in history brought thrillingly to life. Combining verve and freshness with scrupulous scholarship, Rubicon is not only an engrossing history of this pivotal era but a uniquely resonant portrait of a great civilization in all its extremes of self-sacrifice and rivalry, decadence and catastrophe, intrigue, war, and world-shaking ambition.","408 pages, Paperback",History,"2,385 followers","1,250 reviews","99 books2,385 followers",195 (<1%),479 (2%),"2,853 (13%)","8,352 (40%)","8,796 (42%)"
The Two Princesses of Bamarre,Gail Carson Levine,"72,091","ratings2,800","First published March 20, 2001","Twelve-year-old Addie admires her older sister Meryl, who aspires to rid the kingdom of Bamarre of gryphons, specters, and ogres. Addie, on the other hand, is fearful even of spiders and depends on Meryl for courage and protection. Waving her sword Bloodbiter, the older girl declaims in the garden from the heroic epic of Drualt to a thrilled audience of Addie, their governess, and the young sorcerer Rhys. But when Meryl falls ill with the dreaded Gray Death, Addie must gather her courage and set off alone on a quest to find the cure and save her beloved sister. Addie takes the seven-league boots and magic spyglass left to her by her mother and the enchanted tablecloth and cloak given to her by Rhys - along with a shy declaration of his love. She prevails in encounters with tricky specters (spiders too) and outwits a wickedly personable dragon in adventures touched with romance and a bittersweet ending.","304 pages, Paperback",Fantasy,"9,046 followers","2,800 reviews","56 books9,046 followers","1,061 (1%)","3,268 (4%)","15,075 (20%)","23,934 (33%)","28,753 (39%)"
The Condition,Jennifer Haigh,"9,968","ratings1,402","First published July 1, 2008","The Condition tells the story of the McKotches, a proper New England family that comes apart during one fateful summer. The year is 1976, and the family, Frank McKotch, an eminent scientist; his pedigreed wife, Paulette; and their three beautiful children has embarked on its annual vacation at the Captain's House, the grand old family retreat on Cape Cod. One day on the beach, Frank is struck by an image he cannot forget: his thirteen-year-old daughter, Gwen, strangely infantile in her child-sized bikini, standing a full head shorter than her younger cousin Charlotte. At that moment he knows a truth that he can never again unknown something is terribly wrong with his only daughter. The McKotch family will never be the same.Twenty years after Gwen's diagnosis with Turner's syndrome, a genetic condition that has prevented her from maturing, trapping her forever in the body of a child, all five family members are still dealing with the fallout. Each believes himself crippled by some secret pathology; each feels responsible for the family's demise. Frank and Paulette are acrimoniously divorced. Billy, the eldest son, is dutiful but distant, a handsome Manhattan cardiologist with a life built on compromise. His brother, Scott, awakens from a pot-addled adolescence to a soul-killing job, a regrettable marriage, and a vinyl-sided tract house in the suburbs. And Gwen is silent and emotionally aloof, a bright, accomplished woman who spurns any interaction with those around her. She makes peace with the hermetic life she's constructed until, well into her thirties, she falls in love for the first time. And suddenly, once again, the family's world is tilted on its axis.Compassionate yet unflinchingly honest, witty and almost painfully astute, The Condition explores the power of family mythologies, the self-delusions, denials, and inescapable truths that forever bind fathers and mothers and siblings.","400 pages, Hardcover",Fiction,964 followers,"1,402 reviews",37 books964 followers,259 (2%),911 (9%),"3,562 (35%)","3,822 (38%)","1,414 (14%)"
