Title,Authors,Avg Ratings,Rating,first_published,Description,Total_Pages,Genre,author_followers,no_of_reviews,no_book_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
A Wind in the House of Islam,David Garrison,735,ratings100,"January 1, 2014","There are nine rooms in the house of Islam... and a wind is blowing through every one of them. David Garrison asked a thousand Muslim-background followers of Christ from movements in each of the nine rooms in the house of Islam, ""Tell me your story. What did God use to bring you to faith in Jesus Christ?""","328 pages, Paperback",Christian,12 follower,100 reviews,24,4 (<1%),16 (2%),84 (11%),252 (34%),379 (51%)
The Past As Present: Forging Contemporary Identities Through History,Romila Thapar,266,ratings27,"April 1, 2014","Understanding our past is of critical importance to our present.Many popularly held views about the past need to be critically inquired into before they can be taken as historical. For instance, what was the aftermath of the raid on the Somanatha temple? Which of us is Aryan or Dravidian? Why is it important for Indian society to be secular? When did communalism as an ideology gain a foothold in the country? How and when did our patriarchal mindset begin to support a culture of violence against women? Why are the fundamentalists so keen to rewrite history textbooks?The answers to these and similar questions have been disputed and argued about ever since they were first posed. Distinguished historian Romila Thapar has investigated, analyzed and interpreted the history that underlies such questions throughout her career; now, in this book, through a series of incisive essays she argues that it is of critical importance for the past to be carefully and rigorously explained, if the legitimacy of our present, wherever it derives from the past, is to be portrayed as accurately as possible. This is especially pertinent given the attempts by unscrupulous politicians, religious fundamentalists and their ilk to try and misrepresent and wilfully manipulate the past in order to serve their present-day agendas. An essential and necessary book at a time when sectarianism, bogus ‘nationalism’ and the muddying of historical facts are increasingly becoming a feature of our public, private and intellectual lives.Interesting factsA new collection of essays from renowned historian Romila Thapar, one of the most important Indian academics writing today.Well-researched and thoroughly accessible, this volume is sure to become essential reading for those interested in Indian history and religion.Includes her experience of writing history textbooks for school, analysis of ancient history and interpretations of the epics, and the role history plays in contemporary politics.Understanding our past is of critical importance to our present.Many popularly held views about the past need to be critically inquired into before they can be taken as historical. For instance, what was the aftermath of the raid on the Somanatha temple? Which of us is Aryan or Dravidian? Why is it important for Indian society to be secular? When did communalism as an ideology gain a foothold in the country? How and when did our patriarchal mindset begin to support a culture of violence against women? Why are the fundamentalists so keen to rewrite history textbooks?The answers to these and similar questions have been disputed and argued about ever since they were first posed. Distinguished historian Romila Thapar has investigated, analyzed and interpreted the history that underlies such questions throughout her career; now, in this book, through a series of incisive essays she argues that it is of critical importance for the past to be carefully and rigorously explained, if the legitimacy of our present, wherever it derives from the past, is to be portrayed as accurately as possible. This is especially pertinent given the attempts by unscrupulous politicians, religious fundamentalists and their ilk to try and misrepresent and willfully manipulate the past in order to serve their present-day agendas. An essential and necessary book at a time when sectarianism, bogus ‘nationalism’ and the muddying of historical facts are increasingly becoming a feature of our public, private and intellectual lives.Interesting factsA new collection of essays from renowned historian Romila Thapar, one of the most important Indian academics writing today.Well-researched and thoroughly accessible, this volume is sure to become essential reading for those interested in Indian history and religion.Includes her experience of writing history textbooks for school, analysis of ancient history and interpretations of the epics, and the role history plays in contemporary politics.","344 pages, Hardcover",History,311 follower,27 reviews,94,23 (8%),12 (4%),38 (14%),106 (39%),87 (32%)
A Blade of Grass,Lewis DeSoto,"1,210",ratings142,"August 18, 2003","Barnes & Noble Discover Great New WritersA Blade of Grass is a graceful and stunning epic set in 1970s South Africa, on a remote farm owned by a newly married couple. The mistress of the house, Marit, is young, recently orphaned, easily intimidated, and unaccustomed to rural life. With no close neighbors or friends, Marit feels isolated in the house while her husband works in the fields all day. Marit's displacement is soon echoed in the character of Tembi, the daughter of Marit's household maid, who assumes her mother's responsibilities in the farmhouse after she is hit by a car.An encroaching civil war soon threatens the tranquility of the farm, and before long a plague of violence descends. Abandoned by the other farm workers, the care of the farm is now left to Marit and Tembi, who begin this new struggle for survival as equals, but whose unity is put to a devastating test.DeSoto paints an unforgettable portrait of South Africa with tensions, both political and sexual, simmering underneath. Recalling J. M. Coetzee's Disgrace in his portrayal of Apartheid, DeSoto explodes onto the literary scene with a first novel of tremendous power and literary skill. His description of a terrifying world gone awry holds at its center a deep understanding of the patience of the land, and the enduring hope for renewal.","416 pages, Paperback",Fiction,17 follower,142 reviews,9,34 (2%),108 (8%),342 (28%),460 (38%),266 (21%)
Property is Theft!: A Pierre-Joseph Proudhon Anthology,Pierre-Joseph Proudhon,120,ratings4,"November 1, 2010","""An indispensable source book for anyone interested in Proudhon's ideas and the origins of the socialist and anarchist movements in nineteenth-century Europe.""—Robert Graham, editor of Anarchism: A Documentary History of Libertarian Ideas""Iain McKay's introduction offers a sure-footed guide through the misconceptions surrounding Proudhon's thought.""—Mark Leier, author of Bakunin: The Creative PassionMore influential than Karl Marx during his lifetime, Pierre-Joseph Proudon's work has long been out of print or unavailable in English. Iain McKay's comprehensive collection is a much-needed and timely historical corrective.Iain McKay is the editor of An Anarchist FAQ.","823 pages, Paperback",Politics,311 follower,4 reviews,759,1 (<1%),5 (4%),27 (22%),37 (30%),50 (41%)
Lord of the Shadows,Darren Shan,"23,078",ratings526,"January 1, 2005",所有一切，都必須臣服在暗黑之王的陰影下！ 達倫轉過身，發現一大片有許多巨大蟾蜍的荒原，黑豹不停發出嘶嘶的低吼聲，遠處的城市在一片烈焰中燒成灰燼，一朵朵蘑菇狀的黑煙和火焰直竄空中。他突然在浪潮的上空看見一條龍在盤旋，長長的身體閃著亮光，身軀上的鱗片散發著一種駭人的美感。最不可思議的是，牠的背上竟有一個不停閃現的黑色人影，咯咯咯發出有如惡魔般的笑聲，邪惡中帶著嘲弄的意味。達倫轉身面對黑色人影，朝他吼著：『你這個惡魔，有膽就下來跟我一較高下！』黑色人影卻只是冷笑幾聲，伸出手朝火焰浪潮揮去，那火浪突然朝達倫打了下來，使得達倫的臉上燃燒著熾熱的火焰，肺中充滿鮮血，但是，最讓達倫害怕的卻是，在被黑暗吞噬前，達倫看了一眼暗黑之王，卻看見了自己的臉……,"192 pages, Paperback",Fantasy,"7,759 follower",526 reviews,253,191 (<1%),777 (3%),"3,746 (16%)","7,426 (32%)","10,938 (47%)"
Retour à Killybegs,Sorj Chalandon,"1,351",ratings150,"August 17, 2011","Maintenant que tout est decouvert, ils vont parler a ma place. L'IRA, les Britanniques, ma famille, mes proches, des journalistes que je n'ai meme jamais rencontres. Certains oseront vous expliquer pourquoi et comment j'en suis venu a trahir. Des livres seront peut-etre ecrits sur moi, et j'enrage. N'ecoutez rien de ce qu'ils pretendront. Ne vous fiez pas a mes ennemis, encore moins a mes amis. Detournez-vous de ceux qui diront m'avoir connu. Personne n'a jamais ete dans mon ventre, personne. Si je parle aujourd'hui, c'est parce que je suis le seul a pouvoir dire la verite. Parce qu'apres moi, j'espere le silence.Killybegs, le 24 decembre 2006Tyrone Meehan","334 pages, Paperback",Ireland,152 follower,150 reviews,23,5 (<1%),42 (3%),193 (14%),574 (42%),537 (39%)
Charles Dickens,Claire Tomalin,"6,822",ratings574,"January 1, 2011","The tumultuous life of England's greatest novelist, beautifully rendered by unparalleled literary biographer Claire Tomalin. When Charles Dickens died in 1870, The Times of London successfully campaigned for his burial in Westminster Abbey, the final resting place of England's kings and heroes. Thousands flocked to mourn the best recognized and loved man of nineteenth-century England. His books had made them laugh, shown them the squalor and greed of English life, and also the power of personal virtue and the strength of ordinary people. In his last years Dickens drew adoring crowds to his public appearances, had met presidents and princes, and had amassed a fortune. Like a hero from his novels, Dickens trod a hard path to greatness. Born into a modest middle-class family, his young life was overturned when his profligate father was sent to debtors' prison and Dickens was forced into harsh and humiliating factory work. Yet through these early setbacks he developed his remarkable eye for all that was absurd, tragic, and redemptive in London life. He set out to succeed, and with extraordinary speed and energy made himself into the greatest English novelist of the century. Years later Dickens's daughter wrote to the author George Bernard Shaw, ""If you could make the public understand that my father was not a joyous, jocose gentleman walking about the world with a plum pudding and a bowl of punch, you would greatly oblige me."" Seen as the public champion of household harmony, Dickens tore his own life apart, betraying, deceiving, and breaking with friends and family while he pursued an obsessive love affair. Charles A Life gives full measure to Dickens's heroic stature-his huge virtues both as a writer and as a human being- while observing his failings in both respects with an unblinking eye. Renowned literary biographer Claire Tomalin crafts a story worthy of Dickens's own pen, a comedy that turns to tragedy as the very qualities that made him great-his indomitable energy, boldness, imagination, and showmanship-finally destroyed him. The man who emerges is one of extraordinary contradictions, whose vices and virtues were intertwined as surely as his life and his art.","527 pages, Hardcover",Biography,387 follower,574 reviews,40,300 (4%),407 (5%),"1,253 (18%)","2,542 (37%)","2,320 (34%)"
"Redefining Realness: My Path to Womanhood, Identity, Love & So Much More",Janet Mock,"16,061","ratings1,442","February 4, 2014","In 2011, Marie Claire magazine published a profile of Janet Mock in which she stepped forward for the first time as a trans woman. Those 2300 words were life-altering for the People.com editor, turning her into an influential and outspoken public figure and a desperately needed voice for an often voiceless community. In these pages, she offers a bold and inspiring perspective on being young, multicultural, economically challenged, and transgender in America.  Welcomed into the world as her parents’ firstborn son, Mock decided early on that she would be her own person—no matter what. She struggled as the smart, determined child in a deeply loving yet ill-equipped family that lacked the money, education, and resources necessary to help her thrive. Mock navigated her way through her teen years without parental guidance, but luckily, with the support of a few close friends and mentors, she emerged much stronger, ready to take on—and maybe even change—the world.  This powerful memoir follows Mock’s quest for identity, from an early, unwavering conviction about her gender to a turbulent adolescence in Honolulu that saw her transitioning during the tender years of high school, self-medicating with hormones at fifteen, and flying across the world alone for sex reassignment surgery at just eighteen. With unflinching honesty, Mock uses her own experience to impart vital insight about the unique challenges and vulnerabilities of trans youth and brave girls like herself.  Despite the hurdles, Mock received a scholarship to college and moved to New York City, where she earned a master’s degree, enjoyed the success of an enviable career, and told no one about her past. She remained deeply guarded until she fell for a man who called her the woman of his dreams. Love fortified her with the strength to finally tell her story, enabling her to embody the undeniable power of testimony and become a fierce advocate for a marginalized and misunderstood community. A profound statement of affirmation from a courageous woman, Redefining Realness provides a whole new outlook on what it means to be a woman today, and shows as never before how to be authentic, unapologetic, and wholly yourself.","263 pages, Hardcover",Nonfiction,721 follower,"1,442 reviews",6,283 (1%),364 (2%),"1,615 (10%)","5,782 (36%)","8,017 (49%)"
The Penderwicks in Spring,Jeanne Birdsall,"10,799","ratings1,374","March 24, 2015","Springtime is finally arriving on Gardam Street, and there are surprises in store for each member of the family. Some surprises are just wonderful, like neighbor Nick Geiger coming home from war. And some are ridiculous, like Batty's new dog-walking business. Batty is saving up her dog-walking money for an extra-special surprise for her family, which she plans to present on her upcoming birthday. But when some unwelcome surprises make themselves known, the best-laid plans fall apart.   Filled with all the heart, hilarity, and charm that has come to define this beloved clan, The Penderwicks in Spring is about fun and family and friends (and dogs), and what happens when you bring what's hidden into the bright light of the spring sun. With over one million copies sold, this series of modern classics about the charming Penderwick family, from National Book Award winner and New York Times bestseller Jeanne Birdsall, is perfect for fans of Noel Streatfeild and Edward Eager.","339 pages, Hardcover",Middle Grade,"1,157 follower","1,374 reviews",21,56 (<1%),171 (1%),"1,073 (9%)","3,455 (31%)","6,044 (55%)"
River of Fire,Erin Hunter,"3,649",ratings171,"April 10, 2018","A shadow has fallen across the warrior Clans.The return of the long-lost SkyClan has ushered in a time of unprecedented change and upheaval, and one of the proudest warrior Clans is no more. ShadowClan has given up its territory. Its remaining warriors have joined SkyClan, and its former leader, Rowanclaw, has abandoned the name StarClan once gave him.Some cats are content to accept this fragile new peace. But StarClan warns of a storm building on the horizon . . . and Alderheart, Violetshine, and Twigpaw must fight for not only their Clanmates and kin, but all five warrior Clans.","352 pages, ebook",Fantasy,"9,281 follower",171 reviews,343,28 (<1%),122 (3%),443 (12%),932 (25%),"2,124 (58%)"
