Title,Authors,Avg Ratings,Rating,first_published,Description,Total_Pages,Genre,author_followers,no_of_reviews,no_book_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Steinbeck's Ghost,Lewis Buzbee,342,ratings95,"September 2, 2008","It’s been two months since Travis’s family moved to a development so new that it seems totally unreal. His parents are working harder now, to pay for it all, and Travis is left to fend for himself. There’s one place, though, where Travis can still connect with his old life: the Salinas library. Travis and his family used to go there together every Saturday, but now he bikes to it alone, re-reading his favorite books. It’s only natural that Travis likes the work of author John Steinbeck—after all, Salinas is Steinbeck’s hometown. But that can’t explain why Travis is suddenly seeing Steinbeck’s characters spring to life. There’s the homeless man in the alley behind the library, the line of figures at the top of a nearby ridge, the boy who writes by night in an attic bedroom. Travis has met them all before—as a reader. But why are they here now? And how? As Travis struggles to solve this mystery, budget cuts threaten his library. And so, he embarks on a journey through Steinbeck’s beautiful California landscape, looking for a way to save his safe haven. It’s only then that he begins to sort out fact from fiction, discovering the many ways a story can come alive—and stumbling into a story Steinbeck might have started, and Travis needs to complete. Here is a mystery that delves deeply into the ways that books take us, one at a time, out into the vast world.","352 pages, Hardcover",Young Adult,235 follower,95 reviews,11,6 (1%),35 (10%),107 (31%),119 (34%),75 (21%)
My Single Friend,Jane Costello,"4,574",ratings226,"January 1, 2010","At 28, Lucy is doing well for herself. She's got a great job in PR, her boss loves her, and her best girlfriends Dominique and Erin think she's great. More important than anyone's opinion is that of her flatmate, and oldest friend in the world, Henry. For twenty years they've been inseparable: beauty and the geek. Henry thinks the world of Lucy. So why does she feel the need to lie outrageously on dates? From rock-climbing to Chekov: when it comes to prospective boyfriends, Lucy is compelled to embellish her C.V. with unlikely porkies that always backfire - with hilarious results. Henry can't understand it. Lucy is so loveable: why can't she just be herself? But when Lucy turns the spotlight on Henry, he wishes he'd never brought it up. With a penchant for jumpers and NHS-style specs, Lucy decides that Henry is in need of a makeover - big time. Enlisting the help of Dom and Erin, it's not long before the girls have Henry out of the flat, and into the Topman changing rooms. A new haircut, contact lenses, a flirting master-class from Dom ...poor Henry doesn't know what's hit him. But nothing can prepare them for the surprise results! Before long, Lucy realises that their lives will never be the same again","419 pages, Paperback",Chick Lit,971 follower,226 reviews,28,102 (2%),312 (6%),"1,109 (24%)","1,528 (33%)","1,523 (33%)"
Impulse,Vanessa Garden,582,ratings75,"December 1, 2014","When Miranda Sun returns to Marin on the eve of her eighteenth birthday, this time of her own free will, she quickly learns that her worst fears have been realised. The glittering underwater city is not as she had left it, nor too is Marko, the young king who has dominated her thoughts and heart for the last twelve months since leaving Marin.Miranda, however, has not made the journey to Marin alone, and now must contend with not only Marko’s evil brother Damir but more surprisingly her sister Lauren who has an agenda of her own. Marko’s power begins to wane and with cracks beginning to show in the domed Utopian city, and veiled danger lurking everywhere, she quickly learns that in this dazzling city full of beautiful people she can trust no-one but herself.If Miranda wants to survive, she must decide between the hardened sensibilities in her head and the hungers of her heart. Will her decision cause more heartache or can she help to save Marko’s throne?","284 pages, Paperback",Young Adult,243 follower,75 reviews,12,11 (1%),31 (5%),132 (22%),197 (33%),211 (36%)
Productivity Tools for Business: 57 Proven Online Tools to Recapture the Hours of Your Day,Michael Cordova,11,ratings2,"September 15, 2014","REVISED AND UPDATED for 2018!In 1993 I founded my software company 21st Century Technologies, Inc. I have since build custom database software systems for the top pharmaceutical and semiconductor companies in the world. Although I still build database software systems, my efforts have moved in the direction of building websites that increase companies sales and doing online marketing, search engine optimization and search engine marketing/pay per click advertising. This experience has led me to founding the publishing company WildBlue Press along with my partner Steve Jackson. I'm past CTO and founder of Mercury Leads, and I'm past CTO of Well.org.In my marketing shoes I have increased a software product customer's sales from $500,000/year to $4,000,000/year, an 8-fold increase in sales. I increased an HVAC customer's sales by $400K in one month and I have helped countless customers establish, maintain and grow their online presence.Efficiency and delivery of top-quality services in all of these endeavors is absolutely critical to the success of my companies, and more importantly my customers. I am always on the hunt for great tools that will improve the fruits of my labors and save me time.In writing this eBook I have literally combed through my installed applications, paid services, daily routines and bookmarks (one of the tools) to make sure this list of productivity tools is complete. I have been thinking about doing it for years, not these tools are all here for you to incorporate into your own business and research efforts.I have no doubt that you will find multiple tools here that will make your life, or the lives of your customers better and more efficient.",ebook,Business,18 follower,2 reviews,9,2 (18%),0 (0%),2 (18%),1 (9%),6 (54%)
Grains of Gold: Tales of a Cosmopolitan Traveler,Gendün Chöphel,13,ratings3,"January 1, 2014","In 1941, philosopher and poet Gendun Chopel (1903–51) sent a large manuscript by ship, train, and yak across mountains and deserts to his homeland in the northeastern corner of Tibet. He would follow it five years later, returning to his native land after twelve years in India and Sri Lanka. But he did not receive the welcome he he was arrested by the government of the regent of the young Dalai Lama on trumped-up charges of treason. He emerged from prison three years later a broken man and died soon after. Gendun Chopel was a prolific writer during his short life. Yet he considered that manuscript, which he titled Grains of Gold , to be his life’s work, one to delight his compatriots with tales of an ancient Indian and Tibetan past, while alerting them to the wonders and dangers of the strikingly modern land abutting Tibet’s southern border, the British colony of India. Now available for the first time in English, Grains of Gold is a unique compendium of South Asian and Tibetan culture that combines travelogue, drawings, history, and ethnography. Gendun Chopel describes the world he discovered in South Asia, from the ruins of the sacred sites of Buddhism to the Sanskrit classics he learned to read in the original. He is also sharply, often humorously critical of the Tibetan love of the fantastic, bursting one myth after another and finding fault with the accounts of earlier Tibetan pilgrims. Exploring a wide range of cultures and religions central to the history of the region, Gendun Chopel is eager to describe all the new knowledge he gathered in his travels to his Buddhist audience in Tibet. At once the account of the experiences of a tragic figure in Tibetan history and the work of an extraordinary scholar, Grains of Gold is an accessible, compelling work animated by a sense of discovery of both a distant past and a strange present.","473 pages, Hardcover",Nonfiction,18 follower,3 reviews,8,0 (0%),0 (0%),0 (0%),5 (38%),8 (61%)
Stirred,J.A. Konrath,"4,490",ratings334,"November 22, 2011","BROKEN COP VS. LEGENDARY SERIAL KILLER...
Lt. Jacqueline “Jack” Daniels has seen humanity at its most depraved and terrifying. She’s lost loved ones. Come close to death countless times. But she always manages to triumph over evil. Luther Kite is humanity at its most depraved and terrifying. He’s committed unthinkable acts. Taken human life for the sheer pleasure of it. He is a monster among monsters, and no one has ever caught him. Each is the best at what they do. Peerless. Unmatched.Until now…In Luther’s experience, people are weak. Even the strong and fearless break too easily. He wants a challenge, and sets his depraved sights on Jack. But with a baby on the way, Jack is at her most vulnerable. She’s always been a fighter, but she’s never had so much to fight for. So he’s built something especially for Jack. His own, private ninth circle of hell―a nightmare world in a forgotten place, from which no one has ever escaped.It’s J.A. Konrath’s greatest heroine versus Blake Crouch’s greatest villain in Stirred, the stunning conclusion to both Konrath’s Lt. Jacqueline “Jack” Daniels thriller series and Crouch’s Andrew Z. Thomas series.STIRRED by Crouch and KonrathOnly one can survive. And it won’t be whom you think.If you are a more sensitive (or adventurous) reader, this handy scale rates specific categories from 1 (lowest) to 10 (highest) to give you some idea if this is your kind of book.STIRREDBad Language – 5Scary – 6Violent – 8Funny – 7Sexy – 2Crossovers―Blake Crouch’s Luther Kite series, JA Konrath’s Jack Daniels series, and the Konrath Dark Thriller Collective.","504 pages, Kindle Edition",Mystery,"2,902 follower",334 reviews,177,112 (2%),199 (4%),806 (17%),"1,594 (35%)","1,779 (39%)"
The Magnetic North: Notes From The Arctic Circle,Sara Wheeler,457,ratings71,"January 1, 2009","A Globe and Mail Best Books of the Year 2011 TitleMore than a decade ago, Sara Wheeler traveled to Antarctica to understand a continent nearly lost to myth and lore. In the widely acclaimed, bestselling Terra Incognita, she chronicled her quest to find a hidden history buried in Antarctica's extreme surroundings. Now, Wheeler journeys to the opposite pole to create a definitive picture of life on the fringes. In The Magnetic North, she takes full measure of the Arctic: at once the most pristine place on earth and the locus of global warming.Inspired by the spiraling shape of a reindeer-horn bangle, she travels counterclockwise around the North Pole through the territories belonging to Russia, the United States, Canada, Denmark, Norway, and Finland, marking the transformations of what once seemed an unchangeable landscape. As she witnesses the mounting pollution concentrated at the pole, Wheeler reckons with the illness of the whole organism of the earth.Smashing through the Arctic Ocean with the crew of a Russian icebreaker, shadowing the endless Trans-Alaska Pipeline with a tough Idaho-born outdoorswoman, herding reindeer with the Lapps, and visiting the haunting, deceptively peaceful lands of the Gulag, Wheeler brings the Arctic's many contradictions to life. The Magnetic North is an urgent, beautiful book, rich in dramatic description and vivid reporting. It is a singular, deeply personal portrait of a region growing daily in global importance.","354 pages, Hardcover",Travel,124 follower,71 reviews,26,9 (1%),27 (5%),136 (29%),189 (41%),96 (21%)
Are You Afraid of the Dark?,Sidney Sheldon,"30,332","ratings1,137","January 1, 2004","The new novel that Sidney Sheldon's millions of fans all over the world have been waiting for. And, like his seventeen previous books, it is destined for a top place on bestseller lists everywhere. In New York, Denver, Paris and Berlin, four people have died separately in apparent accidents. Two women -- the widows of two of the dead -- find themselves under ruthless attack and are drawn together in fear, confusion and for mutual protection. But are they being targeted because one of them is the prosecution witness at a famous criminal trial? Or is there a connection to the mystery behind their husband's deaths? Meanwhile, Tanner Kingsley, Chief Executive of an international Think Tank created only seven years ago, is on the cusp of an amazing discovery which could alter the future of the world. If properly handled, the outcome of this could deliver unbelievable power into the company's hands. But are the mysterious deaths connected to this volatile secret? And can it be further protected? Thrown together, the women could not be more different: Diane Stevens is a well-connected, affluent artist from the Upper East Side. Philadelphia neighbourhood with a new 'uncle' every month, believed she had at last found safety and contentment in Paris, married to a brilliant scientist. Taut with suspense and vivid characterization, and with an unnervingly realistic premise that could alter our lives, ARE YOU AFRAID OF THE DARK is Sheldon at the top of his form.","401 pages, Paperback",Fiction,"8,016 follower","1,137 reviews",281,732 (2%),"2,615 (8%)","9,246 (30%)","10,509 (34%)","7,230 (23%)"
Kellopelikuningas,Magdalena Hai,95,ratings18,"January 1, 2013","Pakolaisprinsessa Gigin perhe on jättänyt rähjäisen Alhaiston taakseen ja solahtanut osaksi Keloburgin yläluokkaa. Gigin isästä on tullut arvostettu keksijä, joka rakentaa jättiläismäistä ilmalaivaa Keloburgin mahtimiehelle. Mutta kun suosiotaan kasvattava fanaattinen uskonlahko Sokean Jumalan veljeskunta alkaa saarnata, että muukalaiset ja ilmalaivat pitäisi hävittää, on Gigin ja hänen parhaan ystävänsä katupoika Henryn sukellettava jälleen seikkailuun...","330 pages, Hardcover",Steampunk,165 follower,18 reviews,52,0 (0%),2 (2%),19 (20%),53 (55%),21 (22%)
Cobra II: The Inside Story of the Invasion and Occupation of Iraq,Michael R. Gordon,"2,003",ratings131,"January 1, 2006","Written by the chief military correspondent of the New York Times and a prominent retired Marine general, this is the definitive account of the invasion of Iraq.A stunning work of investigative journalism, Cobra II describes in riveting detail how the American rush to Baghdad provided the opportunity for the virulent insurgency that followed. As Gordon and Trainor show, the brutal aftermath was not inevitable and was a surprise to the generals on both sides. Based on access to unseen documents and exclusive interviews with the men and women at the heart of the war, Cobra II provides firsthand accounts of the fighting on the ground and the high-level planning behind the scenes. Now with a new afterword that addresses what transpired after the fateful events of the summer of 2003, this is a peerless re-creation and analysis of the central event of our times.From the Trade Paperback edition.","640 pages, Hardcover",History,34 follower,131 reviews,8,11 (<1%),86 (4%),459 (22%),863 (43%),584 (29%)
