Title,Authors,Avg Ratings,Rating,first_published,Description,Total_Pages,Genre,author_followers,no_of_reviews,no_book_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Desesperanto: Poems 1999-2002,Marilyn Hacker,64,ratings7,"January 1, 2003","One of our strongest poets of conscience confronts the dangerous new century with intelligence, urbanity, and elegiac humor. Marilyn Hacker's voice is unique in its intelligence, urbanity, its deployment of an elegiac humor, its weaving of literary sources into the fabric and vocabulary of ordinary life, its archaeology of memory. Desesperanto refines the themes of loss, exile, and return that have consistently informed her work. The title itself is a wordplay combining the Spanish word esperanto, signifying ""hope,"" and the French desespoir , meaning ""to lose heart."" Des-esperanto , then, is a universal language of despair ―despair of the possibility of a universal language. As always in Hacker's poetry, prosodic measure is a catalyst for profound feeling and accurate thought, and she employs it with a wit and brio that at once stem from and counteract despair. Guillaume Apollinaire, June Jordan, and Joseph Roth are among this book's tutelary spirits, to whom the poet pays homage as she confronts a new, dangerous century.","124 pages, Paperback",Poetry,74 follower,7 reviews,100,2 (3%),8 (12%),14 (21%),18 (28%),22 (34%)
The Rent Collector,Camron Wright,"48,760","ratings6,500","August 24, 2012","Survival for Ki Lim and Sang Ly is a daily battle at Stung Meanchey, the largest municipal waste dump in all of Cambodia. They make their living scavenging recyclables from the trash. Life would be hard enough without the worry for their chronically ill child, Nisay, and the added expense of medicines that are not working. Just when things seem worst, Sang Ly learns a secret about the bad-tempered rent collector who comes demanding money--a secret that sets in motion a tide that will change the life of everyone it sweeps past. The Rent Collector is a story of hope, of one woman's journey to save her son and another woman's chance at redemption.","304 pages, Hardcover",Fiction,709 follower,"6,500 reviews",12,328 (<1%),"1,167 (2%)","6,063 (12%)","19,022 (39%)","22,180 (45%)"
Inventing the Enemy: Essays,Umberto Eco,"1,532",ratings136,"January 1, 2011","Inventing the Enemy covers a wide range of topics on which Umberto Eco has written and lectured for the past ten years, from a disquisition on the theme that runs through his most recent novel, The Prague Cemetery —every country needs an enemy, and if it doesn’t have one, must invent it—to a discussion of ideas that have inspired his earlier novels. Along the way, he takes us on an exploration of lost islands, mythical realms, and the medieval world. Eco also sheds light on the indignant reviews of James Joyce’s Ulysses by fascist journalists of the 1920s and 1930s, and provides a lively examination of Saint Thomas Aquinas’s notions about the soul of an unborn child, censorship, violence, and WikiLeaks. These are essays full of passion, curiosity, and obsessions by one of the world’s most esteemed scholars and critically acclaimed, best-selling novelists.","222 pages, Hardcover",Nonfiction,10.8k follower,136 reviews,862,16 (1%),99 (6%),404 (26%),637 (41%),376 (24%)
I Am a Truck,Michelle Winters,"1,431",ratings267,"November 1, 2016","A tender but lively debut novel about a man, a woman, and their Chevrolet dealer.Agathe and Rejean Lapointe are about to celebrate their twentieth wedding anniversary when Rejean's beloved Chevy Silverado is found abandoned at the side of the road - with no trace of Rejean. Agathe handles her grief by fondling the shirts in the Big and Tall department at Henderman's Family Apparel and carrying on a relationship with a cigarette survey. As her hope dwindles, Agathe falls in with her spirited coworker Debbie, who teaches Agathe about rock and roll, and with Martin Bureau, the one man who might just know the truth about Rejean's fate.Reminiscent of 2015 Canada Reads finalist And the Birds Rained Down and Gone Girl, I Am A Truck is a funny and moving portrayal of Acadian love and loyalty.","149 pages, Paperback",Fiction,22 follower,267 reviews,14,23 (1%),126 (8%),437 (30%),601 (41%),244 (17%)
Crazy Rich Asians,Kevin Kwan,"485,725","ratings37,707","June 11, 2013","Crazy Rich Asians is the outrageously funny debut novel about three super-rich, pedigreed Chinese families and the gossip, backbiting, and scheming that occurs when the heir to one of the most massive fortunes in Asia brings home his ABC (American-born Chinese) girlfriend to the wedding of the season.When Rachel Chu agrees to spend the summer in Singapore with her boyfriend, Nicholas Young, she envisions a humble family home, long drives to explore the island, and quality time with the man she might one day marry. What she doesn't know is that Nick's family home happens to look like a palace, that she'll ride in more private planes than cars, and that with one of Asia's most eligible bachelors on her arm, Rachel might as well have a target on her back.Initiated into a world of dynastic splendor beyond imagination, Rachel meets Astrid, the It Girl of Singapore society; Eddie, whose family practically lives in the pages of the Hong Kong socialite magazines; and Eleanor, Nick's formidable mother, a woman who has very strong feelings about who her son should—and should not—marry.Uproarious, addictive, and filled with jaw-dropping opulence, Crazy Rich Asians is an insider's look at the Asian JetSet; a perfect depiction of the clash between old money and new money; between Overseas Chinese and Mainland Chinese; and a fabulous novel about what it means to be young, in love, and gloriously, crazily rich.","403 pages, Hardcover",Fiction,20.5k follower,"37,707 reviews",9,"7,672 (1%)","25,012 (5%)","114,066 (23%)","199,244 (41%)","139,731 (28%)"
4 Chair Discipling: Growing a Movement of Disciple-Makers,Dann L. Spader,246,ratings22,"August 1, 2014","Dann Spader is a disciple-maker who has spent his adult life exploring what it means to take someone from being a seeker to making disciples themselves. Over 750,000 people in 80 countries have been trained to make disciples through organizations he has led. Through studying the life of Christ and His disciple-making methods, Dann developed 4 Chair Discipling, a simple picture for others to follow. Jesus’ last words on earth had a few very specific instructions: Go, make disciples, baptize, and teach.But what does that mean for us today? Well, it’s not easy. But it is simple. Teacher and leader Dann Spader explains disciple-making as a process of moving people through four chairs, from someone seeking to know more about Christ to someone who makes disciples themselves. Chair 1: Come and See (John 1:39)Chair 2: Follow Me (John 1:43)Chair 3: Become a Fisher of Men (Matthew 4:19)Chair 4: Go and Bear Fruit (John 15:16) In the process of His four-year ministry, Jesus realized that different people are at different stages of growth and development, and He works to challenge each of them to the next level. In 4 Chair Discipling , you’ll get a clear and simple picture of how to follow in Jesus’ footsteps and do the same thing.","160 pages, Hardcover",Discipleship,2 follower,22 reviews,10,3 (1%),8 (3%),40 (16%),94 (38%),101 (41%)
Desecrating Solomon II,Lucian Bane,220,ratings78,"January 28, 2016","On the seventh day, of the seventh year... she desecrates Solomon and Chaos find themselves in the hands of evil. Tortuous days in the old asylum are no longer a thing of the past. The church is looking for redemption in the form of Solomon Gorge. And the deranged spirits of the past, beckon Solomon to come... come and see the secrets hiding in the walls of the asylum.","174 pages, ebook",Fantasy,"2,906 follower",78 reviews,131,10 (4%),9 (4%),17 (7%),39 (17%),145 (65%)
Poppy and Ereth,Avi,934,ratings88,"January 1, 2009","The sixth book in the beloved Poppy series by Newbery Medal–winning author Avi, with illustrations from Caldecott Medal–winning artist Brian FlocaHas Ereth lost Poppy forever?Poppy, a deer mouse, has spent the long winter curled up inside her tree snag home in Dimwood Forest. When the ground thaws and life returns to the woods, Poppy sets out in search of excitement.Suddenly, swooped up by Luci the bat, Poppy is flying high over the forest. Meanwhile, Poppy’s best friend, Ereth the grumbling porcupine, who was with Poppy when she vanished, is convinced that she has died. He sets out to give her the best funeral ever.Can Poppy find her way out of the bats’ cave to set Ereth straight and return home after the adventure of a lifetime?","224 pages, Hardcover",Fiction,"1,609 follower",88 reviews,310,5 (<1%),23 (2%),185 (19%),344 (36%),377 (40%)
"X-Day, Volume 1",Setona Mizushiro,394,ratings30,"January 1, 2002","""It's senior year, and Rika is seriously stressed out. She's got more homework, exams, and papers than she can handle, and was recently dumped by her boyfriend. In other Life sucks! One day, she's chatting online when she meets three classmates who hate school as much as she does. Together, they hatch a plan to blow up the school when no one is present. The countdown is on for X-Day ...""--Cover.","192 pages, Paperback",Manga,160 follower,30 reviews,139,9 (2%),29 (7%),110 (27%),142 (36%),104 (26%)
What Are You Afraid Of?: Stories about Phobias,Donald R. Gallo,155,ratings26,"July 11, 2006","Renowned anthologist Donald R. Gallo calls on eleven top authors to explore what happens when fear takes on a mind of its own.Everyone is afraid of something. But for those who have phobias, that fear is exaggerated and their reactions are the heart races, sweat beads up on skin, the eyes narrow, and the throat tightens. The ten stories in this fascinating anthology all present people with debilitatinganxiety — from Alex Flinn's gripping psychological portrait of a teen with agoraphobia to David Lubar's humorous tale of a boy faced with dread incarnate in the form of his girlfriend's cat. Whether the trigger is clowns, knives, string, or crossing the street, the characters in these riveting stories confront, are confronted by, and, in some cases, ultimately succeed in overcoming their worst fears.","208 pages, Hardcover",Short Stories,18 follower,26 reviews,28,6 (3%),18 (11%),55 (35%),49 (31%),27 (17%)
The Night Watchman,Louise Erdrich,"73,666","ratings7,996","March 3, 2020","Based on the extraordinary life of National Book Award-winning author Louise Erdrich’s grandfather who worked as a night watchman and carried the fight against Native dispossession from rural North Dakota all the way to Washington, D.C., this powerful novel explores themes of love and death with lightness and gravity and unfolds with the elegant prose, sly humor, and depth of feeling of a master craftsman.Thomas Wazhashk is the night watchman at the jewel bearing plant, the first factory located near the Turtle Mountain Reservation in rural North Dakota. He is also a Chippewa Council member who is trying to understand the consequences of a new “emancipation” bill on its way to the floor of the United States Congress. It is 1953 and he and the other council members know the bill isn’t about freedom; Congress is fed up with Indians. The bill is a “termination” that threatens the rights of Native Americans to their land and their very identity. How can the government abandon treaties made in good faith with Native Americans “for as long as the grasses shall grow, and the rivers run”?Since graduating high school, Pixie Paranteau has insisted that everyone call her Patrice. Unlike most of the girls on the reservation, Patrice, the class valedictorian, has no desire to wear herself down with a husband and kids. She makes jewel bearings at the plant, a job that barely pays her enough to support her mother and brother. Patrice’s shameful alcoholic father returns home sporadically to terrorize his wife and children and bully her for money. But Patrice needs every penny to follow her beloved older sister, Vera, who moved to the big city of Minneapolis. Vera may have disappeared; she hasn’t been in touch in months, and is rumored to have had a baby. Determined to find Vera and her child, Patrice makes a fateful trip to Minnesota that introduces her to unexpected forms of exploitation and violence, and endangers her life.Thomas and Patrice live in this impoverished reservation community along with young Chippewa boxer Wood Mountain and his mother Juggie Blue, her niece and Patrice’s best friend Valentine, and Stack Barnes, the white high school math teacher and boxing coach who is hopelessly in love with Patrice.In the Night Watchman, Louise Erdrich creates a fictional world populated with memorable characters who are forced to grapple with the worst and best impulses of human nature. Illuminating the loves and lives, the desires and ambitions of these characters with compassion, wit, and intelligence, The Night Watchman is a majestic work of fiction from this revered cultural treasure.","464 pages, ebook",Fiction,10.5k follower,"7,996 reviews",125,692 (<1%),"2,601 (3%)","12,647 (17%)","29,663 (40%)","28,063 (38%)"
"Jesus and the Powers: Conflict, Covenant, and the Hope of the Poor",Richard A. Horsley,20,ratings3,"October 1, 2010","Refusing a false dichotomy between ""politics"" and ""religion"" in Jesus' world (and our own), Jesus and the Powers rediscovers Jesus' response to the imperial power of his day. Richard A. Horsley describes the relevance of political realities under great empires for understanding the rise of covenantal theology and apocalyptic vision in Israel's history. Then he explores aspects of Jesus' activity in the context of the Roman Empire. Horsley examines Jesus as an exorcist and prophetic figure and the character of his death by crucifixion. He also shows how the community life in the early Pauline assemblies gave form to a new response to imperial powers--and stimulus to contemporary readers to re-imagine their own response to political realities in our own day.","256 pages, Paperback",Theology,21 follower,3 reviews,50,0 (0%),2 (10%),5 (25%),10 (50%),3 (15%)
Warlight,Michael Ondaatje,"44,467","ratings5,430","May 8, 2018","In a narrative as mysterious as memory itself - at once both shadowed and luminous - Warlight is a vivid, thrilling novel of violence and love, intrigue and desire. It is 1945, and London is still reeling from the Blitz and years of war. 14-year-old Nathaniel and his sister, Rachel, are apparently abandoned by their parents, left in the care of an enigmatic figure named The Moth. They suspect he might be a criminal, and grow both more convinced and less concerned as they get to know his eccentric crew of friends- men and women with a shared history, all of whom seem determined now to protect, and educate (in rather unusual ways) Rachel and Nathaniel. But are they really what and who they claim to be? A dozen years later, Nathaniel begins to uncover all he didn't know or understand in that time, and it is this journey - through reality, recollection, and imagination - that is told in this magnificent novel.","290 pages, Paperback",Historical Fiction,"3,739 follower","5,430 reviews",134,"1,386 (3%)","4,677 (10%)","13,276 (29%)","15,915 (35%)","9,213 (20%)"
Providence,Alan Moore,823,ratings141,"January 1, 2018","Providence is Alan Moore's quintessential horror series! In it, he weaves and reinvents the works of H.P. Lovecraft through historical events. It is both a sequel and prequel to Neonomicon. The Providence Compendium is the complete series, all twelve issues by Alan Moore and Jacen Burrows, in one 480 page volume.","544 pages, Hardcover",Comics,19.8k follower,141 reviews,"1,746",9 (1%),47 (5%),146 (17%),309 (37%),312 (37%)
The Vanished Birds,Simon Jimenez,"7,533","ratings1,569","January 14, 2020","A mysterious child lands in the care of a solitary woman, changing both of their lives forever in this captivating debut of connection across space and time.""This is when your life begins.""Nia Imani is a woman out of place and outside of time. Decades of travel through the stars are condensed into mere months for her, though the years continue to march steadily onward for everyone she has ever known. Her friends and lovers have aged past her; all she has left is work. Alone and adrift, she lives only for the next paycheck, until the day she meets a mysterious boy, fallen from the sky.A boy, broken by his past.The scarred child does not speak, his only form of communication the beautiful and haunting music he plays on an old wooden flute. Captured by his songs and their strange, immediate connection, Nia decides to take the boy in. And over years of starlit travel, these two outsiders discover in each other the things they lack. For him, a home, a place of love and safety. For her, an anchor to the world outside of herself.For both of them, a family.But Nia is not the only one who wants the boy. The past hungers for him, and when it catches up, it threatens to tear this makeshift family apart.","391 pages, Hardcover",Science Fiction,704 follower,"1,569 reviews",4,101 (1%),378 (5%),"1,353 (17%)","2,782 (36%)","2,919 (38%)"
