Title,Authors,Avg Ratings,Rating,first_published,Description,Total_Pages,Genre,author_followers,no_of_reviews,no_book_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
The Curse of the Gloamglozer,Paul Stewart,"7,879",ratings223,"January 1, 2001","Fourteen-year-old Quint Verginix is the only remaining son of famous sky-pirate Wind Jackal. He and his father have journeyed to the city of Sanctaphrax – a great floating rock, bound to the ground below by a chain, its inhabitants living with their heads literally in the clouds.But the city hides a dangerous secret: deep inside the great rock, something horrible lurks. With his father away, Quint may be the only one who can save Sanctaphrax from the dreaded curse of the gloamglozer . . .The Curse of the Gloamglozer is the first book of the Quint Saga – first trilogy in The Edge Chronicles, the internationally best-selling fantasy series, which has featured on the UK and the New York Times best-seller lists and sold more than 3 million copies. There are now 13 titles and four trilogies in the series, but each book is a stand-alone adventure, so you can read The Edge Chronicles in any order you choose.","370 pages, Hardcover",Fantasy,866 follower,223 reviews,203,91 (1%),242 (3%),"1,471 (18%)","2,868 (36%)","3,207 (40%)"
Sadistic Games: Book 1 & 2,Lucian Bane,146,ratings77,"December 24, 2018","Mordecai is a psychopath. Miriam is a Christian. Both want the same thing--to help each other. But where Miriam’s intentions are pure, Mordecai’s are full of sadistic games.","87 pages, Kindle Edition",Dark,"2,906 follower",77 reviews,131,8 (5%),5 (3%),15 (10%),27 (18%),91 (62%)
Masterminds,Gordon Korman,"11,899","ratings1,428","February 3, 2015","The first book in the action-packed trilogy from New York Times bestselling author Gordon Korman is perfect for fans of Stranger Things and James Patterson. Eli Frieden has never left Serenity, New Mexico...why would he ever want to? Then one day, he bikes to the edge of the city limits and something so crazy and unexpected happens, it changes everything.Eli convinces his friends to help him investigate further, and soon it becomes clear that nothing is as it seems in Serenity. The clues mount to reveal a shocking discovery, connecting their ideal crime-free community to some of the greatest criminal masterminds ever known.The kids realize they can trust no one—least of all their own parents.","336 pages, Paperback",Middle Grade,"3,669 follower","1,428 reviews",235,99 (<1%),238 (2%),"1,507 (12%)","4,182 (35%)","5,873 (49%)"
"Palaces for the People: How Social Infrastructure Can Help Fight Inequality, Polarization, and the Decline of Civic Life",Eric Klinenberg,"4,461",ratings614,"September 11, 2018","An eminent sociologist and bestselling author offers an inspiring blueprint for rebuilding our fractured society.  We are living in a time of deep divisions. Americans are sorting themselves along racial, religious, and cultural lines, leading to a level of polarization that the country hasn't seen since the Civil War. Pundits and politicians are calling for us to come together, to find common purpose. But how, exactly, can this be done?In Palaces for the People, Eric Klinenberg suggests a way forward. He believes that the future of democratic societies rests not simply on shared values but on shared spaces: the libraries, childcare centers, bookstores, churches, synagogues, and parks where crucial, sometimes life-saving connections, are formed. These are places where people gather and linger, making friends across group lines and strengthening the entire community. Klinenberg calls this the ""social infrastructure"" When it is strong, neighborhoods flourish; when it is neglected, as it has been in recent years, families and individuals must fend for themselves.Klinenberg takes us around the globe--from a floating school in Bangladesh to an arts incubator in Chicago, from a soccer pitch in Queens to an evangelical church in Houston--to show how social infrastructure is helping to solve some of our most pressing challenges: isolation, crime, education, addiction, political polarization, and even climate change.Richly reported, elegantly written, and ultimately uplifting, Palaces for the People urges us to acknowledge the crucial role these spaces play in civic life. Our social infrastructure could be the key to bridging our seemingly unbridgeable divides--and safeguarding democracy.","288 pages, Hardcover",Nonfiction,211 follower,614 reviews,16,14 (<1%),134 (3%),"1,018 (22%)","2,104 (47%)","1,191 (26%)"
ABC of Typography,David Rault,95,ratings21,"October 1, 2018","For the first time, the history of typography is told in comic strip form   Typography confronts us everywhere: in books and newspapers, on road signs, in product packaging, and on political leaflets. It is ubiquitous to the point of mundanity. But while the typeface might be secondary to the message, it remains crucial to the way we respond. Fonts spark emotions; they evoke eras and ideologies. Some, like Edward Johnson’s for the London Underground, have become iconic. Others, like Comic Sans, are loathed. Each one has its own place in history.  The ABC of Typography traces 3,500 years of type from Sumerian pictographs through Roman calligraphy to Gutenberg, the Bauhaus, and beyond. Brimming with insight and anecdote, this witty and well-informed graphic guide explores the historical, technological, and cultural shifts that have defined the look of the words we read.","128 pages, Hardcover",Comics,11 book,21 reviews,11,0 (0%),6 (6%),21 (22%),46 (48%),22 (23%)
A Curse So Dark and Lonely,Brigid Kemmerer,"155,850","ratings21,717","January 29, 2019","An alternative cover edition for this ISBN can be found here.Fall in love, break the curse.Cursed by a powerful enchantress to repeat the autumn of his eighteenth year, Prince Rhen, the heir of Emberfall, thought he could be saved easily if a girl fell for him. But that was before he turned into a vicious beast hell-bent on destruction. Before he destroyed his castle, his family, and every last shred of hope.Nothing has ever been easy for Harper. With her father long gone, her mother dying, and her brother constantly underestimating her because of her cerebral palsy, Harper learned to be tough enough to survive. When she tries to save a stranger on the streets of Washington, DC, she's pulled into a magical world.Break the curse, save the kingdom.Harper doesn't know where she is or what to believe. A prince? A curse? A monster? As she spends time with Rhen in this enchanted land, she begins to understand what's at stake. And as Rhen realizes Harper is not just another girl to charm, his hope comes flooding back. But powerful forces are standing against Emberfall . . . and it will take more than a broken curse to save Harper, Rhen, and his people from utter ruin.","484 pages, Hardcover",Fantasy,16.1k follower,"21,717 reviews",28,"2,340 (1%)","7,830 (5%)","31,652 (20%)","62,547 (40%)","51,481 (33%)"
Then the Fish Swallowed Him,Amir Ahmadi Arian,733,ratings128,"March 24, 2020","An critically-acclaimed Iranian author makes his American literary debut with this powerful and harrowing psychological portrait of modern Iran—an unprecedented and urgent work of fiction with echoes of The Stranger, 1984, and The Orphan Master’s Son—that exposes the oppressive and corrosive power of the state to bend individual lives. Yunus Turabi, a bus driver in Tehran, leads an unremarkable life. A solitary man since the unexpected deaths of his father and mother years ago, he is decidedly apolitical—even during the driver’s strike and its bloody end. But everyone has their breaking point, and Yunus has reached his.Handcuffed and blindfolded, he is taken to the infamous Evin prison for political dissidents. Inside this stark, strangely ordered world, his fate becomes entwined with Hajj Saeed, his personal interrogator. The two develop a disturbing yet interdependent relationship, with each playing his assigned role in a high stakes psychological game of cat and mouse, where Yunus endures a mind-bending cycle of solitary confinement and interrogation. In their startlingly intimate exchanges, Yunus’s life begins to unfold—from his childhood memories growing up in a freer Iran to his heartbreaking betrayal of his only friend. As Yunus struggles to hold on to his sanity and evade Saeed’s increasingly undeniable accusations, he must eventually make an impossible continue fighting or submit to the system of lies upholding Iran’s power.Gripping, startling, and masterfully told, Then the Fish Swallowed Him is a haunting story of life under despotism.","288 pages, ebook",Fiction,39 follower,128 reviews,3,13 (1%),50 (6%),274 (37%),273 (37%),123 (16%)
The Battlemage,Taran Matharu,"16,887","ratings1,168","May 2, 2017","The epic conclusion to the New York Times–bestselling Summoner trilogy, by Taran Matharu!Fletcher and his friends fight for survival in the ether, where they pursue a mortally dangerous quest to rebuild their world and broker peace.Even as hatred threatens to turn friend into foe in The Battlemage, Fletcher must lead a small army of soldiers into battle to protect his ancestral homeland, and face his biggest challenge yet: his nemesis, the albino orc, Khan, who seeks to destroy everything Fletcher holds dear.","385 pages, Kindle Edition",Fantasy,"4,116 follower","1,168 reviews",21,110 (<1%),408 (2%),"2,186 (12%)","5,671 (33%)","8,512 (50%)"
Heat and Light,Ellen Van Neerven,"1,098",ratings161,"August 27, 2014","In ‘Heat’, we meet several generations of the Kresinger family and the legacy left by the mysterious Pearl. In ‘Water’, a futuristic world is imagined and the fate of a people threatened. In ‘Light’, familial ties are challenged and characters are caught between a desire for freedom and a sense of belonging.Heat and Light presents an intriguing collection while heralding the arrival of an exciting new talent in Australian writing.","232 pages, Paperback",Short Stories,102 follower,161 reviews,28,12 (1%),82 (7%),284 (25%),451 (41%),269 (24%)
Trial by Ice: The True Story of Murder and Survival on the 1871 Polaris Expedition,Richard Parry,239,ratings32,"February 27, 2001","In 1871, the Polaris sailed with great fanfare from New York harbor and began a historic journey to one of the earth’s final frontiers. Seven months later, a handful of half-starved survivors returned with a story that shocked the entire nation. . . .In the dark, divisive years following the Civil War, America’s foremost Arctic explorer, Charles Francis Hall, became a figure of national pride and renown when he embarked on a harrowing, landmark expedition. With financial backing from Congress and the personal support of President Grant, Captain Hall and his crew boarded the Polaris, a steam schooner carefully refitted for its rigorous journey, and began their quest to be the first men to reach the North Pole.Hall was a veteran of the Arctic and a man of great physical stamina, but all his strength and experience couldn’t combat the conflicts brewing among his officers and crew. Beset by bad luck, a lack of discipline, and an unclear chain of command, the Polaris entered the icy waters off the coast of Greenland. Neither the ship nor its captain would ever return.As the expedition reached its most crucial stage, Hall inexplicably sickened and died. Whispers of murder swept through the ship. Still, the Polaris forged on, only to meet with a further disaster that left half the crew separated from the ship and most of their supplies at the bottom of the ocean. What followed was a horrifying, seven-month ordeal through the heart of an Arctic winter, when men fought starvation, madness, and each other upon the ever-shifting ice.Trial by Ice is an incredible adventure that pits men against the natural elements and their own fragile human nature. Beyond this, it is also an authentic murder mystery that, in its time, led to accusations of foul play and a dramatic, unresolved investigation. Now, more than a century after the crime was committed, the author draws on recent evidence to recount the amazing story of the killer who boarded the Polaris–and got away with murder.In this powerful true story of death and survival, courage and intrigue aboard a doomed ship, Richard Parry chronicles one of the most astonishing, little known tragedies at sea in American history.","336 pages, Hardcover",History,6 follower,32 reviews,65,1 (<1%),6 (2%),59 (24%),111 (46%),62 (25%)
The Witch Boy,Molly Knox Ostertag,"27,510","ratings3,353","October 28, 2017","From the illustrator of the web comic Strong Female Protagonist comes a debut middle-grade graphic novel about family, identity, courage -- and magic.In thirteen-year-old Aster's family, all the girls are raised to be witches, while boys grow up to be shapeshifters. Anyone who dares cross those lines is exiled. Unfortunately for Aster, he still hasn't shifted . . . and he's still fascinated by witchery, no matter how forbidden it might be. When a mysterious danger threatens the other boys, Aster knows he can help -- as a witch. It will take the encouragement of a new friend, the non-magical and non-conforming Charlie, to convince Aster to try practicing his skills. And it will require even more courage to save his family . . . and be truly himself.",224 pages,Graphic Novels,"1,896 follower","3,353 reviews",38,287 (1%),654 (2%),"3,907 (14%)","10,646 (38%)","12,016 (43%)"
Aphrodite Made Me Do It,Trista Mateer,"10,105","ratings1,654","October 1, 2019","Bestselling and award-winning author Trista Mateer takes an imaginative approach to self-care in this new poetry and prose collection, Aphrodite Made Me Do It. In this empowering retelling, she uses the mythology of the goddess to weave a common thread through the past and present. By the end of this book, Aphrodite make you believe in the possibility of your own healing.","224 pages, Kindle Edition",Poetry,"1,281 follower","1,654 reviews",16,240 (2%),677 (6%),"1,998 (19%)","3,387 (33%)","3,803 (37%)"
Love Warrior,Glennon Doyle Melton,"70,595","ratings6,192","September 6, 2016","#1 New York Times BestsellerOprah's Book Club 2016 SelectionA memoir of marriage and self-discovery by bestselling author Glennon Doyle Melton, Love Warrior is a gorgeous and inspiring account of how we are all born to be warriors: strong, powerful, and brave; able to confront the pain and claim the love that exists for us all. This chronicle of a beautiful, brutal journey speaks to anyone who yearns for deeper, truer relationships and a more abundant, authentic life.","272 pages, Hardcover",Memoir,"6,560 follower","6,192 reviews",12,"1,485 (2%)","3,463 (4%)","12,317 (17%)","24,274 (34%)","29,056 (41%)"
