Title,Authors,Avg Ratings,Rating,first_published,Description,Total_Pages,Genre,author_followers,no_of_reviews,no_book_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Looking for Peyton Place,Barbara Delinsky,"3,567",ratings200,"July 12, 2005","For Annie Barnes, going home to Middle River means dealing with truths long hidden, some of which she buried there herself. But it is a journey she knows she must take if she is to put to rest, once and for all, her misgivings about her mother's recent death.  To an outsider, Middle River is a picture-perfect New Hampshire town. But Annie grew up there, and she knows all its secrets -- as did her idol Grace Metalious, author of the infamous novel Peyton Place, which laid a small town's sexual secrets bare for all the world to see. Though Grace actually lived in a nearby town, the residents of Middle River have always believed she used them as the model for her revolutionary novel, and some even insist Annie's grandmother was the model for one of Grace's most scandalous characters. With these rumors and whispers about Peyton Place haunting her childhood, Annie came to identify so closely with the author that it was Grace and her bold rebellion against 1950s conformity that inspired Annie to get out of Middle River and make a life for herself in Washington, D.C.  It's been a good life, too. Annie Barnes is now a bestselling author, reaching that level with only her third novel. Success has given her a confidence she never had as a young girl in Middle River -- and it has given the residents of that town something new to worry about. When they hear Annie is returning for a lengthy visit, everyone, including Annie's two sisters, believes she's coming home to write about them.  Though amused by the discomfort she causes in Middle River, Annie has no intention of writing a novel about the town or its people. It is her mother's death -- under circumstances that don't quite add up -- that has brought her back, and soon her probing questions start to make people nervous. When she discovers evidence of dangerous pollutants emanating from the local paper mill -- poisons that she comes to believe contributed to her mother's fatal illness -- Annie finds herself at odds with most of the town's inhabitants, including her sisters, both of whom are seemingly unfazed by the incriminating evidence she uncovers. Because the mill is the town's main employer, everyone is afraid of what might happen if Annie digs deeper, and their fears soon start to turn ugly.  For Annie, though, there is no turning back, as passion and rage propel her forward in a determined quest. Coming face-to-face with decades of secrets and lies, she knows she must find the strength to move beyond the legacy of Grace Metalious, defying her past to heal the wounds of the town and her own family.","560 pages, Mass Market Paperback",Fiction,"4,168 follower",200 reviews,358,57 (1%),221 (6%),996 (27%),"1,214 (34%)","1,079 (30%)"
Linger Awhile,Russell Hoban,190,ratings35,"January 1, 2006","Irving Goodman, self-confessed dirty old man, is 83 years old and has just fallen in love. Unfortunately, Justine Trimble, satr of 1950s cowboy B-movies, has been dead for 47 years. He saw her first in Last Stage to El Paso, a lowlife black-and-whie Western, and has been unable to think of anything else since. Desperate, Goodman invokes the help of his old friend, Istvan Fallock, to see if they can't somehow coax a videotape to yield the 25-year-old Justine. So with a test tube, distillation of frog, a soupcon of primordial soup mixed with a suspension of disbelief, they summon her back to life. And to their surprise and consternation, she materializes. As a reward for lust and hubris, Irving gets a lot more than the affection and attention he'd bargained for. Thus beings an amazing tale of murder and mayhem in contemporary London, where sexy vampire cowgirls run amok, chased by men old enough to know better.","132 pages, Paperback",Fiction,372 follower,35 reviews,162,6 (3%),17 (8%),89 (46%),55 (28%),23 (12%)
Giantslayer,William King,"1,844",ratings55,"April 3, 2003","Gotrek & Felix Book 7Gotrek & Felix's adventures take an unexpected twist as they are recruited by the elven archmage Teclis to help him save the world by thwarting the machinations of Chaos on the secretive isle of Albion.READ IT BECAUSEA new player enters the series – none other than the infamous high elf mage Teclis! Of course, the bickering between him and Gotrek is a high point, but the exploration of the mysterious island of Albion and the return of some old foes doesn't hurt either.THE STORYGotrek and Felix: unsung heroes of the Empire, or nothing more than common thieves and murderers? The truth perhaps lies somewhere in between, and depends entirely upon whom you ask…Separated from their friends during a vicious battle, Gotrek Gurnisson and Felix Jaeger are magically transported to the storm-wracked isle of Albion. Strange and dangerous creatures stalk the island and omens tell of a great evil that is rising - an evil that might destroy the entire world. With the aid of the natives of Albion and the mighty high elf mage Teclis, Gotrek and Felix must stop the secrets of the mysterious Old Ones from falling into the hands of servants of the Dark Gods.","320 pages, Paperback",Fantasy,660 follower,55 reviews,333,11 (<1%),104 (5%),474 (25%),686 (37%),569 (30%)
The Dark Highlander,Karen Marie Moning,"37,264","ratings1,352","October 1, 2002","Journey to a world of ancient magic, breathtaking sensuality, thrilling time-travel.... Journey to the world of The Dark Highlander. Crisscrossing the continents and the centuries, here is a novel as gripping as it is sensual—an electrifying adventure that will leave you breathless....I am Dageus MacKeltar, a man with one good conscience and thirteen bad ones, driven to sate my darkest desires…From his penthouse lair high above Manhattan, Dageus looks out over a glittering city that calls to the darkness within him. A sixteenth-century Scot trapped between worlds, he is fighting a losing battle with the thirteen Druids who possess his soul, dooming him to an eternity of sexual pursuit. When Chloe Zanders, student of antiquities, is drawn into his world, she finds the insatiable alpha male an irresistible lure.Before long, she is caught up in an ancient prophecy that will sweep her back into time to medieval Scotland. Plunged into a world of timeless magic and dark seduction, she will soon face the challenge of a lifetime: fighting thirteen evil spirits for the heart of one irresistible man....","370 pages, Mass Market Paperback",Romance,29.5k follower,"1,352 reviews",37,384 (1%),942 (2%),"5,039 (13%)","12,408 (33%)","18,491 (49%)"
Full Body Burden: Growing Up in the Nuclear Shadow of Rocky Flats,Kristen Iversen,"4,128",ratings741,"January 1, 2012","Full Body Burden is a haunting work of narrative nonfiction about a young woman, Kristen Iversen, growing up in a small Colorado town close to Rocky Flats, a secret nuclear weapons plant once designated ""the most contaminated site in America."" It's the story of a childhood and adolescence in the shadow of the Cold War, in a landscape at once startlingly beautiful and—unknown to those who lived there—tainted with invisible yet deadly particles of plutonium.It's also a book about the destructive power of secrets—both family and government. Her father's hidden liquor bottles, the strange cancers in children in the neighborhood, the truth about what was made at Rocky Flats (cleaning supplies, her mother guessed)—best not to inquire too deeply into any of it.But as Iversen grew older, she began to ask questions. She learned about the infamous 1969 Mother's Day fire, in which a few scraps of plutonium spontaneously ignited and—despite the desperate efforts of firefighters—came perilously close to a ""criticality,"" the deadly blue flash that signals a nuclear chain reaction. Intense heat and radiation almost melted the roof, which nearly resulted in an explosion that would have had devastating consequences for the entire Denver metro area. Yet the only mention of the fire was on page 28 of the Rocky Mountain News, underneath a photo of the Pet of the Week. In her early thirties, Iversen even worked at Rocky Flats for a time, typing up memos in which accidents were always called ""incidents.""And as this memoir unfolds, it reveals itself as a brilliant work of investigative journalism—a detailed and shocking account of the government's sustained attempt to conceal the effects of the toxic and radioactive waste released by Rocky Flats, and of local residents' vain attempts to seek justice in court. Here, too, are vivid portraits of former Rocky Flats workers—from the healthy, who regard their work at the plant with pride and patriotism, to the ill or dying, who battle for compensation for cancers they got on the job.Based on extensive interviews, FBI and EPA documents, and class-action testimony, this taut, beautifully written book promises to have a very long half-life.","416 pages, Hardcover",Nonfiction,77 follower,741 reviews,8,41 (<1%),161 (3%),782 (18%),"1,711 (41%)","1,433 (34%)"
A Man Called Trent,Louis L'Amour,"1,571",ratings92,"January 1, 2006","Set in New Mexico, A Man Called Trent opens to a nester named Dick Moffitt lying dead where he was killed by King Bill Hale's riders. Sally Crane, who is sixteen and was adopted by Moffitt, and Moffitt's fourteen-year-old Jack witnessed the murder from their hiding place.","342 pages, Paperback",Westerns,"2,916 follower",92 reviews,947,7 (<1%),46 (2%),377 (23%),615 (39%),526 (33%)
The Japanese Devil Fish Girl and Other Unnatural Attractions,Robert Rankin,703,ratings64,"January 1, 2010","Rankin's far-fetched steampunk sequel to The War of the Worlds !  It's 1895; nearly a decade since Mars invaded Earth, chronicled by H.G. Wells in The War of the Worlds . Wrecked Martian spaceships, back-engineered by Charles Babbage and Nikola Tesla, have carried the Queen's Own Electric Fusiliers to the red planet, and Mars is now part of the ever-expanding British Empire. Professor Coffin has a the pickled Martian's tentacles are fraying at the ends, and his Most Meritorious Unnatural Attraction (the remains of the original alien autopsy, performed by Sir Frederick Treves at the London Hospital) is no longer drawing the crowds. The less-than-scrupulous sideshow proprietor likes Off-worlders' cash, so he needs a sensational new attraction. Word has reached him of the Japanese Devil Fish Girl; nothing quite like her has ever existed before. But Professor Coffin's quest to possess the ultimate showman's exhibit is about to cause considerable friction among the folk of other planets. Sufficient, in fact, to spark off Worlds War Two.","373 pages, Hardcover",Steampunk,828 follower,64 reviews,84,23 (3%),64 (9%),220 (31%),260 (36%),136 (19%)
Light From Uncommon Stars,Ryka Aoki,"28,160","ratings5,477","September 28, 2021","Good Omens meets The Long Way to a Small, Angry Planet in Ryka Aoki's Light From Uncommon Stars, a defiantly joyful adventure set in California's San Gabriel Valley, with cursed violins, Faustian bargains, and queer alien courtship over fresh-made donuts.Hugo Award FinalistA National BestsellerIndie Next PickNew York Public Library Top 10 Book of 2021A Kirkus Best Book of 2021A Barnes & Noble Best Science Fiction Book of 20212022 Alex Award Winner2022 Stonewall Book Award WinnerShizuka Satomi made a deal with the to escape damnation, she must entice seven other violin prodigies to trade their souls for success. She has already delivered six. When Katrina Nguyen, a young transgender runaway, catches Shizuka's ear with her wild talent, Shizuka can almost feel the curse lifting. She's found her final candidate. But in a donut shop off a bustling highway in the San Gabriel Valley, Shizuka meets Lan Tran, retired starship captain, interstellar refugee, and mother of four. Shizuka doesn't have time for crushes or coffee dates, what with her very soul on the line, but Lan's kind smile and eyes like stars might just redefine a soul's worth. And maybe something as small as a warm donut is powerful enough to break a curse as vast as the California coastline.As the lives of these three women become entangled by chance and fate, a story of magic, identity, curses, and hope begins, and a family worth crossing the universe for is found.At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.","384 pages, Kindle Edition",Science Fiction,"1,279 follower","5,477 reviews",14,409 (1%),"1,391 (4%)","5,073 (18%)","10,163 (36%)","11,124 (39%)"
Two Views on Women in Ministry,James R. Beck,583,ratings72,"June 1, 2001","What does the Bible say about women’s roles in the church? With pros and cons on either side of a heated, ongoing debate, no definitive conclusions have emerged. This book furnishes you with a clear and thorough presentation of the two primary views on women in ministry so you can better understand each one’s strengths, weaknesses, and complexities.  Each view—egalitarian (equal ministry opportunity for both genders) and complementarian (ministry roles differentiated by gender)—is represented by two contributors. This revised edition of the book brings the exchange of ideas and perspectives into the traditional Counterpoints format. Each author states his or her case and is then critiqued by the other contributors.  The fair-minded, interactive Counterpoints forum allows you to compare and contrast the two different positions, and to form your own opinion concerning the practical and often deeply personal issue of women in ministry.  The Counterpoints series provides a forum for comparison and critique of different views on issues important to Christians. Counterpoints books address two categories: Church Life and Bible and Theology. Complete your library with other books in the Counterpoints series.","368 pages, Paperback",Theology,6 follower,72 reviews,20,7 (1%),12 (2%),123 (21%),289 (49%),152 (26%)
The Year of Learning Dangerously: Adventures in Homeschooling,Quinn Cummings,"1,335",ratings336,"August 7, 2012","A year of homeschooling. What could possibly go wrong?In this honest and wry memoir, popular blogger, author, and former child actor Quinn Cummings recounts her family’s decision to wade into the unfamiliar waters of homeschooling – the fastest-growing educational trend of our time -- despite a chronic lack of discipline, some major gaps in academic knowledge, and a serious case of math aversion. (And that’s just Quinn.)Quinn’s fearless quest includes some self-homeschooling – reading up on education reform, debating the need for “socialization,” and infiltrating conferences filled with Radical Unschoolers as well as Christian fundamentalists (and even chaperoning a homeschool prom). Part personal narrative, part social commentary, and part how-not-to guide, The Year of Learning Dangerously will make you laugh and make you think. And there may or may not be a quiz at the end. OK, there’s no quiz. Probably.","240 pages, Hardcover",Nonfiction,26 follower,336 reviews,5,42 (3%),157 (11%),455 (34%),476 (35%),205 (15%)
