Title,Authors,Avg Ratings,Rating,first_published,Description,Total_Pages,Genre,author_followers,no_of_reviews,no_book_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Tea Cups & Tiger Claws,Timothy  Patrick,800,ratings101,"First published November 26, 2013","First comes the miracle and then comes the madness. The miracle is the birth of identical triplets, and the madness is all about money, of course. The year is 1916 and the newborn baby girls have become pint-size celebrities. Unfortunately, this small portion of fame soon leads to a much larger portion of greed, and the triplets are split up—parceled out to the highest bidders. Two of the girls go to live in a hilltop mansion. The third girl isn't so lucky. She ends up with a shady family that lives in an abandoned work camp. That’s how their lives begin: two on top, one on the bottom, and all three in the same small town. And when their worlds collide, as they must, the consequences are extreme.""Tea Cups & Tiger Claws"" spans fifty years and takes the reader from a shantytown to a gilded mansion, from dark desires to sacrificial love.","435 pages, Paperback",Historical Fiction,9 followers,101 reviews,3 books9 followers,34 (4%),101 (12%),304 (38%),227 (28%),134 (16%)
The Kiss,Scott E. Blumenthal,58,ratings13,"First published December 11, 2013","Gold Medal: Independent Publisher Book Award (2014)Winner: International Book Award (2015) Finalist: International Book Award (2015)November, 1941. War and genocide have plunged Europe into darkness. Then, a ray of sunlight: whispers of Aron Beckman, an extraordinary young Jewish musician in Poland - barely twenty years old, they say - who plays the harp that belonged to King David himself. They say that Aron has formed a trio with two fellow prodigies, and that the music is like nothing ever heard before. That it is powerful. That it moves people to do great things. That it can bring the dead back to life. They say the musicians can lift the darkness. And that they are on their way. ""This breathtaking novel... will stay with you long after you've read the last page."" -Ari L. Goldman, author of The Search for God at Harvard ""The Kiss is both brutal and breathtaking...in a way that is utterly fresh and altogether original. I couldn't put it down, and when the end came I couldn't bear to part with it. A stunning, heartbreaking page-turner."" -Elizabeth Volpe, two-time Pushcart Prize nominee, author of Brewing in Eden ""Moving...powerful. Blumenthal's debut novel keeps us asking the big questions."" -Katharine Weber, author of The Music Lesson, Triangle, True Confections","314 pages, Paperback",Historical Fiction,3 followers,13 reviews,1 book3 followers,1 (1%),1 (1%),4 (6%),24 (41%),28 (48%)
"Mating Rituals of Migratory Humans: A Novel of Sex, Restaurants and Redemption",Jason R. Richter,14,ratings4,"First published September 6, 2013","It's one thing to hide out in a Colorado tourist town full of liquor and beautiful women. Work hard, play harder. But what happens when a feud with rival restaurant managers forces an unflattering glimpse in the funhouse mirror? Who's the hero? Who's the villain? It might finally be time to choose sides.","256 pages, Paperback",fiction,7 followers,4 reviews,5 books7 followers,0 (0%),0 (0%),1 (7%),1 (7%),12 (85%)
Lori's Song: The True Story of an American Woman Held Captive in Iran,Lori Foroozandeh,72,ratings15,"First published January 1, 2009","Though she endured a childhood of physical and sexual abuse, nothing would ever equal what happened to her in Iran the weeks following 9/11. Lori, an American married to an Iranian, had been working and living as an ordinary member of Iranian society for almost 4 years when she had heard rumors that the U.S. was going to be attacked. That was on September 9, 2001. She tried and failed to call home and give warning. The news that all those rumors were horribly true came on September 11th 2001. That was when her husband suddenly announced that they had to go back to the States in case there were repercussions. On September 12, 2001, Lori and her husband were at the Shiraz bus terminal intending to catch a bus to Istanbul and from there to Heathrow and home to the U.S.A. They were totally unprepared for the convoy of troop carriers that suddenly drove up and the armed men who came pouring out to take the hapless couple prisoner. There was no explanation offered. The men took Lori's husband one direction and she another, pushing them blindfolded into the back of the troop carriers with other prisoners, mostly Iranian. Who the armed men were was anybody's guess but they took their prisoners to POW camp in unfamiliar territory and there, Lori was held, tortured, raped, and starved with them for over a month. Her husband was not to be seen again. Lori was rescued with one of her fellow inmates by the girl's family and, after riding a llama for 1-2 days over mountainous terrain; she arrived at the Iran Immigration center. By then, she weighed in at only 70 pounds, was still suffering from the many injuries she'd received at the hands of her torturers, and wanted badly to get home to her family in the USA. Even then, she had to fight Iranian Islamic bureaucracy to have permission to go, as the husband was unavailable to grant it. In any Islamic country, unknown to many western women, the husband or guardian's permission is always required for a woman to travel anywhere. Lori had been married to Mohammad for 9 years and thought she could trust him but, since their arrival in Iran in 1998, his personality and behavior had changed so radically as to make this most recent nightmare highly suspicious. The events told here are true. It was no coincidence that this American citizen had been placed into a concentration camp. In fact, it raises many questions and should be a caution to many!","244 pages, Paperback",Horror,52 followers,15 reviews,1 book52 followers,3 (4%),2 (2%),7 (9%),23 (31%),37 (51%)
Hyperbole,Ryan Parmenter,89,ratings13,"First published October 28, 2012","The most violent comedy since The Bible.DC gets destroyed.Harland gets wasted.America gets the leader it deserves.This pitch-black satire follows a disillusioned pothead and his friends navigating an American minefield of domestic terrorists, power-grabbing opportunists, and meaningless dead-end jobs. Philosophical, irreverent, and sometimes oddly hopeful, Hyperbole explores what might become of the laymen when America's head gets chopped off.Fans of transgressive fiction and dark humor should grab this book with both hands and not eat or sleep until it's consumed.""Hyperbole"" is the debut novel by author Ryan Parmenter, who has performed in and around Detroit, Michigan as a comic improviser, a teahouse musician with JRS, and as leader of the defunct progressive band Eyestrings.","277 pages, Kindle Edition",Fiction,117 followers,13 reviews,5 books117 followers,9 (10%),10 (11%),23 (25%),20 (22%),27 (30%)
The Ambitious Madame Bonaparte,Ruth Hull Chatlien,680,ratings88,"First published December 1, 2013","Gold Medal Winner, Historical Fiction Personage, 2014 Readers’ Favorite AwardsFirst Place Winner, Turn of the 19th Century, 2014 Chaucer Awards for Historical FictionTell the emperor that Madame Bonaparte is ambitious and demands her rights as a member of the imperial family.As a clever girl in stodgy, mercantile Baltimore, Betsy Patterson dreams of a marriage that will transport her to cultured Europe. When she falls in love with and marries Jerome Bonaparte, she believes her dream has come true—until Jerome’s older brother Napoleon becomes an implacable enemy. Based on a true story, The Ambitious Madame Bonaparte is a historical novel that portrays this woman’s tumultuous life. Elizabeth Patterson Bonaparte, known to history as Betsy Bonaparte, scandalized Washington with her daring French fashions; visited Niagara Falls when it was an unsettled wilderness; survived a shipwreck and run-ins with British and French warships; dined with presidents and danced with dukes; and lived through the 1814 Battle of Baltimore. Yet through it all, Betsy never lost sight of her primary goal—to win recognition of her marriage.","495 pages, Paperback",Historical Fiction,110 followers,88 reviews,5 books110 followers,19 (2%),45 (6%),150 (22%),262 (38%),204 (30%)
Die Fließende Königin,Kai Meyer,"5,450",ratings385,"First published June 1, 2001","Der erste Band der märchenhaften Erfolgstrilogie!In einem Venedig, in dem die Zauberei nie gestorben ist, suchen Meerjungfrauen und geflügelte Löwen, Meisterdiebe und Zauberspiegelmacher die Fließende Königin. Aber nur Merle gelingt es, ihr Vertrauen zu gewinnen. Als die Mächte des Bösen das phantastische Wesen jagen, entbrennt im Labyrinth der dunklen Gassen und Kanäle ein abenteuerlicher Kampf.","272 pages, Paperback",Fantasy,"1,373 followers",385 reviews,"135 books1,373 followers",110 (2%),328 (6%),"1,365 (25%)","1,999 (36%)","1,648 (30%)"
The Other Side,Faraaz Kazi,413,ratings77,"First published January 1, 2013","""A slow rasping sound made me turn. I jumped back, the cell phone leaving my hands and smashing against the concrete floor. Someone was seated on the chair, rocking back and forth. Through the fallen light, I could see those hands placed on the arms of the chair, two gruesome wrinkled limbs with ugly boils plastered over the black skin. The red bangles on its wrists shone in my eyes, momentarily blinding me. That thing and I call it a thing because I could sense it wasn't human as no human could have such a hideous form, as vile an existence as the one seated opposite to my horrified self.""From a honeymoon in the hill that goes horribly wrong to an obsessed lover who wants his first love in life and in death; From a mentally deranged man who collects body parts of various women to stitch together his dream girl to a skeptic who enters a mansion of horrors to win a bet and much more, this book is filled with scenarios that are guaranteed to give you goosebumps and sleepless nights.'The Other Side' is a collection of thirteen tales of the paranormal; a world that our eyes refuse to see, our ears deny hearing and our senses ignore the feel of. This is a book for someone who is brave enough to take up this invitation to journey through uncharted waters along with the authors, who were inspired by some bizarre experiences to pen down this work where the lines of reality have been blurred by the footsteps of imagination.Each story takes you on a tour de force of unadulterated horror and draws upon the deepest fear in the human mind- the fear of the UNKNOWN!","320 pages, Paperback",Horror,215 followers,77 reviews,6 books215 followers,32 (7%),45 (10%),109 (26%),120 (29%),107 (25%)
The Zombie Rule Book: A Zombie Apocalypse Survival Guide,Tony Newton,70,ratings13,"First published April 25, 2013","Rules and tips for surviving the zombie apocalypse. The following information may save your life. This book is designed to fit perfectly in your bug-out bag! If you are prepared for the zombie apocalypse you are prepared for anything! Throughout this book you will learn how to survive in the event of a zombie apocalypse and learn how to be a survivor! Use the following information to your advantage. Think like a survivor - when the zombie apocalypse descends upon us you will be a few steps ahead of the rest. Read, re-read, practice and apply, train hard and always think smart, you are a born survivor. This book of zombie survival rules will be a great asset to anyone preparing themselves for the zombie apocalypse.","132 pages, Paperback",Zombies,24 followers,13 reviews,135 books24 followers,3 (4%),12 (17%),16 (22%),12 (17%),27 (38%)
The Leopard Vanguard,T.A. Uner,158,ratings83,"First published August 27, 2013","The Saga Begins....Set during the early years of the reign of the Mad Emperor Caligula, this first installment of the Leopard King Saga introduces us to Tullus, a gifted Roman Centurion who resigns his elite position in the Praetorian Guard to join a troupe of circus performers and learn more about his hidden magical talents. Along with his new partner, a magical Leopardess named Celestra, he re-invents himself as The Leopard King, the most famous entertainer in all the Roman Empire. But when Tullus' friend and Circus Ringmaster, Paullus Gabinius, is killed, Tullus and Celestra find themselves immersed in political intrigue and up against Paullus' killers. Their struggle to avenge Paullus will also cause them to cross paths with corrupt Roman politicians, who know Paullus' deadly secret-which has the power to destroy the Roman Empire.","350 pages, Paperback",Fantasy,536 followers,83 reviews,22 books536 followers,4 (2%),8 (5%),32 (20%),60 (37%),54 (34%)
Storm Warnings,Marissa Storm,23,ratings5,"First published September 16, 2010","Liz was an ordinary housewife and mother, with secrets in her past. When trauma hits her family, her past comes home and she is face to face with the love of her life that she thought she had lost forever. Does Liz dare to tell Tom he is her childs father? Did she dare tell her daughter? Tom had no idea he had a daughter. He is completely stunned to learn the whole truth that tore the two of them apart so many years ago. Even though he had moved on, he never forgot Liz or the love they shared. Their love is rekindled against all odds. But will fate be kind this time? Tammy, Toms wife, was killed in an earthquake; or was she? After over a year passes, someone claiming to be Tammy finds Tom online. Could this really be Tammy? Writing is a passion for me. I have enjoyed writing from the heart and using my imagination. The freedom to be the person I chose to be and in the locations I wish to travel. I have lived in North Carolina all my life, however I have enjoyed some travel away from home from time to time. ""","170 pages, Paperback",Romance,20 followers,5 reviews,36 books20 followers,4 (17%),2 (8%),1 (4%),3 (13%),13 (56%)
Epiphany,Stuart Land,36,ratings25,"First published July 19, 2011","This book's title has been changed to ""daughters."" There is a printed copy with a new cover with the new name. changing either one of these takes away all the reviews, I have left this copy up. Besides the cover and name, the rest is the same.Doctor Sam Enright and his geneticist wife, Dorinda, face turmoil in their small town when a dozen adolescent girls show up pregnant at Sam’s office—and they’re all virgins. When their own daughter falls victim to the same fate, the Enrights rush to Homeland Security for answers. As the questions multiply, they realize they are at the vanguard of a worldwide epidemic, and the mystery deepens. As the events escalate, a disparate group of international doctors, scientists, and mothers-to-be are brought together at Dorinda’s genetics lab in Middle America. They race to find the cause and meaning of the mysterious pregnancies, but every discovery reveals a new, worse scenario, leaving humanity's very existence in question.","358 pages, Paperback",Science Fiction,136 followers,25 reviews,11 books136 followers,1 (2%),1 (2%),9 (25%),8 (22%),17 (47%)
Heir of Novron,Michael J. Sullivan,"48,956","ratings2,833","First published January 26, 2012","A FORCED WEDDING. A DOUBLE EXECUTION. TWO THIEVES HAVE OTHER PLANS.The New Empire intends to celebrate its victory over the Nationalists with a day that will never be forgotten. On the high holiday of Wintertide, they plan to execute two traitors (Degan Gaunt and the Witch of Melengar) as well as force the Empress into a marriage of their own design. But they didn’t account for Royce and Hadrian finally locating the Heir of Novron—or the pair’s desire to wreak havoc on the New Empire’s carefully crafted scheme.","932 pages, Paperback",Fantasy,94.1k followers,"2,833 reviews",96 books94.1k followers,182 (<1%),535 (1%),"3,660 (7%)","14,610 (29%)","29,969 (61%)"
Solo,Rana Dasgupta,"1,392",ratings209,"First published January 1, 2009","With an imaginative audacity and lyrical brilliance that puts him in the company of David Mitchell and Alexander Hemon, Rana Dasgupta paints a portrait of a century through the story of a hundred-year-old blind Bulgarian man in a first novel that announces the arrival of an exhilarating new voice in fiction.In the first movement of Solo we meet Ulrich, the son of a railroad engineer, who has two great passions - the violin and chemistry. Denied the first by his father, he leaves for the Berlin of Einstein and Fritz Haber to study the latter. His studies are cut short when his father's fortune evaporates, and he must return to Sofia to look after his parents. He never leaves Bulgaria again. Except in his daydreams; and it is those dreams we enter in the volatile second half of the book. In a radical leap from past to present, from life lived to life imagined, Dasgupta follows Ulrich's fantasy children, born of communism but making their way into a post-communist world of celebrity and violence.Intertwining science and heartbreak, the old world and the new, the real and imagined, Solo is a virtuoso work.","357 pages, Hardcover",Fiction,142 followers,209 reviews,13 books142 followers,41 (2%),137 (9%),400 (28%),527 (37%),287 (20%)
"Madame Lilly, Voodoo Priestess",Dormaine G.,35,ratings13,"First published February 19, 2014","Voodoo Priestess, Madame Lilly, will get her revenge tonight even if the price is her soul. In the late 1800’s Odara, a Creole girl in New Orleans, grew up wealthy and having the best of everything. She was taught the ways of plaçage: to be a wealthy man’s common-law wife. She didn’t want to follow the ways of plaçage as her mother had, until she met the man of her dreams, Henry Nicolas. He was handsome, charming and rich; perfect in every way until their first night of marriage when she saw his true malevolent side. For twelve long years Odara endured abuse in the worst ways possible, taking her from a naive child to a scorned woman. A woman fueled with such revulsion towards Henry she would give anything for vengeance. Through voodoo, Madame Lilly was born, but with it came consequences beyond even her comprehension.","43 pages, Kindle Edition",Historical Fiction,172 followers,13 reviews,13 books172 followers,1 (2%),1 (2%),7 (20%),6 (17%),20 (57%)
يوم واحد يكفي,هدير سعد,99,ratings37,"First published October 23, 2013",يوم واحد يكفييوم واحد يكفي ليُخبرك أنك كنت تعيش داخل دائرة واحدة ضمن عدة دوائر تقع بداخلها ،كتلك التى تتشكل عن حجر أُلقي فى الماء فاستمر داخل دائرته المصغرة فقط ونسي باقي الدوائر ... فاستحق لقب حجر ... فهل سيقبل أحد البشر لقب حجرهذا أم أنه حقا يليق به ؟؟!http://www.mediafire.com/download/oxk...http://www.4shared.com/office/LmZ2AgV...,"145 pages, ebook",Novels,168 followers,37 reviews,1 book168 followers,6 (6%),19 (19%),34 (34%),29 (29%),11 (11%)
Leftover Women: The Resurgence of Gender Inequality in China,Leta Hong Fincher,561,ratings73,"First published January 1, 2014","After China's Communist revolution of 1949, Chairman Mao famously proclaimed that ""women hold up half the sky."" In the early years of the People's Republic, the Communist Party sought to transform gender relations with expansive initiatives such as assigning urban women jobs in the planned economy. Yet those gains are now being eroded in China's post-socialist era. Contrary to many claims made in the mainstream media, women in China have experienced a dramatic rollback of many rights and gains relative to men. ""Leftover Women"" debunks the popular myth that women have fared well as a result of post-socialist China's economic reforms and breakneck growth.","213 pages, Kindle Edition",Nonfiction,146 followers,73 reviews,2 books146 followers,6 (1%),17 (3%),129 (22%),246 (43%),163 (29%)
The Freewill Trilogy,Elyse Draper,5,ratings2,"First published November 27, 2013","The Freewill Trilogy: We are not defined by the choices that are made for us; but by the choices we make when we believe that all other options have been taken away. The trilogy is a Young Adult slipstream series that embodies both science fiction and dark fantasy, with strong paranormal romantic overtones. Within its pages a world comes to life, where mythology is real and evident in humanity's interaction with the ethereal Others.Ellie, once a human but now an Other (an empathic creature surviving in a fugue state, inside the otherworldly veil for over sixty years,) has been finding the strength to exist through her compulsion to be a muse; that is, until she meets Christopher. Christopher, a present day young man with the special talent to foresee the truth of the intangible Others, quickly becomes Ellie's heart's desire. Ellie and Christopher inevitably find themselves developing an unusual relationship, where touching one another can only happen in Christopher's dreams. Unbeknownst to them, ever since Ellie's birth in 1922, destiny's hand, guided by mythical forces and fairy tale lineage, has been pushing them into each other's embrace, while also potentially into the arms of evil Others called the Timoro, and into the sights of dangerous feuding organizations-- the Symboulio: the council of the ancient and divine, and the Symbio: the new world council of acceptance.","720 pages, Paperback",favorites,179 followers,2 reviews,10 books179 followers,0 (0%),0 (0%),0 (0%),1 (20%),4 (80%)
Birds Without Wings,Louis de Bernières,"14,997","ratings1,518","First published April 24, 2004","In his first novel since Corelli’s Mandolin, Louis de Bernières creates a world, populates it with characters as real as our best friends, and launches it into the maelstrom of twentieth-century history. The setting is a small village in southwestern Anatolia in the waning years of the Ottoman Empire. Everyone there speaks Turkish, though they write it in Greek letters. It’s a place that has room for a professional blasphemer; where a brokenhearted aga finds solace in the arms of a Circassian courtesan who isn’t Circassian at all; where a beautiful Christian girl named Philothei is engaged to a Muslim boy named Ibrahim. But all of this will change when Turkey enters the modern world. Epic in sweep, intoxicating in its sensual detail, Birds Without Wings is an enchantment.","554 pages, Paperback",Historical Fiction,"1,825 followers","1,518 reviews","60 books1,825 followers",272 (1%),620 (4%),"2,275 (15%)","5,135 (34%)","6,695 (44%)"
The Golden Age,John C. Wright,"3,272",ratings223,"First published April 20, 2002","The Golden Age is 10,000 years in the future in our solar system, an interplanetary utopian society filled with immortal humans. Phaethon, of Radamanthus House, is attending a glorious party at his family mansion celebrating the thousand-year anniversary of the High Transcendence. There he meets an old man who accuses him of being an imposter, and then a being from Neptune who claims to be an old friend. The Neptunian tells him that essential parts of his memory were removed and stored by the very government that Phaethon believes to be wholly honorable. It shakes his faith. Is he indeed an exile from himself? He can't resist investigating, even though to do so could mean the loss of his inheritance, his very place in society. His quest must be to regain his true identity and fulfill the destiny he chose for himself.The Golden Age is just the beginning of Phaethon's story, which will continue in The Phoenix Exultant, forthcoming from Tor.","407 pages, Mass Market Paperback",Science Fiction,432 followers,223 reviews,124 books432 followers,110 (3%),181 (5%),490 (14%),"1,076 (32%)","1,415 (43%)"
Ann Marie's Asylum,Christopher Rankin,130,ratings9,"First published December 15, 2013","Ann Marie has just earned her Ph.D. in chemistry at age sixteen when she receives a mysterious and lucrative job offer. The new position at the infamous Asylum Corporation takes the young chemist and her alcoholic mother from their working-class Philadelphia neighborhood to coastal California. She grows fascinated with her new boss, famed Dade Harkenrider, a handsome but reclusive scientist labelled Dr. Death by internet conspiracy theorists and rumored to be involved in witchcraft and murder. A young pioneer in drone warfare and mind-control drugs, Harkenrider conducts secret experiments that defy the boundaries of space and consciousness in an advanced laboratory in the hills perched over Los Angeles. As Ann Marie grows closer to her new mentor, a sinister plot by a secretive coven is unfolding in the city. This monstrous force is stealing pets and children in an effort to breathe life into an ancient and terrifying evil.",ebook,Horror,27 followers,9 reviews,5 books27 followers,11 (8%),17 (13%),34 (26%),35 (26%),33 (25%)
Predatory Kill,Kenneth Eade,606,ratings45,"First published April 12, 2014","Live the mystery and suspense of the best selling legal thrillerCan too big to fail get away with murder?#1 best selling financial thriller and #1 best selling political thriller. A compelling legal novel by the best selling author of ""An Involuntary Spy"". Brent Marks had paid his dues as a lawyer, having taken his share of divorces and drunk driving cases over his 20 year career, but had finally reached a place in his life where he could take on cases of social importance. What he least expected was for April Marsh's predatory lending case against the big banks for wrongful foreclosure on her parent's home to turn into a murder investigation. April's mother was murdered. Her father was beaten within an inch of his life, and she believes their predatory lender is to blame. Are banks really that above the law?","325 pages, Paperback",Thriller,178 followers,45 reviews,55 books178 followers,15 (2%),41 (6%),164 (27%),195 (32%),191 (31%)
Atlas,Benjamin R.  Smith,779,ratings14,"First published January 22, 2012","Inspector Victoria Rhodes works long hours as one of the last clean cops on San Francisco’s crumbling police force. When a double murder claims the life of a city prosecutor in the exclusive covenant community of Atlantis, Rhodes is assigned as liaison between the SFPD investigation and the investigation run by the private security force known as the ASM.Public Prosecutor Katherine Radcliffe was the face of local politics, fighting to resurrect the fallen city of San Francisco by bridging the gap between the private wealth of Atlantis and the forgotten populace of the public sector. Found in the arms of her ex-sensual companion turned corporate psychologist lover, her death resonates with Rhodes and the people of San Francisco on a personal level.With tensions building between the classes and evidence mounting, Rhodes finds herself delving into the past of the man at the top of the ASM corporate ladder, an inexplicable mercenary turned upper-class messiah , known as Atlas.When she discovers that his past remarkably resembles her own , she can’t help but force a confrontation that brings her face to face with a man she cannot understand, a suspect she knows she has to pursue, and a truth she knows she may not want to uncover.","378 pages, Kindle Edition",Science Fiction,71 followers,14 reviews,5 books71 followers,41 (5%),53 (6%),101 (12%),274 (35%),310 (39%)
Prime Deception,Carys  Jones,101,ratings69,"First published April 7, 2014","When Lorna Thomas is found dead in her car everyone believes she killed herself. But the day after her death Lorna was set to sell a scandalous story to one of Britain’s biggest tabloid papers. For six months she had been the Deputy Prime Minister’s mistress.Will Lorna’s secret die with her? While her family try to move on and come to terms with her death one person refuses to believe that Lorna killed herself. Her twin sister, Laurie is convinced that Lorna was murdered and she’ll stop at nothing to prove it, even if that means teaming up the very man her sister had been having an affair with…","304 pages, ebook",Mystery,221 followers,69 reviews,16 books221 followers,6 (5%),17 (16%),32 (31%),33 (32%),13 (12%)
