Title,Authors,Avg Ratings,Rating,first_published,Description,Total_Pages,Genre,author_followers,no_of_reviews,no_book_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Then Came You,Jennifer Weiner,"47,099","ratings3,095","January 1, 2011","The lives of four very different women intertwine in unexpected ways in this new novel by bestselling author Jennifer Weiner (In Her Shoes; Best Friends Forever). Each woman has a problem: Princeton senior Jules Wildgren needs money to help her dad cure his addiction; Pennsylvania housewife Annie Barrow is gasping to stay financially afloat; India Bishop yearns to have a child, an urge that her stepdaughter Bettina can only regard with deeply skepticism until she finds herself in a most unexpected situation. Interlocking dramas designed to ensnare; bound to be a bestseller.","352 pages, Hardcover",Chick Lit,22.7k follower,"3,095 reviews",65,708 (1%),"3,005 (6%)","14,945 (31%)","18,693 (39%)","9,748 (20%)"
Foley is Good: And the Real World is Faker Than Wrestling,Mick Foley,"4,113",ratings123,"January 1, 2001","In Foley Is Good, Mick Foley -- former Commissioner of the World Wrestling Federation, aka Cactus Jack, Dude Love, and Mankind -- picks up right where his smash #1 New York Times bestseller Have a Nice Day! left off, giving readers an inside look at the behind-the-scenes action in the Federation. With total honesty and riotous humor, Mick Foley shines a spotlight into some of the hidden corners of the World Wrestling Federation. From the ongoing controversy surrounding ""backyard wrestling"" to the real story behind his now-infamous ""I Quit"" match with The Rock, Foley covers all the bases in this hysterically funny roller-coaster ride of a memoir.","592 pages, Mass Market Paperback",Biography,362 follower,123 reviews,51,16 (<1%),152 (3%),"1,029 (25%)","1,708 (41%)","1,208 (29%)"
"Ms. Marvel, Vol. 5: Super Famous",G. Willow Wilson,"11,291","ratings1,059","July 12, 2016","Look out world, Kamala Khan is officially an Avenger! She's your new favorite. She's everyone's new favorite. And now she's joining the big leagues. But is she really cut out to be one of Earth's Mightiest Heroes? Saving the world is important, but Jersey City still needs its protector--especially now that a development company has picked it for a ""renovation"" project. When they co-opt Ms. Marvel's face to advertise, the fight against gentrification gets personal--but they've got more in mind that just real estate! Can Kamala take down the evil suits destroying her home without ruining her grades and personal life? Speaking of which, who's the new girl hanging around Bruno? And when Kamala creates an army of automatons to help her fight crime, will she learn that too much Ms. Marvel is actually a bad thing? Get back on board, Kamala Korps--the ride is about to get wild!COLLECTING: MS. MARVEL #1-6","144 pages, Paperback",Comics,"3,196 follower","1,059 reviews",502,206 (1%),240 (2%),"1,343 (11%)","4,321 (38%)","5,181 (45%)"
Doctor Who: Seasons of Fear,Paul Cornell,694,ratings63,"March 1, 2002","On New Year's Eve, 1930, the Doctor lets Charley keep her appointment at the Raffles Hotel in Singapore. But his unease at what he's done to time by saving her life soon turns into fear. Sebastian Grayle: immortal, obsessed, ruthless, has come to the city to meet the Time Lord. To the Doctor, he's a complete stranger, but to Grayle, the Doctor is an old enemy.An enemy that, many years ago, he finally succeeded in killing. And this is his only chance to gloat.The Doctor and Charley desperately search human history for the secret of Grayle's power and immortality. Their quest takes in four different time periods, the Hellfire Club, the court of Edward the Confessor and the time vortex itself. And when the monsters arrive, the stakes are raised from the life of one Time Lord to the existence of all humanity.","2 pages, Audio CD",Doctor Who,"1,463 follower",63 reviews,567,8 (1%),33 (4%),166 (23%),316 (45%),171 (24%)
"Black Victorians, Black Victoriana",Gretchen Holbrook Gerzina,32,ratings9,"February 6, 2003","Black Victorians/Black Victoriana is a welcome attempt to correct the historical record. Although scholarship has given us a clear view of nineteenth-century imperialism, colonialism, and later immigration from the colonies, there has for far too long been a gap in our understanding of the lives of blacks in Victorian England. Without that understanding, it remains impossible to assess adequately the state of the black population in Britain today. Using a transatlantic lens, the contributors to this book restore black Victorians to the British national picture. They look not just at the ways blacks were represented in popular culture but also at their lives as they experienced them—as workers, travelers, lecturers, performers, and professionals. Dozens of period photographs bring these stories alive and literally give a face to the individual stories the book tells.The essays taken as a whole also highlight prevailing Victorian attitudes toward race by focusing on the ways in which empire building spawned a ""subculture of blackness"" consisting of caricature, exhibition, representation, and scientific racism absorbed by society at large. This misrepresentation made it difficult to be both black and British while at the same time it helped to construct British identity as a whole. Covering many topics that detail the life of blacks during this period, Black Victorians/Black Victoriana will be a landmark contribution to the emergent field of black history in England.","232 pages, Paperback",History,19 follower,9 reviews,11,0 (0%),1 (3%),9 (28%),15 (46%),7 (21%)
The Twelfth Card,Jeffery Deaver,"18,802",ratings796,"June 7, 2005","A high-school girl in Harlem, Geneva Settle, is the target of a ruthless professional killer—Thompson Boyd—who has been hired to murder her for reasons unknown. His first attempt, in a deserted museum early one morning, is a failure but it’s clear to Lincoln Rhyme that he’s going to strike again, from clues the killer leaves behind, one of which is the twelfth card in the tarot deck, The Hanged Man, whose meaning resonates eerily throughout the story.Assisted by Fred Dellray, Mel Cooper and Lon Sellitto (suffering from a severe case of shattered nerves due to a near miss by the killer), Rhyme and partner Amelia Sachs work frantically to learn who the hit man and his partner are and when they will strike next, all the while trying to crack a very “cold” case: Rhyme believes that Geneva may have been targeted because of a paper she’s writing about her ancestor, Charles Singleton, a former slave who was instrumental in the civil rights movement in the 1860s, but who was arrested for theft and disgraced.In his correspondence Charles wrote about a “secret,” that could have tragic consequences if revealed. This secret, which Rhyme is convinced will provide the key to why Geneva is in danger, revolves around some mysterious doings in the area known as Gallows Heights, a neighborhood on the Upper West Side of Manhattan that in the 1860s was a tense mix of wealthy financiers, civil rights leaders, political crooks like Boss Tweed, and working-class laborers and thugs. What was the truth behind the crime Charles was accused of? And what was his secret? Does it have to do with stolen gold? Or does it have a far broader implications?","816 pages, Hardcover",Mystery,10.4k follower,796 reviews,363,156 (<1%),696 (3%),"4,219 (22%)","7,831 (41%)","5,900 (31%)"
The Postmistress,Sarah Blake,"44,421","ratings5,803","December 24, 2009","CDs, 9 CDs, 11 hoursWhat would happen if someone did the unthinkable-and didn't deliver a letter? Filled with stunning parallels to today, The Postmistress is a sweeping novel about the loss of innocence of two extraordinary women-and of two countries torn apart by war.","11 pages, Audio CD",Historical Fiction,990 follower,"5,803 reviews",24,"1,782 (4%)","6,202 (13%)","16,602 (37%)","14,215 (32%)","5,620 (12%)"
Elfennacht: Die siebte Tochter,Allan Frewin Jones,"11,138",ratings670,"February 1, 2007","Die 16-jährige Anita ist ein ganz normaler Teenager. Bis ein mysteriöser Fremder sie in das zauberhafte Reich Faerie entführt. Hier wird sie schon erwartet - denn sie ist Tania, die verlorene Tochter des Elfenkönigs Oberon. Doch ihr bleibt nur wenig Zeit, um die unwirkliche Schönheit um sich herum zu genießen. Tania muss feststellen, dass sie von ihrer großen Liebe verraten wurde und dass das Elfenreich in großer Gefahr schwebt ...","352 pages, Hardcover",Fantasy,428 follower,670 reviews,118,560 (5%),"1,288 (11%)","3,225 (28%)","3,004 (26%)","3,061 (27%)"
Bridge Builders: How Superb Communicators Get What They Want in Business and in Life,Maria Keckler,29,ratings10,"April 28, 2015","Both engaging and instructive, BRIDGE BUILDERS presents a simple blueprint for communication success---in business and beyond---written as a persuasive and thought-provoking fable that illustrates the power of human connection.Excerpt. © Reprinted by permission. All rights reserved.An extraordinary desire drives you. You have a story to tell. You have a product, service, idea, or vision to sell---at home or at work. How you choose to communicate your message and connect with your target audience will make the difference between success and failure.When you make a decision to communicate your message like a Bridge Builder, you will achieve more of what you want. You’ll be a Superb Communicator who is able to persuade audiences:To listen. To engage. To connect. To buy your products. To join your causes. To approve your initiatives. To fund your ideas. To believe in your vision. To let you lead.The premise of this book is simple: You already know how to be a Bridge Builder---although you may not realize it. Like most people, you’ve probably forgotten. But you’ve successfully built bridges before. Intention, not perfection, helped you achieve what you wanted. And intention, not perfection, will help you achieve what you want in the future. When you operate from the principles illustrated in the story and in the Approach that follows it, the results you achieve will amaze you.Getting the Most from the StoryStories are often used to communicate important principles. Why? Because we all relate to life through stories. We see aspects of ourselves in the characters, and we hope to gain new insights about business and life from the way they react and the things they learn in the story.The parable in this book is about a man named Daniel who, like us, has a problem (how to communicate effectively with others) but doesn’t recognize the source of his problem or how to solve it. Daniel needs to become a Bridge Builder in order to get what he truly wants, but he struggles to accept the solution to his problem because of past failure, preconceptions, and misunderstandings. He exemplifies the individuals I encounter every day in one-to-one coaching and the corporate consulting process.The characters in this story represent composites of real business professionals I’ve worked with, not anyone in particular. However, early feedback from readers that represent varied industries and cultures tells me that the characters and themes in the story will resonate with most readers in more ways than one.This story applies to business communication, but it also applies to communication at home, at school, at church, and in any organizational setting. Because the story deals with communication and leadership principles, anyone will benefit from reading it, whether or not they work in the corporate world.Organizations, large or small, will also reap the profits of intentionally nurturing a culture of Bridge Builder Communication and Bridge Builder Leadership—and so will those inside those organizations, whether they’re executives, scientists, engineers, sales reps, entrepreneurs, educators, pastors or Creatives. That has been my experience.I suggest that you first read and reflect on the story. Then take the time to ask questions that are naturally suggested in the narrative.","200 pages, Paperback",Business,1 book6 follower,10 reviews,1,0 (0%),0 (0%),2 (6%),9 (31%),18 (62%)
Rose West: The Making of a Monster,Jane Carter Woodrow,959,ratings80,"July 8, 2010","Hard to believe it looking at her now, but Rose West was an exceptionally beautiful little girl, with a Maltese mother and English father. Strangers would stop and stare at her in the street and she could entrance people from a very early age. But looking back at photos of Rose as a child, you struggle to accept that she grew up to one of the country's most notorious female criminals.In ROSE, Jane Carter Woodrow goes right back to the start in her life to try and piece together what happened to turn Rose West into the violent monster she became. Jane has gained unprecedented access to the family and has revealed a fascinating story of how there was always something 'not quite right' about Rose...And perhaps that's not too surprising... Rose's childhood reads like one of the most grim misery memoirs. Her father was a violent schizophrenic and her mother received electric shock therapy for severe clinical depression, the whole way through her pregnancy with Rose. Jane has uncovered a horrific hidden story of a twisted family and how her upbringing made her a perfect partner for Fred West when they met when Rose had just turned 16. She was to kill for the first time a few months later.This is a gripping, unputdownable read that sheds light for the first time on the story behind what turned Rose West into one of the country's most vicious and deadly serial killers.","288 pages, Paperback",Nonfiction,4 follower,80 reviews,4,7 (<1%),38 (3%),178 (18%),362 (37%),374 (38%)
