Title,Authors,Avg Ratings,Rating,first_published,Description,Total_Pages,Genre,author_followers,no_of_reviews,no_book_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
The Coral Thief,Rebecca Stott,"1,936",ratings362,"November 2, 2008","NAMED ONE OF THE BEST BOOKS OF THE YEAR BY THE WASHINGTON POST AND BOOKLIST Paris, 1815. Daniel Connor, a young medical student from Edinburgh, has arrived to study anatomy at the Jardin des Plantes—only to realize that his letters of introduction and precious coral specimens, on which his tenure with the legendary Dr. Cuvier depends, have been stolen. His thief turns out to be a beautiful woman who lives in a shadowy realm of outlaws, philosophers, and émigrés. As Daniel falls in love with her, he discovers a radical theory of evolution that irrevocably changes his conception of the world.","320 pages, Paperback",Historical Fiction,242 follower,362 reviews,20,85 (4%),329 (16%),767 (39%),568 (29%),187 (9%)
Caressed by Ice,Nalini Singh,"39,813","ratings2,238","September 4, 2007","Explore new heights of sensuality in this return to the world of the Psy—where two people who know evil intimately must unlock the good within their icy hearts…
As an Arrow, an elite soldier in the Psy Council ranks, Judd Lauren was forced to do terrible things in the name of his people. Now a defector, his dark abilities have made him the most deadly of assassins—cold, pitiless, unfeeling. Until he meets Brenna . . .Brenna Shane Kincaid was an innocent before she was abducted—and had her mind violated—by a serial killer. Her sense of evil runs so deep, she fears she could become a killer herself. Then the first dead body is found, victim of a familiar madness. Judd is her only hope, yet her sensual changeling side rebels against the inhuman chill of his personality, even as desire explodes between them. Shocking and raw, their passion is a danger that threatens not only their hearts, but their very lives . . .","352 pages, Mass Market Paperback",Paranormal Romance,25.5k follower,"2,238 reviews",254,320 (<1%),909 (2%),"5,312 (13%)","13,586 (34%)","19,686 (49%)"
"One Story, One Song",Richard Wagamese,"1,082",ratings136,"February 12, 2011","""The short pieces in One Story, One Song remind us of human beings' place in the world: We are a part of it, not masters of it. And by sharing our stories we share ourselves. By listening to others' stories, we share their lives and perhaps gain connections. One Story, One Song is all about connections, something we all need.""—Globe and MailIn One Story, One Song, Richard Wagamese invites readers to accompany him on his travels. His focus is on stories: how they shape us, how they empower us, how they change our lives. Ancient and contemporary, cultural and spiritual, funny and sad, the tales are grouped according to the four Ojibway storytelling principles: balance, harmony, knowledge and intuition.Whether the topic is learning from his grade five teacher about Martin Luther King, gleaning understanding from a wolf track, lighting a fire for the first time without matches or finding the universe in an eagle feather, these stories exhibit the warmth, wisdom and generosity that make Wagamese so popular. As always, in these pages, the land serves as Wagameseï¿½s guide. And as always, he finds that true home means not only community but conversation—good, straight-hearted talk about important things. We all need to tell our stories, he says. Every voice matters.","272 pages, Hardcover",Nonfiction,"1,364 follower",136 reviews,21,6 (<1%),19 (1%),122 (11%),389 (35%),546 (50%)
The Isle of Illusion,Emily Rodda,"4,397",ratings82,"March 1, 2002","The race to save Deltora continues in this remarkable new fantasy adventure!Lief, Barda, and Jasmine are desperately searching for the three parts of the fabled Pirran Pipe, their only hope of saving the thousands of Deltorans held captive by the evil Shadow Lord.As their loved ones left behind in Del struggle in a thickening web of rumor, suspicion, and treachery, the companions move on to the mysterious island of Auron. They have been warned that terrible dangers await them. But nothing can prepare them for what is to come.","160 pages, Paperback",Fantasy,"1,950 follower",82 reviews,316,31 (<1%),223 (5%),"1,188 (27%)","1,577 (35%)","1,378 (31%)"
The Predicteds,Christine Seifert,"1,379",ratings222,"September 1, 2011","Daphne is the new girl in town and is having trouble fitting in. At least she has Jesse… sort of. He wants to be more than “just friends,” but there’s something he’s not telling her about his past. Something dangerous. When a female student is brutally attacked, police turn to PROFILE, a new program that can predict a student’s capacity for violent behavior, to solve the case. As the witch hunt ensues, Daphne is forced to question her feelings for Jesse—and what she will do if her first love turns out to be a killer.","352 pages, Paperback",Young Adult,104 follower,222 reviews,11,86 (6%),199 (14%),471 (34%),346 (25%),277 (20%)
A Dark Matter,Peter Straub,"4,622",ratings667,"January 1, 2010","The incomparable master of horror and suspense returns with a powerful, brilliantly terrifying novel that redefines the genre in original and unexpected ways.The charismatic and cunning Spenser Mallon is a campus guru in the 1960s, attracting the devotion and demanding sexual favors of his young acolytes. After he invites his most fervent followers to attend a secret ritual in a local meadow, the only thing that remains is a gruesomely dismembered body—and the shattered souls of all who were present.Years later, one man attempts to understand what happened to his wife and to his friends by writing a book about this horrible night, and it’s through this process that they begin to examine the unspeakable events that have bound them in ways they cannot fathom, but that have haunted every one of them through their lives. As each of the old friends tries to come to grips with the darkness of the past, they find themselves face-to-face with the evil triggered so many years earlier. Unfolding through the individual stories of the fated group’s members, A Dark Matter is an electric, chilling, and unpredictable novel that will satisfy Peter Straub's many ardent fans, and win him legions more.","397 pages, Hardcover",Horror,"3,947 follower",667 reviews,263,495 (10%),"1,107 (23%)","1,505 (32%)","1,043 (22%)",472 (10%)
The Love Potion,Sandra Hill,"1,757",ratings114,"December 1, 1999","Hijinks ensue when a beautiful chemist unwittingly tests her new love potion on a wildly handsome lawyer.A love potion in a jelly bean? Yep! Fame and fortune are surely only a swallow away when Dr. Sylvie Fontaine discovers a chemical formula guaranteed to attract the opposite sex. Though her own love life is purely hypothetical, the shy chemist's professional future is assured ... as soon as she can find a human guinea pig. The only problem is the wrong man has swallowed Sylvie's love potion. Bad boy Lucien LeDeux is more than she can handle even before he's dosed with the Jelly Bean Fix. The wildly virile lawyer is the last person she'd choose to subject to the scientific method. When the dust settles, Sylvie and Luc have the answers to some burning questions-Can a man die of testosterone overload? Can a straight-laced female lose every single one of her inhibitions?-and they learn that old-fashioned romance is still the best catalyst for love.","391 pages, Mass Market Paperback",Romance,"1,294 follower",114 reviews,91,50 (2%),111 (6%),418 (23%),532 (30%),646 (36%)
The Rook,Daniel O'Malley,"58,575","ratings7,597","January 11, 2012","""The body you are wearing used to be mine.""So begins the letter Myfanwy Thomas is holding when she awakes in a London park surrounded by bodies all wearing latex gloves. With no recollection of who she is, Myfanwy must follow the instructions her former self left behind to discover her identity and track down the agents who want to destroy her.She soon learns that she is a Rook, a high-ranking member of a secret organization called the Chequy that battles the many supernatural forces at work in Britain. She also discovers that she possesses a rare, potentially deadly supernatural ability of her own. In her quest to uncover which member of the Chequy betrayed her and why, Myfanwy encounters a person with four bodies, an aristocratic woman who can enter her dreams, a secret training facility where children are transformed into deadly fighters, and a conspiracy more vast than she ever could have imagined.Filled with characters both fascinating and fantastical, The Rook is a richly inventive, suspenseful, and often wry thriller that marks an ambitious debut from a promising young writer.","504 pages, Hardcover",Fantasy,"3,078 follower","7,597 reviews",5,"1,114 (1%)","2,511 (4%)","8,780 (14%)","22,993 (39%)","23,177 (39%)"
The New Weird,Ann VanderMeer,"1,301",ratings108,"January 1, 2008","This avant-garde anthology that presents and defines the New Weird—a hip, stylistic fiction that evokes the gritty exuberance of pulp novels and dime-store comic books—creates a new literature that is entirely unprecedented and utterly compelling. Assembling an array of talent, this collection includes contributions from visionaries Michael Moorcock and China Miéville, modern icon Clive Barker, and audacious new talents Hal Duncan, Jeffrey Ford, and Sarah Monette. An essential snapshot of a vibrant movement in popular fiction, this anthology also features critical writings from authors, theorists, and international editors as well as witty selections from online debates.ContentsIntroduction: The New Weird: “It’s Alice?” by Jeff VanderMeer“The Gutter Sees the Light That Never Shines” by Alistair Rennie“Watson’s Boy” by Brian Evenson“Cornflowers Beside the Unuttered” by Cat Rambo“Jack” by China Miéville“In the Hills, the Cities” by Clive Barker“Forfend the Heaven’s Rending” by Conrad Williams“Locust-Mind” by Daniel Abraham“Tracking Phantoms” by Darja Malcolm-Clarke“Constable Chalch and the Ten Thousand Heroes” by Felix Gilman“The Lizard of Ooze” by Jay Lake“Festival Lives: Preamble: An Essay” by Jeff VanderMeer and Ann VanderMeer“At Reparata” by Jeffrey Ford“Immolation” by Jeffrey Thomas“The Art of Dying” by Darja Malcolm-Clarke“Whose Words You Wear” by K. J. Bishop“The Neglected Garden” by Kathy Koja“Letters from Tainaron” by Leena Krohn“The Luck in the Head” by M. John Harrison“Crossing Cambodia” by Michael Moorcock“Death in a Dirty Dhorti” by Paul Di Filippo“All God’s Chillun Got Wings” by Sarah Monette“The Braining of Mother Lamprey” by Simon D. Ings“The Ride of the Gabbleratchet” by Steph Swainston“A Soft Voice Whispers Nothing” by Thomas Ligotti“European Editor Perspectives on the New Weird: An Essay” by Martin Šust, Michael Haulica, Hannes Riffel, Jukka Halme, Konrad Walewski“The New Weird: I Think We’re the Scene” by Michael Cisco“New Weird Discussions: The Creation of a Term” by various authors","403 pages, Paperback",Short Stories,229 follower,108 reviews,72,29 (2%),93 (7%),373 (28%),496 (38%),310 (23%)
Doctor Who: The Clockwise Man,Justin Richards,"3,689",ratings345,"January 1, 2005","In 1920s London the Doctor and Rose find themselves caught up in the hunt for a mysterious murderer. But not everything is what it seems. Secrets lie behind locked doors and inhuman killers roam the streets.Who is the Painted Lady and why is she so interested in the Doctor? How can a cat return from the dead? Can anyone be trusted to tell - or even to know - the truth?With the faceless killers closings in, the Doctor and Rose must solve the mystery of the Clockwise Man before London itself is destroyed...This is the first of a new series of hardcovers featuring the new Doctor Who from the new TV series.","256 pages, Hardcover",Doctor Who,227 follower,345 reviews,303,68 (1%),344 (9%),"1,283 (34%)","1,233 (33%)",761 (20%)
