Title,Authors,Avg Ratings,Rating,first_published,Description,Total_Pages,Genre,author_followers,no_of_reviews,no_book_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Oops!: Helping Children Learn Accidentally,Hywel Roberts,90,ratings8,"April 26, 2012","The book also shines a spotlight on the role of the teacher and how he or she can do the right things to get the absolute best from students. Some of the best learning takes place when, rather than imposing on young people a pre-determined curriculum, you find the stimulus that is relevant and engaging for them and build from there. Then the curriculum starts to emerge in a way that simply hooks students into learning almost despite themselves. There is nothing for them to push against ('What's the point?!', 'This is boring..!') as they have helped shape the direction of the lesson in a way that makes it real and useful to them. All this without them even realising what is going on! They have been 'lured into learning' and the process is shared with teachers in this book, with examples as to how it can be done and how the author has done it. Reading this book will support teachers in developing ideas that motivate everybody in the classroom, from infants to secondary and beyond. Whether you're new to teaching or have vast experience you will find in this book inspiration to raise achievement, improve behaviour and enhance creativity in the classroom; and you will change the way you approach lesson planning forever. Shortlisted for the Education Resources Awards 2013, Secondary Resource - non ICT category Oops Book Launch, Waterstones, Sheffield, May 2012: Photography by Jane Hewitt www.janehewittphotography.co.uk","208 pages, Paperback",Teaching,13 book,8 reviews,13,0 (0%),3 (3%),11 (12%),32 (35%),44 (48%)
Claw : Book 1,Lucian Bane,243,ratings88,"June 15, 2016","Dante is a skin artist, a murderer, and a healer. Hired by a religious couple to troubleshoot a barren marriage, he sets out to bring the miracle they crave. But disturbing secrets arise about the couple and Dante's protocols take a dark turn in response. WARNING: This book contains a scene of sexual assault and could act as a trigger for some readers. Read with caution.","176 pages, Kindle Edition",Erotica,"2,906 follower",88 reviews,131,10 (4%),3 (1%),22 (9%),42 (17%),166 (68%)
"Saga, Volume 9",Brian K. Vaughan,"31,534","ratings5,360","September 26, 2018","The multiple Eisner Award-winning series returns with a spacefaring adventure about fake news and genuine terror. Get ready for the most shocking, most impactful SAGA storyline yet.Collects: Saga #49-54.","152 pages, Kindle Edition",Graphic Novels,13.5k follower,"5,360 reviews",977,98 (<1%),263 (<1%),"1,832 (5%)","8,880 (28%)","20,461 (64%)"
Sugar,Jewell Parker Rhodes,"2,695",ratings429,"January 1, 2013","From bestselling and award-winning author Jewell Parker Rhodes comes a tale of a strong, spirited young girl who rises beyond her circumstances and inspires others to work toward a brighter future.Ten-year-old Sugar lives on the River Road sugar plantation along the banks of the Mississippi. Slavery is over, but laboring in the fields all day doesn't make her feel very free. Thankfully, Sugar has a knack for finding her own fun, especially when she joins forces with forbidden friend Billy, the white plantation owner's son.Sugar has always yearned to learn more about the world, and she sees her chance when Chinese workers are brought in to help harvest the cane. The older River Road folks feel threatened, but Sugar is fascinated. As she befriends young Beau and elder Master Liu, they introduce her to the traditions of their culture, and she, in turn, shares the ways of plantation life. Sugar soon realizes that she must be the one to bridge the cultural gap and bring the community together. Here is a story of unlikely friendships and how they can change our lives forever.Also by Jewell Parker Ninth WardBayou MagicTowers FallingGhost BoysBlack Brother, Black BrotherParadise on Fire","288 pages, Paperback",Historical Fiction,"1,436 follower",429 reviews,30,32 (1%),71 (2%),525 (19%),"1,106 (41%)",961 (35%)
The Enchantress Returns,Chris Colfer,"65,304","ratings3,976","August 6, 2013","Willkommen zurück im Land der Märchen! Das magische Land der Geschichten wird von einer düsteren Bedrohung heimgesucht: Die böse Zauberin ist zurück, und sie hat Alex' und Conners Mutter entführt, um deren Großmutter zu erpressen. Die Zwillinge müssen erneut über ein Portal in das magische Land reisen, sonst sehen sie ihre Mutter womöglich nie wieder! Bald schon sind sie auf der Suche nach einem seltenen Artefakt, dem sogenannten Stab des Staunens. Um seine Kraft nutzen zu können, müssen sich die Geschwister auf eine Reise an die am meisten gefürchteten Orte im ganzen magischen Land begeben - nur so können sie der Zauberin Einhalt gebieten!","517 pages, Hardcover",Fantasy,10.3k follower,"3,976 reviews",67,327 (<1%),991 (1%),"6,482 (9%)","19,117 (29%)","38,387 (58%)"
The Photographer,Emmanuel Guibert,"3,819",ratings463,"January 1, 2003","In 1986, Afghanistan was torn apart by a war with the Soviet Union. This graphic novel/photo-journal is a record of one reporter’s arduous and dangerous journey through Afghanistan, accompanying the Doctors Without Borders. Didier Lefevre’s photography, paired with the art of Emmanuel Guibert, tells the powerful story of a mission undertaken by men and women dedicated to mending the wounds of war.","288 pages, Paperback",Graphic Novels,138 follower,463 reviews,126,27 (<1%),99 (2%),502 (13%),"1,276 (33%)","1,915 (50%)"
Syrian Brides,Anna Halabi,234,ratings151,"November 1, 2018","This delightful collection of short stories offers insight into the lives of Syrian women, both the married and the brides-to-be. It reveals the warmth and humor as well as the oppression in the Syrian society. The stories make the reader laugh while addressing serious issues such as domestic violence.Um Hussam can't find a suitable bride for her son, testing each candidate's sight, hearing and reading skills, occasionally cobbing a feel. Jamila's husband Hassan can't forget his deceased wife, until she makes sure he never mentions her again. Rami can't help but wonder whether his new bride is a natural beauty or a talented surgeon's masterpiece. Khadija's maid stabs her in the back while Rana's husband Muafak can't find the right excuse to avoid a fight.","134 pages, Paperback",Short Stories,82 follower,151 reviews,7,3 (1%),3 (1%),38 (16%),94 (40%),96 (41%)
"Spearhead: An American Tank Gunner, His Enemy, and a Collision of Lives In World War II",Adam Makos,"5,678",ratings688,"February 19, 2019","From the author of the international bestseller A Higher Call comes the riveting World War II story of an American tank gunner’s journey into the heart of the Third Reich, where he will meet destiny in an iconic armor duel—and forge an enduring bond with his enemy.When Clarence Smoyer is assigned to the gunner’s seat of his Sherman tank, his crewmates discover that the gentle giant from Pennsylvania has a hidden talent: He’s a natural-born shooter.At first, Clarence and his fellow crews in the legendary 3rd Armored Division—“Spearhead”—thought their tanks were invincible. Then they met the German Panther, with a gun so murderous it could shoot through one Sherman and into the next. Soon a pattern emerged: The lead tank always gets hit.After Clarence sees his friends cut down breaching the West Wall and holding the line in the Battle of the Bulge, he and his crew are given a weapon with the power to avenge their fallen brothers: the Pershing, a state-of-the-art “super tank,” one of twenty in the European theater.But with it comes a harrowing new responsibility: Now they will spearhead every attack. That’s how Clarence, the corporal from coal country, finds himself leading the U.S. Army into its largest urban battle of the European war, the fight for Cologne, the “Fortress City” of Germany.Battling through the ruins, Clarence will engage the fearsome Panther in a duel immortalized by an army cameraman. And he will square off with Gustav Schaefer, a teenager behind the trigger in a Panzer IV tank, whose crew has been sent on a suicide mission to stop the Americans.As Clarence and Gustav trade fire down a long boulevard, they are taken by surprise by a tragic mistake of war. What happens next will haunt Clarence to the modern day, drawing him back to Cologne to do the unthinkable: to face his enemy, one last time.","395 pages, Hardcover",History,594 follower,688 reviews,12,35 (<1%),68 (1%),375 (6%),"1,560 (27%)","3,640 (64%)"
The End of Everything,Katie  Mack,"10,084","ratings1,419","August 4, 2020","From one of the most dynamic rising stars in astrophysics, an accessible and eye-opening look—in the bestselling tradition of Sean Carroll and Carlo Rovelli—at the five different ways the universe could end, and the mind-blowing lessons each scenario reveals about the most important concepts in physics.We know the universe had a beginning. With the Big Bang, it went from a state of unimaginable density to an all-encompassing cosmic fireball to a simmering fluid of matter and energy, laying down the seeds for everything from dark matter to black holes to one rocky planet orbiting a star near the edge of a spiral galaxy that happened to develop life. But what happens at the end of the story? In billions of years, humanity could still exist in some unrecognizable form, venturing out to distant space, finding new homes and building new civilizations. But the death of the universe is final. What might such a cataclysm look like? And what does it mean for us? Dr. Katie Mack has been contemplating these questions since she was eighteen, when her astronomy professor first informed her the universe could end at any moment, setting her on the path toward theoretical astrophysics. Now, with lively wit and humor, she unpacks them in The End of Everything, taking us on a mind-bending tour through each of the cosmos’ possible finales: the Big Crunch; the Heat Death; Vacuum Decay; the Big Rip; and the Bounce. In the tradition of Neil DeGrasse’s bestseller Astrophysics for People in a Hurry, Mack guides us through major concepts in quantum mechanics, cosmology, string theory, and much more, in a wildly fun, surprisingly upbeat ride to the farthest reaches of everything we know.","226 pages, Hardcover",Science,615 follower,"1,419 reviews",2,37 (<1%),178 (1%),"1,262 (12%)","4,249 (42%)","4,358 (43%)"
Explorers on Witch Mountain,Alex Bell,"1,018",ratings138,"November 1, 2018","Stella Starflake Pearl is eagerly anticipating her next expedition. Suddenly disaster strikes when Stella's father, Felix, is snatched by a fearsome witch. Stella must bring her magic ice princess tiara to Witch Mountain or she will never see Felix again! But no one ever returns from Witch Mountain...Stella, Ethan, Shay, Beanie and reluctant Jungle Cat explorer, Percival, set off into the unknown. They will face terrifying bat caves, poisonous apple groves, outraged vultures, argumentative mushrooms and deranged broomsticks in their quest to rescue Felix.","268 pages, Kindle Edition",Middle Grade,544 follower,138 reviews,27,7 (<1%),18 (1%),128 (12%),446 (43%),419 (41%)
