Title,Authors,Avg Ratings,Rating,first_published,Description,Total_Pages,Genre,author_followers,no_of_reviews,no_book_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
"Painted Shadow: The Life of Vivienne Eliot, First Wife of T. S. Eliot",Carole Seymour-Jones,113,ratings10,"October 25, 2001","This astonishing portrait of Vivienne Eliot, first wife of poet T.S. Eliot, gives a voice to the woman who, for seventeen years, had shared a unique literary partnership with Eliot but who was scapegoated for the failure of the marriage and all but obliterated from historical record. In so doing, Painted Shadow opens the way to a new understanding of Eliot’s poetry.Vivienne longed to tell her whole story; she wrote in her diary: “You who in later years will read these very words of mine will be able to trace a true history of this epoch.” She believed (as did Virginia Woolf) that she was Eliot’s muse, the woman through whom he transmuted life into art. Yet Vivienne knew the secrets of his separate and secret life — which contributed to her own deepening hysteria, drug addiction, and final abandonment: the tragedy of a marriage that paired a repressed yet sensual man with an extroverted woman who longed for a full sexual relationship with her husband.Out of this emotional turbulence came one of the most important English poems of the twentieth century: The Waste Land, which Carole Seymour-Jones convincingly shows cannot be fully understood without reference to the relationship of the poet and his first wife. Drawing on papers both privately owned and in university library archives and, most importantly, on Vivienne Eliot’s own journals left to the Bodleian Library, Oxford, Carole Seymour-Jones uses many hitherto unpublished sources and opens the way to a new understanding of Eliot’s poetry.","736 pages, Paperback",Biography,8 follower,10 reviews,15,2 (1%),10 (8%),29 (25%),39 (34%),33 (29%)
Franklin Delano Roosevelt: Champion of Freedom,Conrad Black,741,ratings81,"November 4, 2003","Franklin Delano Roosevelt stands astride American history like a colossus, having pulled the nation out of the Great Depression and led it to victory in the Second World War. Elected to four terms as president, he transformed an inward-looking country into the greatest superpower the world had ever known. Only Abraham Lincoln did more to save America from destruction. But FDR is such a large figure that historians tend to take him as part of the landscape, focusing on smaller aspects of his achievements or carping about where he ought to have done things differently. Few have tried to assess the totality of FDR's life and career.Conrad Black rises to the challenge. In this magisterial biography, Black makes the case that FDR was the most important person of the twentieth century, transforming his nation and the world through his unparalleled skill as a domestic politician, war leader, strategist, and global visionary--all of which he accomplished despite a physical infirmity that could easily have ended his public life at age thirty-nine. Black also takes on the great critics of FDR, especially those who accuse him of betraying the West at Yalta. Black opens a new chapter in our understanding of this great man, whose example is even more inspiring as a new generation embarks on its own rendezvous with destiny.","1328 pages, Paperback",Biography,67 follower,81 reviews,38,8 (1%),26 (3%),117 (15%),268 (36%),322 (43%)
"After the Fall, Before the Fall, During the Fall",Nancy Kress,"2,800",ratings446,"April 1, 2012","The year is 2035. After ecological disasters nearly destroyed the Earth, 26 survivors—the last of humanity—are trapped by an alien race in a sterile enclosure known as the Shell. Fifteen-year-old Pete is one of the Six—children who were born deformed or sterile and raised in the Shell. As, one by one, the survivors grow sick and die, Pete and the Six struggle to put aside their anger at the alien Tesslies in order to find the means to rebuild the earth together. Their only hope lies within brief time-portals into the recent past, where they bring back children to replenish their disappearing gene pool. Meanwhile, in 2013, brilliant mathematician Julie Kahn works with the FBI to solve a series of inexplicable kidnappings. Suddenly her predictive algorithms begin to reveal more than just criminal activity. As she begins to realize her role in the impending catastrophe, simultaneously affecting the Earth and the Shell, Julie closes in on the truth. She and Pete are converging in time upon the future of humanity—a future which might never unfold. Weaving three consecutive time lines to unravel both the mystery of the Earth's destruction and the key to its salvation, this taut post-apocalyptic thriller offers a topical plot with a satisfying twist.","189 pages, Paperback",Science Fiction,863 follower,446 reviews,425,79 (2%),313 (11%),983 (35%),"1,032 (36%)",393 (14%)
Palace of Stone,Shannon Hale,"25,108","ratings2,588","August 21, 2012","In this second book in New York Times bestselling, Newbery Honor-winning author Shannon Hale's Princess Academy series , Miri embarks on a brand new life in the city.Coming down from the mountain to a new city life is a thrill to Miri. She and her princess academy friends have come to Asland to help the future princess Britta prepare for her wedding. There, Miri also has a chance to attend school--at the prestigious Queen's Castle.But as Miri befriends sophisticated and exciting students, she also learns that they have some frightening plans for a revolution. Torn between loyalty to the princess and her new friends' ideas, between an old love and a new crush, and between her small mountain home and the bustling city, Miri looks to find her own way in this new place.","336 pages, Hardcover",Fantasy,13.3k follower,"2,588 reviews",143,178 (<1%),942 (3%),"5,784 (23%)","9,975 (39%)","8,229 (32%)"
Wicked Game,Jeri Smith-Ready,"3,303",ratings373,"May 13, 2008","LATE NIGHT RADIO YOU CAN SINK YOUR TEETH INTORecovering con artist Ciara Griffin is trying to live the straight life, even if it means finding a (shudder!) real job. She takes an internship at a local radio station, whose late-night time-warp format features 1940s blues, '60s psychedelia, '80s goth, and more, all with an uncannily authentic flair. Ciara soon discovers just how the DJs maintain their cred: they're vampires, stuck forever in the eras in which they were turned.Ciara's first instinct, as always, is to cut and run. But communications giant Skywave wants to buy WVMP and turn it into just another hit-playing clone. Without the station  and the link it provides to their original Life Times  the vampires would ""fade,"" becoming little more than mindless ghosts of the past. Suddenly a routine corporate takeover is a matter of life and undeath.To boost ratings and save the lives of her strange new friends, Ciara rebrands the station as ""WVMP, the Lifeblood of Rock 'n' Roll."" In the ultimate con, she hides the DJs' vampire nature in plain sight, disguising the bloody truth as a marketing gimmick. WVMP becomes the hottest thing around  next to Ciara's complicated affair with grunge vamp Shane McAllister. But the ""gimmick"" enrages a posse of ancient and powerful vampires who aren't so eager to be brought into the light. Soon the stakes are higher  and the perils graver  than any con game Ciara's ever played...","361 pages, Paperback",Urban Fantasy,"1,599 follower",373 reviews,28,133 (4%),276 (8%),881 (26%),"1,176 (35%)",837 (25%)
Haunted,Meg Cabot,"38,851",ratings932,"January 21, 2003","Is it possible to be haunted by someone who isn't even dead?Suze is used to trouble, but this time she's in deep: Ghostly Jesse has her heart, but Paul Slater, a real flesh-and-blood guy, is warm for her form. And mediator Paul knows how to send Jesse to the Great Beyond. For good.Paul claims he won't do anything to Jesse as long as Suze will go out with him. Fearing she'll lose Jesse forever, Suze agrees. But even if Suze can get Jesse to admit his true feelings for her, what kind of future can she have with a guy who's already dead?","263 pages, Mass Market Paperback",Young Adult,34.4k follower,932 reviews,274,361 (<1%),"1,277 (3%)","7,230 (18%)","13,711 (35%)","16,272 (41%)"
"Fables, Vol. 2: Animal Farm",Bill Willingham,"32,207","ratings1,519","August 1, 2003","Ever since they were driven from their homelands by the Adversary, the non-human Fables have been living on the Farm—a vast property in upstate New York that keeps them hidden from the prying eyes of the mundane world. But now, after hundreds of years of isolation, the Farm is seething with revolution, fanned by the inflammatory rhetoric of Goldilocks and the Three Little Pigs. And when Snow White and her sister Rose Red stumble upon their plan to liberate the Homelands, the commissars of the Farm are ready to silence them—by any means necessary!Collecting the second story arc of creator and writer Bill Willingham's acclaimed series: Fables, Animal Farm features the stunning artwork of penciller Mark Buckingham and inker Steve Leialoha, and includes a special sketchbook section of preliminary artwork from Willingham, Buckingham, and cover artist James Jean.Collecting: Fables 6-10","127 pages, Paperback",Graphic Novels,"2,772 follower","1,519 reviews","1,055",187 (<1%),848 (2%),"5,722 (17%)","13,739 (42%)","11,711 (36%)"
"A Miscellany of Britain: People, Places, History, Culture, Customs, Sport",Tom O'Meara,23,ratings4,"October 30, 2007","Illustrated throughout, 'A Miscellany of Britain' puts you right about many truths and half-truths, from Nelson's eyepatch and the number of wives Henry VIII had, to where the word 'curry' comes from and the origins of the police helmet back in the 19th century.","192 pages, Hardcover",bookshelf,3 book,4 reviews,3,0 (0%),5 (21%),3 (13%),8 (34%),7 (30%)
Revived,Cat Patrick,"9,387","ratings1,146","May 8, 2012","From the author of Forgotten comes this riveting new thriller about ""the God Project,"" a government program that can bring people back from the dead.  It started with a bus crash.  Daisy Appleby was a little girl when it happened, and she barely remembers the accident or being brought back to life. At that moment, though, she became one of the first subjects in a covert government program that tests a drug called Revive. Now fifteen, Daisy has died and been Revived five times. Each death means a new name, a new city, a new identity. The only constant in Daisy's life is constant change. Then Daisy meets Matt and Audrey McKean, charismatic siblings who quickly become her first real friends. But if she's ever to have a normal life, Daisy must escape from an experiment that's much larger—and more sinister—than she ever imagined. From its striking first chapter to its emotionally charged ending, Cat Patrick's Revived is a riveting story about what happens when life and death collide.","352 pages, Hardcover",Young Adult,"1,634 follower","1,146 reviews",11,226 (2%),758 (8%),"2,618 (27%)","3,037 (32%)","2,748 (29%)"
The Pinhoe Egg,Diana Wynne Jones,"9,018",ratings539,"October 3, 2006","Cat Chant and Marianne Pinhoe have discovered something exciting--something truly precious, very strange, and valuable. An egg.An egg that has been hidden away in an attic for who-knows-how-many years. An egg protected by some strong ""Don't Notice"" spells. An egg that Marianne gives to Cat, even though he lives at nearby Chrestomanci Castle. Chrestomanci himself, the strongest enchanter in the world, is sure to be interested in the egg--and interference from the Big Man is the last thing Marianne's family of secret rogue witches wants.But how much longer can the Pinhoes keep their secrets? Gammer, the leader of the clan, has gone mad, a powerful bad luck spell is wreaking havoc, and there's an unexplained plague of frogs. Not to mention the mysterious barrier Cat finds in the forest.Marianne and Cat may be the only two who can set things right. But first Marianne must accept her own powerful magic, and Cat must uncover the secrets behind the mystical Pinhoe Egg.In this new Chrestomanci book, Diana Wynne Jones is at her most magical.","515 pages, Hardcover",Fantasy,10.8k follower,539 reviews,118,48 (<1%),279 (3%),"1,792 (19%)","3,514 (38%)","3,385 (37%)"
Never Fade,Alexandra Bracken,"97,251","ratings7,752","October 15, 2013","Ruby never asked for the abilities that almost cost her her life. Now she must call upon them on a daily basis, leading dangerous missions to bring down a corrupt government and breaking into the minds of her enemies. Other kids in the Children’s League call Ruby “Leader”, but she knows what she really is: a monster. When Ruby is entrusted with an explosive secret, she must embark on her most dangerous mission yet: leaving the Children’s League behind. Crucial information about the disease that killed most of America’s children—and turned Ruby and the others who lived into feared and hated outcasts—has survived every attempt to destroy it. But the truth is only saved in one place: a flashdrive in the hands of Liam Stewart, the boy Ruby once believed was her future—and who now wouldn’t recognize her. As Ruby sets out across a desperate, lawless country to find Liam—and answers about the catastrophe that has ripped both her life and America apart—she is torn between old friends and the promise she made to serve the League. Ruby will do anything to protect the people she loves. But what if winning the war means losing herself?","507 pages, Hardcover",Dystopia,25k follower,"7,752 reviews",30,996 (1%),"3,052 (3%)","14,307 (14%)","35,376 (36%)","43,520 (44%)"
The Void of Mist and Thunder,James Dashner,"2,239",ratings158,"July 13, 2012","Suspense meets sacrifice in the action-packed conclusion to New York Times bestselling author James Dashner’s 13th Reality series.Atticus Higginbottom—aka Tick—has known all along that when the battle for every reality is on the line, his role will be a crucial one. But he never could have imagined how this final challenge would go down. While Tick’s friends Paul, Sofia, and Sato work together with the Realitants to fight the newest and biggest threat to the very fabric of all that exists, Tick finds himself alone with the villains responsible for the Mistress Jane and Reginald Chu.Each character faces unimaginable choices and death-defying odds in this breathless conclusion to a quirky, clever series. Ultimately, it will take a stunning sacrifice to save the day….","483 pages, Paperback",Fantasy,34.1k follower,158 reviews,100,38 (1%),132 (5%),448 (20%),713 (31%),908 (40%)
The Vampire Genevieve,Jack Yeovil,596,ratings31,"January 1, 2005","Evil has a new enemy... one of its own. Meet Genevieve Dieudonne. She's beautiful, powerful, resourceful and courageous - and over four hundred years old. In the dark forests and cities of the Warhammer world, she and her unlikely companions battle the forces of evil and insanity. However, the vampire blood running through Genevieve's veins means she must constantly fight the urge to surrender to the evil within her. ""The Vampire Genevieve"" collects together all the tales of Genevieve and her unlikely companions into one volume. It contains the four fabulous novels ""Drachenfels"", ""Genevieve Undead"", ""Beasts in Velvet"" and ""Silver Nails"". Jack Yeovil is a pseudonym for popular nevelist Kim Newman. The Genevieve books were first published by Games Workshop in the late 1980s and quickly gained a cult reputation amongst Warhammer and fantasy fans alike. Now all four novels are available in a superb value collected volume.","763 pages, Paperback",Fantasy,55 follower,31 reviews,18,14 (2%),47 (7%),127 (21%),220 (36%),188 (31%)
Torn: Rescuing the Gospel from the Gays-vs.-Christians Debate,Justin Lee,"4,256",ratings630,"January 1, 2012","As a teenager and young man, Justin Lee felt deeply torn. Nicknamed ""God Boy"" by his peers, he knew that he was called to a life in the evangelical Christian ministry. But Lee harbored a secret: He also knew that he was gay. In this groundbreaking book, Lee recalls the events—his coming out to his parents, his experiences with the ""ex-gay"" movement, and his in-depth study of the Bible—that led him, eventually, to self-acceptance. But more than just a memoir, TORN provides insightful, practical guidance for all committed Christians who wonder how to relate to gay friends or family members—or who struggle with their own sexuality. Convinced that ""in a culture that sees gays and Christians as enemies, gay Christians are in a unique position to bring peace,"" Lee demonstrates that people of faith on both sides of the debate can respect, learn from, and love one another.","272 pages, Hardcover",Christian,103 follower,630 reviews,87,56 (1%),106 (2%),435 (10%),"1,441 (33%)","2,218 (52%)"
Words on Fire,Jennifer A. Nielsen,"10,627","ratings1,381","October 1, 2019","Danger is never far from Audra's family farm in Lithuania. She always avoids the occupying Russian Cossack soldiers, who insist that everyone must become Russian -- they have banned Lithuanian books, religion, culture, and even the language. But Audra knows her parents are involved in something secret and perilous.When Cossacks arrive abruptly at their door, Audra's parents insist that she flee, taking with her an important package and instructions for where to deliver it. But escape means abandoning her parents to a terrible fate.As Audra embarks on a journey to deliver the mysterious package, she faces unimaginable risks, and soon she becomes caught up in a growing resistance movement. Can joining the underground network of book smugglers give Audra a chance to rescue her parents?","336 pages, Hardcover",Historical Fiction,"8,084 follower","1,381 reviews",44,58 (<1%),216 (2%),"1,525 (14%)","3,857 (36%)","4,971 (46%)"
"Complicity: How the North Promoted, Prolonged, and Profited from Slavery",Anne Farrow,316,ratings53,"September 27, 2005","Slavery in the South has been documented in volumes ranging from exhaustive histories to bestselling novels. But the North’s profit from–indeed, dependence on–slavery has mostly been a shameful and well-kept secret . . . until now. In this startling and superbly researched new book, three veteran New England journalists de-mythologize the region of America known for tolerance and liberation, revealing a place where thousands of people were held in bondage and slavery was both an economic dynamo and a necessary way of life.Complicity reveals the cruel truth about the Triangle Trade of molasses, rum, and slaves that lucratively linked the North to the West Indies and Africa; discloses the reality of Northern empires built on profits from rum, cotton, and ivory–and run, in some cases, by abolitionists; and exposes the thousand-acre plantations that existed in towns such as Salem, Connecticut. Here, too, are eye-opening accounts of the individuals who profited directly from slavery far from the Mason-Dixon line–including Nathaniel Gordon of Maine, the only slave trader sentenced to die in the United States, who even as an inmate of New York’s infamous Tombs prison was supported by a shockingly large percentage of the city; Patty Cannon, whose brutal gang kidnapped free blacks from Northern states and sold them into slavery; and the Philadelphia doctor Samuel Morton, eminent in the nineteenth-century field of “race science,” which purported to prove the inferiority of African-born black people.Culled from long-ignored documents and reports–and bolstered by rarely seen photos, publications, maps, and period drawings–Complicity is a fascinating and sobering work that actually does what so many books pretend to do: shed light on America’s past. Expanded from the celebrated Hartford Courant special report that the Connecticut Department of Education sent to every middle school and high school in the state (the original work is required readings in many college classrooms,) this new book is sure to become a must-read reference everywhere.From the Hardcover edition.","269 pages, Paperback",History,2 book,53 reviews,2,5 (1%),13 (4%),43 (13%),112 (35%),143 (45%)
A Duke a Dozen,Shana Galen,637,ratings91,"September 3, 2019","They call him the Doomed Duke. Phineas Duncombe, ninth Duke of Mayne, should not be the duke. After all, he had four—count them—four older brothers! Phin never wanted the dukedom, and the suspicious circumstances of the eighth duke’s death lead Phin to question the Countess of Longstowe. The beautiful widow isn’t at all what Phin expected. He’s intrigued by her and determined to seduce her. The countess is not interested in Phin romantically, but when she comes to him with another request, he can’t deny it. A few days in the country with Lady Longstowe reveal two truths to the new duke. One, he cares for the countess much more than any other woman he’s ever known. Two, Phin either has very bad luck or someone is trying to kill him.  They call her the Wanton Widow. Annabel was barely eighteen when she was married to the elderly Earl of Longstowe. A harsh, sadistic man, the earl’s death was not something Annabel mourned. Now in her mid-forties, Annabel enjoys her widowhood and has no desire to ever be under a man’s thumb again. Not even a handsome duke like Mayne, who is far too young for her anyway. Annabel’s one desire is to find the daughter who was taken away from her. For that she needs a man with power and status. She needs the Duke of Mayne. When the two are thrust together, Annabel struggles to fight her attraction to the charming Phin. She’s losing the battle. But can she ever trust another man, especially with the one part of herself she’s never given away—her heart?","417 pages, Kindle Edition",Historical Romance,"1,494 follower",91 reviews,82,9 (1%),38 (5%),135 (21%),249 (39%),206 (32%)
The Quantum Spy,David Ignatius,"4,166",ratings389,"November 7, 2017","A hyper-fast quantum computer is the digital equivalent of a nuclear bomb: whoever possesses one will be able to shred any encryption in existence, effectively owning the digital world. The question is: Who will build it first, the United States or China?The latest of David Ignatius's timely, sharp-eyed espionage novels follows CIA agent Harris Chang into a quantum research lab compromised by a suspected Chinese informant. The breach provokes a mole hunt that is obsessive, destructive, and--above all--uncertain: Do the leaks expose real secrets, or are they false trails meant to deceive the Chinese? Chang soon finds that there is a thin line between loyalty and betrayal, as the investigation leads him down a rabbit hole as dangerous as it is deep.Grounded in the real-world global charge toward technological dominance, The Quantum Spy presents a sophisticated game of cat-and-mouse wired to an exhilarating cyber thriller.","329 pages, Kindle Edition",Fiction,565 follower,389 reviews,30,73 (1%),282 (6%),"1,138 (27%)","1,674 (40%)",999 (23%)
What Does It Mean to Be Chosen?: An Interactive Bible Study,Amanda Jenkins,463,ratings42,"January 21, 2021","The #1 bestseller in New Testament Commentaries. Over 200,000 copies sold!This is the official companion study to season 1 of The Chosen, the groundbreaking television series about the life of Jesus.What Does It Mean to Be Chosen? parallels each episode, connecting readers to the Bible in a brand-new way. It includes:A deeper look at Isaiah 43 and its fulfillment in Jesus and the lives of His followers (including us!)Script excerpts, quotes, and illustrations from the showGuiding questions for groups or individuals Being chosen by Jesus has beautiful and far-reaching implications--although it says even more about the Chooser than the choosees. We are loved because He is love. We are saved because He is merciful. We belong to the family of God because Jesus invites us, making the Bible and all its promises as true for us today as it was for God's chosen people.What does it actually mean to be Chosen? To answer that question, we're going Old school--Testament that is--which leads us back to the New. Which always leads us directly to Jesus.","135 pages, Kindle Edition",Christian,58 follower,42 reviews,68,4 (<1%),12 (2%),30 (6%),113 (24%),304 (65%)
