Title,Authors,Avg Ratings,Rating,first_published,Description,Total_Pages,Genre,author_followers,no_of_reviews,no_book_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Abide With Me,Elizabeth Strout,"16,595","ratings1,910","March 14, 2006","304 pages POCKET BOOKS; New Ed edition (2007) Elizabeth Strout is the author of the New York Times bestseller Olive Kitteridge, for which she was awarded the Pulitzer Prize; the national bestseller Abide with Me; and Amy and Isabelle, winner of the Los Angeles Times Art Seidenbaum Award and the Chicago Tribune Heartland Prize. She has also been a finalist for the PEN/Faulkner Award and the Orange Prize in London. She lives in Maine and New York City. English 0743462289 978-0743462280 Product 5.2 x 7.6 inches Shipping 6.4 ounces","321 pages, Paperback",Fiction,12.1k follower,"1,910 reviews",45,224 (1%),834 (5%),"4,061 (24%)","6,809 (41%)","4,667 (28%)"
Paths of Glory,Jeffrey Archer,"19,276","ratings1,400","January 1, 2009","Some people have dreams that are so magnificent that if they were to achieve them, their place in history would be guaranteed.  People like Christopher Columbus, Isaac Newton, Florence Nightingale, Thomas Edison, Nancy Astor, Charles Lindbergh, Amy Johnson, Edmund Hilary and Neil Armstrong—their unparalleled success has made their stories into legend.But what if one man had such a dream, and once he’d achieved it, there was no proof that he had fulfilled his ambition?Jeffrey Archer’s new novel, Paths of Glory, is the story of such a man—George Mallory. Born in 1886, he was a brilliant student who became part of the Bloomsbury Group at Cambridge in the early twentieth century and served in the Royal Garrison Artillery during World War I. After the war, he married, had three children, and would have spent the rest of his life as a schoolteacher, but for his love of mountain climbing.Mallory once told a reporter that he wanted to climb Mt. Everest, “because it is there.” On his third try in 1924, at age thirty-seven, he was last seen four hundred feet from the top. His body was found in 1999, and it remains a mystery whether he and his climbing partner, Andrew Irvine, ever reached the summit.In fact, not until you’ve turned the last page of Archer’s extraordinary novel will you be able to decide if George Mallory should be added to that list of legends, while another name would have to be removed.  Paths of Glory is truly a triumph.","418 pages, Hardcover",Fiction,11.2k follower,"1,400 reviews",378,235 (1%),816 (4%),"4,120 (21%)","7,589 (39%)","6,516 (33%)"
Yes Please,Amy Poehler,"522,915","ratings28,051","October 28, 2014","In Amy Poehler’s highly anticipated first book, Yes Please, she offers up a big juicy stew of personal stories, funny bits on sex and love and friendship and parenthood and real life advice (some useful, some not so much), like when to be funny and when to be serious. Powered by Amy’s charming and hilarious, biting yet wise voice, Yes Please is a book full of words to live by.","8 pages, Audiobook",Nonfiction,"2,467 follower","28,051 reviews",11,"16,212 (3%)","34,000 (6%)","127,108 (24%)","181,554 (34%)","164,041 (31%)"
This is Not a Game,Walter Jon Williams,"2,628",ratings301,"March 1, 2009","Once upon a time, there were four of them. And though each was good at a number of things, all of them were very good at games...Dagmar is a game designer trapped in Jakarta in the middle of a revolution. The city is tearing itself apart around her and she needs to get out. Her boss Charlie has his own problems — 4.3 billion of them, to be precise, hidden in an off-shore account. Austin is the businessman — the VC. He's the one with the plan and the one to keep the geeks in line.  BJ was there from the start, but while Charlie's star rose, BJ sank into the depths of customer service. He pads his hours at the call-center slaying on-line orcs, stealing your loot, and selling it on the internet.But when one of them is gunned down in a parking lot, the survivors become players in a very different kind of game. Caught between the dangerous worlds of the Russian Mafia and international finance, Dagmar must draw on all her resources — not least millions of online gamers — to track down the killer. In this near-future thriller, Walter Jon Williams weaves a pulse-pounding tale of intrigue, murder, and games where you don't get an extra life.","369 pages, Hardcover",Science Fiction,830 follower,301 reviews,233,47 (1%),162 (6%),704 (26%),"1,163 (44%)",552 (21%)
Bon Appetit,Sandra Byrd,"1,709",ratings169,"September 16, 2008","Pastries, Paris and romance–Lexi’s adventure has just begun!Lexi Stuart is risking it all. Saying au revoir to the security of home, her job, and could-be boyfriend Dan, Lexi embarks on a culinary adventure in France to fulfill her life dream of becoming a pastry chef. As she settles into her new home in the village of Presque le Chateau to study and work in a local bakery, her twenty-something optimism meets resistance in the seemingly crusty nature of the people and culture around her. Determined to gain her footing, she finds a church, meets a new friend, and makes the acquaintance of a child named Celine–as well as Celine’s attractive, widowed father, Philippe. Even Patricia, the gruff pastry cook, shows a softer side as she mentors Lexi in the art of baking.As Lexi lives her dream, the only thing she has to do is choose from the array in life’s patisserie display window: her familiar home, friends, and family in Seattle or her new life in France. Lexi discovers that as she leans more on God the choices become a little clearer– and making them, well, c’est la vie!","304 pages, Paperback",Christian Fiction,938 follower,169 reviews,76,15 (<1%),58 (3%),355 (20%),694 (40%),587 (34%)
The Earth Hums in B Flat,Mari Strachan,"2,597",ratings376,"March 19, 2009","Every night, 12-year-old Gwenni Morgan flies in her sleep. She leaves the bed she shares with her sister and soars into the night sky, listening to the nighttime sounds of her small Welsh village below. Irrepressible Gwenni -- a dreamer full of unanswerable questions and unbounded curiosity -- is childlike yet touchingly adult. Reluctantly facing a modern world, she prefers her nightly flights to school and her chores. Blessed with the uncommon insight of a young girl, Gwenni's view of the world is unparalleled.Quaint, odd, touched, funny in the head: Gwenni is all too familiar with the taunts of her peers and fields them with equanimity beyond her years. She knows she can no more change her nature than stop the sun from rising. And when a neighbour goes missing, Gwenni turns amateur sleuth, determined to solve the mystery of his disappearance. Little does she realize that the trail she's pursuing will bring her uncomfortably close to home, and a dark secret.","329 pages, Paperback",Fiction,31 follower,376 reviews,3,58 (2%),214 (8%),701 (26%),"1,114 (42%)",510 (19%)
Open Very Carefully: A Book with Bite,Nick Bromley,"2,179",ratings331,"February 26, 2013",What would you do if you were settling down for a quiet bedtime story and you realized that a crocodile had fallen into your storybook and was — not to put too fine a point on it — wreaking havoc? Would you slam that book shut and cram it back onto the bookshelf? Or would you be brave enough to peek?,"32 pages, Hardcover",Picture Books,7 follower,331 reviews,8,19 (<1%),93 (4%),488 (22%),825 (37%),754 (34%)
The Aviator's Wife,Melanie Benjamin,"73,595","ratings7,988","January 1, 2013","In the spirit of Loving Frank and The Paris Wife, acclaimed novelist Melanie Benjamin pulls back the curtain on the marriage of one of America’s most extraordinary couples: Charles Lindbergh and Anne Morrow Lindbergh.When Anne Morrow, a shy college senior with hidden literary aspirations, travels to Mexico City to spend Christmas with her family, she meets Colonel Charles Lindbergh, fresh off his celebrated 1927 solo flight across the Atlantic. Enthralled by Charles’s assurance and fame, Anne is certain the aviator has scarcely noticed her. But she is wrong. Charles sees in Anne a kindred spirit, a fellow adventurer, and her world will be changed forever. The two marry in a headline-making wedding. In the years that follow, Anne becomes the first licensed female glider pilot in the United States. But despite this and other major achievements, she is viewed merely as the aviator’s wife. The fairy-tale life she once longed for will bring heartbreak and hardships, ultimately pushing her to reconcile her need for love and her desire for independence, and to embrace, at last, life’s infinite possibilities for change and happiness.Look for special features inside. Join the Random House Reader’s Circle for author chats and more.","416 pages, Hardcover",Historical Fiction,"3,258 follower","7,988 reviews",14,932 (1%),"3,383 (4%)","16,695 (22%)","33,337 (45%)","19,248 (26%)"
Das Akhenaten-Abenteuer,P.B. Kerr,"18,973",ratings744,"January 1, 2004","You can tell from the very first page that P. B. Kerr had great fun writing his novel, The Akhenaten Adventure. The way the author introduces his cleverly named characters, the atmospheric setting, the fun tone of his narration--all indicate that a hugely entertaining story is in store. The first installment of his Children of the Lamp sequence is set firmly in the present day, but it soon breaks away and encompasses several wonderfully colorful parts of the globe, England and Egypt included.  John and Philippa Gaunt, two twelve-year-old not-very-identical twins, live a privileged life on the Upper East of Manhattan with their wealthy parents and two curiously-mannered Rottweilers named Alan and Neil. The twins realize there's something amiss with their world when a string of strange things begin to happen after their wisdom teeth are extracted--they dream the same dreams, become stronger, their zits clear up, and wishes wished in their presence inexplicably come true. And, when their estranged Uncle Nimrod asks them to come to England for the summer during one such shared dream, the discovery of their destiny is set in motion.   John and Phillippa discover that they are descended from a long line of Djinn, have great inherent powers. They must call on these powers a lot sooner than they anticipated, though, because the ancient Egyptian pharaoh Akhenaten is not as dead as history has so far declared and his legion of seventy magical djinn could tip the balance of power in the magical realm and affect the whole world order.   P.B. Kerr, under his given name Philip Kerr, is the author of several bestselling thrillers for adult readers. His debut novel for children is a slick, zeitgeisty fantasy adventure that is sure to win him a new raft of fans. The Blue Djinn of Babylon is next up for those who get hooked. (Age 10 and over) --John McLay","400 pages, Hardcover",Fantasy,197 follower,744 reviews,36,447 (2%),"1,485 (7%)","5,260 (27%)","6,358 (33%)","5,423 (28%)"
Vision Impossible,Victoria Laurie,"4,068",ratings273,"July 1, 2011","Abigail Cooper makes a living as a psychic, using her vision to stop others from making a killing on murder. Now, as the FBI’s newest Civilian Profiler, she can add something else to her resume—spy. FROM PSYCHIC EYE TO PSYCHIC SPY The CIA and Air Force need Abby Cooper’s help. The military has developed a software surveillance system able to lock onto any individual’s unique aura. The problem is, the drone carrying the software has gone missing, and the implications to national security could be devastating. To get the drone back, Uncle Sam must recruit a special agent—a very special agent in the form of professional psychic, Abigail Cooper. With her fiancé Dutch Rivers by her side, Abby is eager to do her patriotic duty and stop the criminals before they set their diabolical plan into motion. But the deeper Abby gets involved in counter intelligence, the more she makes herself a prime target…","358 pages, Hardcover",Mystery,"3,016 follower",273 reviews,65,44 (1%),135 (3%),803 (19%),"1,603 (39%)","1,483 (36%)"
